"name","pos","age","date","team","home.game","opponent","result","week","day","game","year","week.1","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"AARONRODGERS","QB","30-276","2014-09-04","GNB",TRUE,"SEA","L 16-36",1,"Thu",1,2014,1,189,1,1,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","29-170","2014-09-07","MIN",TRUE,"STL","W 34-6",1,"Sun",1,2014,1,NA,NA,NA,75,0,2,18,0
"AHMADBRADSHAW","RB","28-172","2014-09-07","IND",TRUE,"DEN","L 24-31",1,"Sun",1,2014,1,NA,NA,NA,15,0,5,70,0
"AJGREEN","RB","26-038","2014-09-07","CIN",TRUE,"BAL","W 23-16",1,"Sun",1,2014,1,NA,NA,NA,5,0,6,131,1
"ALEXSMITH","QB","30-123","2014-09-07","KAN",FALSE,"TEN","L 10-26",1,"Sun",1,2014,1,202,1,3,36,0,NA,NA,NA
"ALFREDBLUE","RB","23-133","2014-09-07","HOU",FALSE,"WAS","W 17-6",1,"Sun",1,2014,1,NA,NA,NA,0,0,NA,NA,NA
"ALFREDMORRIS","RB","25-269","2014-09-07","WAS",TRUE,"HOU","L 6-17",1,"Sun",1,2014,1,NA,NA,NA,91,0,NA,NA,NA
"ALLENHURNS","WR","22-299","2014-09-07","JAX",TRUE,"PHI","L 17-34",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,4,110,2
"ALLENROBINSON","WR","21-014","2014-09-07","JAX",TRUE,"PHI","L 17-34",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,1,0,0
"ALSHONJEFFERY","WR","24-200","2014-09-07","CHI",FALSE,"BUF","L 20-23",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,5,71,0
"ANDRECALDWELL","WR","29-145","2014-09-07","DEN",FALSE,"IND","W 31-24",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,2,16,0
"ANDREELLINGTON","RB","25-217","2014-09-08","ARI",FALSE,"SDG","W 18-17",1,"Mon",1,2014,1,NA,NA,NA,53,0,5,27,0
"ANDREJOHNSON","WR","33-058","2014-09-07","HOU",FALSE,"WAS","W 17-6",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,6,93,0
"ANDREROBERTS","WR","26-241","2014-09-07","WAS",TRUE,"HOU","L 6-17",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,1,22,0
"ANDREWHAWKINS","WR","28-181","2014-09-07","CLE",TRUE,"PIT","L 27-30",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,8,87,0
"ANDREWILLIAMS","RB","22-011","2014-09-08","NYG",TRUE,"DET","L 14-35",1,"Mon",1,2014,1,NA,NA,NA,9,0,NA,NA,NA
"ANDREWLUCK","QB","24-360","2014-09-07","IND",TRUE,"DEN","L 24-31",1,"Sun",1,2014,1,370,2,2,19,1,NA,NA,NA
"ANDREWQUARLESS","WR","25-333","2014-09-04","GNB",TRUE,"SEA","L 16-36",1,"Thu",1,2014,1,NA,NA,NA,NA,NA,3,26,0
"ANDYDALTON","QB","26-313","2014-09-07","CIN",TRUE,"BAL","W 23-16",1,"Sun",1,2014,1,301,1,0,3,0,NA,NA,NA
"ANQUANBOLDIN","WR","33-339","2014-09-07","SFO",TRUE,"DAL","W 28-17",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,8,99,0
"ANTHONYDIXON","RB","26-348","2014-09-07","BUF",TRUE,"CHI","W 23-20",1,"Sun",1,2014,1,NA,NA,NA,60,0,NA,NA,NA
"ANTHONYFASANO","WR","30-140","2014-09-07","KAN",FALSE,"TEN","L 10-26",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,3,29,1
"ANTHONYSHERMAN","RB","25-270","2014-09-07","KAN",FALSE,"TEN","L 10-26",1,"Sun",1,2014,1,NA,NA,NA,4,0,NA,NA,NA
"ANTONESMITH","RB","28-355","2014-09-07","ATL",FALSE,"NOR","W 37-34",1,"Sun",1,2014,1,NA,NA,NA,7,0,1,54,1
"ANTONIOBROWN","WR","26-059","2014-09-07","PIT",FALSE,"CLE","W 30-27",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,5,116,1
"ANTONIOGATES","WR","34-082","2014-09-08","SDG",TRUE,"ARI","L 17-18",1,"Mon",1,2014,1,NA,NA,NA,NA,NA,6,81,0
"ANTWONBLAKE","WR","24-030","2014-09-07","PIT",FALSE,"CLE","W 30-27",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,1,25,0
"ARIANFOSTER","RB","28-014","2014-09-07","HOU",FALSE,"WAS","W 17-6",1,"Sun",1,2014,1,NA,NA,NA,103,0,2,17,0
"AUSTINDAVIS","QB","25-097","2014-09-07","STL",FALSE,"MIN","L 6-34",1,"Sun",1,2014,1,192,0,1,0,0,NA,NA,NA
"AUSTINSEFERIANJENKINS","WR","23-320","2014-09-07","TAM",FALSE,"CAR","L 14-20",1,"Sun",1,2014,1,NA,NA,NA,NA,NA,1,26,0
