"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"PEYTONMANNING","Peyton Manning","QB","DEN",269,3,0,-3,0,0,0,0,0,0,22.46,"0","0","100%","4"
"DREWBREES","Drew Brees","QB","NO",333,1,1,2,0,0,0,0,0,0,16.52,"0","0","100%","1"
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,74,0,41,0,0,0,0,11.5,"6","6","100%","21"
"JAMAALCHARLES","Jamaal Charles","RB","KC",0,0,0,19,0,15,0,0,0,0,3.4,"4","4","100%","7"
"NICKFOLES","Nick Foles","QB","PHI",322,2,1,0,0,0,0,0,0,2,15.88,"0","0","97%","0"
"ANDREWLUCK","Andrew Luck","QB","IND",370,2,2,19,1,0,0,0,0,0,28.7,"0","0","99%","5"
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",267,0,0,2,0,0,0,0,0,1,8.88,"0","0","94%","3"
"MATTRYAN","Matt Ryan","QB","ATL",448,3,0,15,0,0,0,0,0,0,31.42,"0","0","99%","3"
"JAYCUTLER","Jay Cutler","QB","CHI",349,2,2,0,0,0,0,0,0,0,19.96,"0","0","95%","0"
"TONYROMO","Tony Romo","QB","DAL",281,1,3,0,0,0,0,0,0,0,12.24,"0","0","95%","0"
"AARONRODGERS","Aaron Rodgers","QB","GB",189,1,1,0,0,0,0,0,0,0,10.56,"0","0","100%","0"
"ADRIANPETERSON","Adrian Peterson","RB","MIN",0,0,0,75,0,18,0,0,0,0,9.3,"3","2","100%","21"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,82,0,87,0,0,0,0,16.9,"9","8","100%","17"
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",346,2,0,2,1,0,0,0,1,0,30.04,"0","0","100%","4"
"TOMBRADY","Tom Brady","QB","NE",249,1,0,3,0,0,0,0,0,2,10.26,"0","0","99%","1"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",201,2,0,11,0,0,0,0,0,0,17.14,"0","0","94%","5"
"RUSSELLWILSON","Russell Wilson","QB","SEA",191,2,0,29,0,0,0,0,0,0,18.54,"0","0","94%","7"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,110,2,14,0,0,0,0,24.4,"1","1","100%","20"
"ALEXSMITH","Alex Smith","QB","KC",202,1,3,36,0,0,0,0,0,0,12.68,"0","0","46%","6"
"PHILIPRIVERS","Philip Rivers","QB","SD",238,1,1,10,0,0,0,0,0,0,13.52,"0","0","91%","2"
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",178,2,1,-2,0,0,0,0,0,0,13.92,"0","0","43%","3"
"JAKELOCKER","Jake Locker","QB","TEN",266,2,0,14,0,0,0,0,0,0,20.04,"0","0","12%","6"
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",365,1,1,8,0,0,0,0,0,0,18.4,"0","0","81%","3"
"DEZBRYANT","Dez Bryant","WR","DAL",0,0,0,0,0,55,0,0,0,0,5.5,"6","4","100%","0"
"JIMMYGRAHAM","Jimmy Graham","TE","NO",0,0,0,0,0,82,0,0,0,0,8.2,"10","8","100%","0"
"ARIANFOSTER","Arian Foster","RB","HOU",0,0,0,103,0,17,0,0,0,1,10,"2","2","99%","27"
"MONTEEBALL","Montee Ball","RB","DEN",0,0,0,67,1,16,0,0,0,0,14.3,"2","2","100%","23"
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,48,0,0,0,0,4.8,"11","4","100%","0"
"CARSONPALMER","Carson Palmer","QB","ARI",304,2,0,29,0,0,0,0,0,1,21.06,"0","0","54%","4"
"CALVINJOHNSON","Calvin Johnson","WR","DET",0,0,0,0,0,164,2,0,0,0,28.4,"11","7","100%","0"
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",206,1,0,10,0,0,0,0,0,0,13.24,"0","0","9%","5"
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",0,0,0,0,0,71,1,0,0,1,11.1,"12","8","100%","0"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,118,1,25,0,0,0,1,18.3,"4","3","100%","22"
"EDDIELACY","Eddie Lacy","RB","GB",0,0,0,34,0,11,0,0,0,0,4.5,"3","3","100%","12"
"ANDYDALTON","Andy Dalton","QB","CIN",301,1,0,3,0,0,0,0,1,0,18.34,"0","0","80%","6"
"JULIOJONES","Julio Jones","WR","ATL",0,0,0,0,0,116,0,0,0,1,9.6,"9","7","100%","0"
"EJMANUEL","EJ Manuel","QB","BUF",173,1,1,19,1,0,0,0,0,0,17.82,"0","0","6%","6"
"FRANKGORE","Frank Gore","RB","SF",0,0,0,66,0,0,0,0,0,0,6.6,"0","0","97%","16"
"SHAUNHILL","Shaun Hill","QB","STL",81,0,1,-1,0,0,0,0,0,0,2.14,"0","0","3%","1"
"GENOSMITH","Geno Smith","QB","NYJ",221,1,1,38,0,0,0,0,0,1,13.64,"0","0","10%","10"
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,109,1,88,0,0,0,0,25.7,"7","6","98%","21"
"DOUGMARTIN","Doug Martin","RB","TB",0,0,0,9,0,7,0,0,0,0,1.6,"2","1","99%","9"
"JOEFLACCO","Joe Flacco","QB","BAL",345,1,1,7,0,0,0,0,0,0,17.5,"0","0","35%","3"
"JOSHMCCOWN","Josh McCown","QB","TB",183,2,2,27,0,0,0,0,0,0,16.02,"0","0","33%","3"
"AJGREEN","A.J. Green","WR","CIN",0,0,0,5,0,131,1,0,0,0,19.6,"9","6","100%","1"
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",0,0,0,0,0,71,0,0,0,0,7.1,"6","5","100%","0"
"ALFREDMORRIS","Alfred Morris","RB","WAS",0,0,0,91,0,0,0,0,0,0,9.1,"0","0","98%","14"
"ELIMANNING","Eli Manning","QB","NYG",163,1,2,0,0,0,0,0,0,0,8.52,"0","0","45%","0"
"ZACSTACY","Zac Stacy","RB","STL",0,0,0,43,0,8,0,0,0,0,5.1,"2","1","98%","11"
"CHADHENNE","Chad Henne","QB","JAX",266,2,0,8,0,0,0,0,0,1,17.44,"0","0","2%","1"
"ANTONIOBROWN","Antonio Brown","WR","PIT",0,0,0,0,0,116,1,0,0,0,17.6,"6","5","100%","0"
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",0,0,0,48,0,62,0,0,0,0,11,"10","6","99%","14"
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",0,0,0,20,0,8,0,0,0,0,2.8,"3","2","25%","7"
"BERNARDPIERCE","Bernard Pierce","RB","BAL",0,0,0,17,0,0,0,0,0,1,-0.3,"0","0","60%","6"
"BENTATE","Ben Tate","RB","CLE",0,0,0,41,0,0,0,0,0,0,4.1,"0","0","92%","6"
"MATTCASSEL","Matt Cassel","QB","MIN",170,2,0,-3,0,0,0,0,0,0,14.5,"0","0","5%","5"
"RASHADJENNINGS","Rashad Jennings","RB","NYG",0,0,0,46,1,50,0,0,0,0,15.6,"5","4","96%","16"
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",0,0,0,0,0,40,1,0,0,0,10,"11","4","100%","0"
"TOBYGERHART","Toby Gerhart","RB","JAX",0,0,0,42,0,15,0,0,0,0,5.7,"2","2","96%","18"
"STEVANRIDLEY","Stevan Ridley","RB","NE",0,0,0,21,0,7,0,0,0,0,2.8,"2","2","78%","8"
"BRIANHOYER","Brian Hoyer","QB","CLE",230,1,0,-2,0,0,0,0,0,0,13,"0","0","2%","1"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,83,0,0,0,0,8.3,"14","9","100%","0"
"JULIUSTHOMAS","Julius Thomas","TE","DEN",0,0,0,0,0,104,3,0,0,0,28.4,"8","7","100%","0"
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",0,0,0,11,0,77,0,0,0,0,8.8,"9","6","95%","1"
