"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,39,29,343,3,0,74.4,8.8,1,0,0,0,NA,NA,NA,NA,NA,0,31
"AARONRODGERS","Aaron Rodgers","QB","GB",2,2,30,22,300,3,0,73.3,10,0,0,0,0,NA,NA,NA,NA,NA,0,30
"ANDREWLUCK","Andrew Luck","QB","IND",2,2,39,29,381,3,2,74.4,9.8,3,15,5,0,NA,NA,NA,NA,NA,0,30
"TOMBRADY","Tom Brady","QB","NE",2,2,44,30,372,3,1,68.2,8.5,1,2,2,0,NA,NA,NA,NA,NA,0,30
"DREWBREES","Drew Brees","QB","NO",5,5,34,22,265,3,1,64.7,7.8,1,0,0,0,NA,NA,NA,NA,NA,0,26
"PHILIPRIVERS","Philip Rivers","QB","SD",6,6,25,15,169,3,0,60,6.8,1,0,0,0,NA,NA,NA,NA,NA,0,24
"MATTRYAN","Matt Ryan","QB","ATL",7,7,34,25,234,2,0,73.5,6.9,1,0,0,0,NA,NA,NA,NA,NA,0,21
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",7,7,35,26,289,2,1,74.3,8.3,3,9,3,0,NA,NA,NA,NA,NA,0,21
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",7,7,34,22,279,2,1,64.7,8.2,1,2,2,0,NA,NA,NA,NA,NA,0,21
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",10,10,30,19,248,2,0,63.3,8.3,4,16,4,0,NA,NA,NA,NA,NA,1,20
"JAYCUTLER","Jay Cutler","QB","CHI",10,10,32,23,252,2,1,71.9,7.9,2,6,3,0,NA,NA,NA,NA,NA,0,20
"ELIMANNING","Eli Manning","QB","NYG",12,12,31,23,227,2,1,74.2,7.3,0,0,0,0,NA,NA,NA,NA,NA,0,19
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",12,12,29,18,181,2,1,62.1,6.2,5,29,5.8,0,NA,NA,NA,NA,NA,0,19
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,12,NA,NA,NA,NA,NA,NA,NA,22,125,5.7,1,4,32,8,0,NA,1,19
"JORDYNELSON","Jordy Nelson","WR","GB",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,15.4,2,NA,0,19
"JOSHMCCOWN","Josh McCown","QB","TB",14,16,38,23,248,2,1,60.5,6.5,4,19,4.8,0,NA,NA,NA,NA,NA,1,18
"MARKSANCHEZ","Mark Sanchez","QB","PHI",14,16,39,28,265,2,2,71.8,6.8,2,6,3,0,NA,NA,NA,NA,NA,0,18
"CAMNEWTON","Cam Newton","QB","CAR",14,16,31,23,247,2,2,74.2,8,6,18,3,0,NA,NA,NA,NA,NA,0,18
"DESEANJACKSON","DeSean Jackson","WR","WAS",2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,129,25.8,1,NA,0,18
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,124,17.7,1,NA,0,18
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,62,12.4,2,NA,0,18
"ANDYDALTON","Andy Dalton","QB","CIN",17,22,37,23,238,2,2,62.2,6.4,2,6,3,0,NA,NA,NA,NA,NA,0,17
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",17,22,36,24,253,1,1,66.7,7,5,35,7,0,NA,NA,NA,NA,NA,0,17
"MATTFORTE","Matt Forte","RB","CHI",2,22,NA,NA,NA,NA,NA,NA,NA,22,89,4,1,4,38,9.5,0,NA,0,17
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,114,12.7,1,NA,0,17
"RUSSELLWILSON","Russell Wilson","QB","SEA",19,26,29,18,158,0,1,62.1,5.4,8,64,8,1,NA,NA,NA,NA,NA,0,16
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",19,26,33,23,247,1,0,69.7,7.5,4,15,3.8,0,NA,NA,NA,NA,NA,0,16
"ANTONIOBROWN","Antonio Brown","WR","PIT",4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105,15,1,NA,0,16
"TYHILTON","T.Y. Hilton","WR","IND",4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,108,15.4,1,NA,0,16
"CALVINJOHNSON","Calvin Johnson","WR","DET",4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,108,15.4,1,NA,0,16
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,103,17.2,1,NA,0,16
"DREWSTANTON","Drew Stanton","QB","ARI",21,32,39,24,283,1,1,61.5,7.3,2,4,2,0,NA,NA,NA,NA,NA,0,15
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",3,32,NA,NA,NA,NA,NA,NA,NA,21,80,3.8,1,3,19,6.3,0,NA,0,15
"RANDALLCOBB","Randall Cobb","WR","GB",8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,92,18.4,1,NA,0,15
"AJGREEN","A.J. Green","WR","CIN",8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,92,13.1,1,NA,0,15
"MIKEEVANS","Mike Evans","WR","TB",8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,94,15.7,1,NA,0,15
