"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,35,23,338,4,1,65.7,9.7,1,1,1,0,NA,NA,NA,NA,NA,0,35
"AARONRODGERS","Aaron Rodgers","QB","GB",2,2,34,27,327,3,0,79.4,9.6,3,22,7.3,0,NA,NA,NA,NA,NA,0,33
"ANDREWLUCK","Andrew Luck","QB","IND",3,3,45,28,306,3,0,62.2,6.8,6,22,3.7,0,NA,NA,NA,NA,NA,1,30
"TOMBRADY","Tom Brady","QB","NE",3,3,36,23,305,3,0,63.9,8.5,3,5,1.7,0,NA,NA,NA,NA,NA,0,30
"DREWBREES","Drew Brees","QB","NO",5,5,44,28,371,2,0,63.6,8.4,2,12,6,0,NA,NA,NA,NA,NA,0,27
"TONYROMO","Tony Romo","QB","DAL",5,5,32,22,284,3,1,68.8,8.9,1,1,1,0,NA,NA,NA,NA,NA,0,27
"RUSSELLWILSON","Russell Wilson","QB","SEA",7,7,29,18,213,1,0,62.1,7.3,7,64,9.1,1,NA,NA,NA,NA,NA,0,26
"CARSONPALMER","Carson Palmer","QB","ARI",8,8,41,27,311,2,0,65.9,7.6,1,1,1,0,NA,NA,NA,NA,NA,0,24
"PHILIPRIVERS","Philip Rivers","QB","SD",9,9,34,22,276,2,1,64.7,8.1,2,11,5.5,0,NA,NA,NA,NA,NA,0,22
"JAYCUTLER","Jay Cutler","QB","CHI",9,9,38,26,338,2,2,68.4,8.9,4,19,4.8,0,NA,NA,NA,NA,NA,0,22
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",11,11,31,21,237,2,1,67.7,7.6,3,29,9.7,0,NA,NA,NA,NA,NA,0,21
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,11,NA,NA,NA,NA,NA,NA,NA,18,82,4.6,1,4,19,4.8,1,NA,0,21
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",12,13,35,25,244,1,1,71.4,7,2,13,6.5,1,NA,NA,NA,NA,NA,0,20
"NICKFOLES","Nick Foles","QB","PHI",12,13,34,25,299,2,2,73.5,8.8,2,16,8,0,NA,NA,NA,NA,NA,0,20
"ARIANFOSTER","Arian Foster","RB","HOU",2,13,NA,NA,NA,NA,NA,NA,NA,21,123,5.9,1,3,20,6.7,0,NA,0,20
"MATTFORTE","Matt Forte","RB","CHI",2,13,NA,NA,NA,NA,NA,NA,NA,15,63,4.2,1,9,81,9,0,NA,0,20
"KYLEORTON","Kyle Orton","QB","BUF",14,17,41,28,297,2,1,68.3,7.2,1,0,0,0,NA,NA,NA,NA,NA,1,19
"ALEXSMITH","Alex Smith","QB","KC",14,17,29,20,253,1,0,69,8.7,3,31,10.3,0,NA,NA,NA,NA,NA,0,19
"CAMNEWTON","Cam Newton","QB","CAR",14,17,37,22,283,1,1,59.5,7.6,8,41,5.1,0,NA,NA,NA,NA,NA,0,19
"MIKEGLENNON","Mike Glennon","QB","TB",14,17,34,21,301,1,0,61.8,8.9,2,12,6,0,NA,NA,NA,NA,NA,0,19
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",4,17,NA,NA,NA,NA,NA,NA,NA,25,115,4.6,1,4,24,6,0,NA,0,19
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",18,22,37,23,255,2,1,62.2,6.9,3,3,1,0,NA,NA,NA,NA,NA,1,18
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",5,22,NA,NA,NA,NA,NA,NA,NA,21,101,4.8,1,3,21,7,0,NA,0,18
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,127,18.1,1,NA,0,18
"JOEFLACCO","Joe Flacco","QB","BAL",19,25,31,20,302,1,1,64.5,9.7,2,12,6,0,NA,NA,NA,NA,NA,0,17
"MATTRYAN","Matt Ryan","QB","ATL",19,25,42,26,297,2,3,61.9,7.1,1,2,2,0,NA,NA,NA,NA,NA,0,17
"GENOSMITH","Geno Smith","QB","NYJ",19,25,33,21,253,1,1,63.6,7.7,4,31,7.8,0,NA,NA,NA,NA,NA,0,17
"LESEANMCCOY","LeSean McCoy","RB","PHI",6,25,NA,NA,NA,NA,NA,NA,NA,21,98,4.7,1,3,24,8,0,NA,0,17
"JORDYNELSON","Jordy Nelson","WR","GB",2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,112,22.4,1,NA,0,17
"ANTONIOBROWN","Antonio Brown","WR","PIT",2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,107,15.3,1,NA,0,17
"DEZBRYANT","Dez Bryant","WR","DAL",2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,111,15.9,1,NA,0,17
"GOLDENTATE","Golden Tate","WR","DET",2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,111,13.9,1,NA,0,17
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",22,33,27,19,259,1,1,70.4,9.6,3,22,7.3,0,NA,NA,NA,NA,NA,0,16
