displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Calvin Johnson,DET,6.0,113.0,1.0,0.0,0.0,0.0,0.0
Dez Bryant,DAL,6.0,100.0,1.0,0.0,0.0,0.0,0.0
Demaryius Thomas,DEN,6.0,98.0,1.0,0.0,0.0,0.0,0.0
A.J. Green,CIN,5.0,93.0,1.0,0.0,0.0,0.0,0.0
Julio Jones,ATL,6.0,90.0,0.0,0.0,0.0,0.0,0.0
Brandon Marshall,CHI,6.0,87.0,1.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,6.0,86.0,1.0,0.0,1.0,0.0,0.0
Victor Cruz,NYG,5.0,83.0,0.0,0.0,0.0,0.0,0.0
Larry Fitzgerald,ARI,5.0,82.0,1.0,0.0,0.0,0.0,0.0
Jordy Nelson,GB,5.0,82.0,1.0,0.0,0.0,0.0,0.0
Andre Johnson,HOU,5.0,82.0,1.0,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,5.0,80.0,1.0,0.0,0.0,0.0,0.0
Alshon Jeffery,CHI,5.0,79.0,1.0,1.0,3.0,0.0,0.0
Michael Floyd,ARI,5.0,75.0,0.0,0.0,0.0,0.0,0.0
Vincent Jackson,TB,5.0,74.0,0.0,0.0,0.0,0.0,0.0
Michael Crabtree,SF,5.0,73.0,1.0,0.0,0.0,0.0,0.0
Percy Harvin,NYJ,4.0,73.0,0.0,1.0,6.0,0.0,0.0
Marques Colston,NO,5.0,72.0,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,MIN,5.0,71.0,0.0,1.0,3.0,0.0,0.0
Jeremy Maclin,PHI,4.0,69.0,1.0,0.0,0.0,0.0,0.0
Roddy White,ATL,5.0,69.0,0.0,0.0,0.0,0.0,0.0
Reggie Wayne,IND,5.0,68.0,0.0,0.0,0.0,0.0,0.0
Randall Cobb,GB,5.0,67.0,0.0,1.0,4.0,0.0,0.0
Eric Decker,NYJ,5.0,66.0,0.0,0.0,0.0,0.0,0.0
T.Y. Hilton,IND,4.0,65.0,1.0,0.0,0.0,0.0,0.0
Mike Wallace,MIA,4.0,65.0,0.0,0.0,1.0,0.0,0.0
Kendall Wright,TEN,5.0,65.0,0.0,0.0,0.0,0.0,0.0
