displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Drew Brees,NO,27.0,37.0,317.0,2.0,0.0,1.0,0.0,0.0
Matt Ryan,ATL,27.0,41.0,317.0,1.0,1.0,6.0,0.0,0.0
Ben Roethlisberger,PIT,26.0,43.0,316.0,1.0,0.0,6.0,0.0,0.0
Peyton Manning,DEN,24.0,36.0,304.0,2.0,1.0,0.0,0.0,0.0
Philip Rivers,SD,25.0,39.0,291.0,1.0,0.0,5.0,0.0,0.0
Tom Brady,NE,25.0,37.0,290.0,2.0,0.0,0.0,0.0,0.0
Jay Cutler,CHI,26.0,40.0,285.0,2.0,1.0,13.0,0.0,0.0
Andrew Luck,IND,24.0,36.0,282.0,2.0,1.0,21.0,0.0,0.0
Ryan Tannehill,MIA,24.0,34.0,278.0,1.0,0.0,16.0,0.0,0.0
Aaron Rodgers,GB,24.0,35.0,273.0,2.0,0.0,15.0,0.0,0.0
Matthew Stafford,DET,27.0,40.0,271.0,1.0,1.0,6.0,0.0,0.0
Eli Manning,NYG,23.0,34.0,265.0,1.0,1.0,2.0,0.0,0.0
Josh McCown,TB,20.0,35.0,259.0,0.0,1.0,12.0,0.0,0.0
Kyle Orton,BUF,22.0,35.0,256.0,1.0,0.0,3.0,0.0,0.0
Mark Sanchez,PHI,24.0,40.0,255.0,1.0,1.0,5.0,0.0,0.0
Derek Carr,OAK,22.0,38.0,251.0,0.0,1.0,8.0,0.0,0.0
Brian Hoyer,CLE,21.0,37.0,250.0,1.0,0.0,3.0,0.0,0.0
Tony Romo,DAL,21.0,31.0,250.0,2.0,0.0,2.0,0.0,0.0
Cam Newton,CAR,21.0,36.0,246.0,1.0,1.0,35.0,0.0,0.0
Blake Bortles,JAC,20.0,34.0,245.0,1.0,1.0,26.0,0.0,0.0
Teddy Bridgewater,MIN,19.0,29.0,235.0,1.0,0.0,11.0,0.0,0.0
Joe Flacco,BAL,21.0,33.0,234.0,1.0,1.0,4.0,0.0,0.0
Shaun Hill,STL,19.0,31.0,234.0,1.0,0.0,8.0,0.0,0.0
Andy Dalton,CIN,21.0,32.0,232.0,1.0,1.0,10.0,0.0,0.0
Colt McCoy,WAS,24.0,37.0,227.0,0.0,0.0,7.0,0.0,0.0
Drew Stanton,ARI,21.0,35.0,226.0,0.0,0.0,14.0,0.0,0.0
Alex Smith,KC,19.0,29.0,223.0,0.0,0.0,17.0,0.0,0.0
Russell Wilson,SEA,18.0,28.0,218.0,1.0,0.0,46.0,0.0,0.0
Zach Mettenberger,TEN,19.0,32.0,216.0,2.0,0.0,3.0,0.0,0.0
Colin Kaepernick,SF,19.0,28.0,214.0,1.0,0.0,40.0,0.0,0.0
Ryan Fitzpatrick,HOU,21.0,30.0,213.0,1.0,0.0,16.0,0.0,0.0
Geno Smith,NYJ,15.0,27.0,183.0,0.0,1.0,24.0,0.0,0.0
David Garrard,NYJ,23.0,35.0,67.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Campbell,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Cassel,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Clemens,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carson Palmer,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Grossman,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Hasselbeck,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Orlovsky,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Whitehurst,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Vick,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Gradkowski,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
