displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Martellus Bennett,CHI,7.0,71.0,1.0,0.0,0.0,0.0,0.0
Rob Gronkowski,NE,6.0,70.0,1.0,0.0,0.0,0.0,0.0
Jimmy Graham,NO,6.0,69.0,0.0,0.0,0.0,0.0,0.0
Julius Thomas,DEN,6.0,65.0,1.0,0.0,0.0,0.0,0.0
Jordan Reed,WAS,5.0,65.0,1.0,0.0,0.0,0.0,0.0
Jordan Cameron,CLE,5.0,64.0,1.0,0.0,0.0,0.0,0.0
Crockett Gillmore,BAL,6.0,61.0,0.0,0.0,0.0,0.0,0.0
Charles Clay,MIA,5.0,59.0,0.0,0.0,0.0,0.0,0.0
Greg Olsen,CAR,5.0,57.0,1.0,0.0,0.0,0.0,0.0
Jason Witten,DAL,5.0,53.0,1.0,0.0,0.0,0.0,0.0
Delanie Walker,TEN,5.0,52.0,1.0,0.0,0.0,0.0,0.0
Scott Chandler,BUF,4.0,48.0,0.0,0.0,0.0,0.0,0.0
Jermaine Gresham,CIN,4.0,48.0,0.0,0.0,0.0,0.0,0.0
Heath Miller,PIT,4.0,45.0,0.0,0.0,0.0,0.0,0.0
Zach Ertz,PHI,4.0,44.0,1.0,0.0,0.0,0.0,0.0
Travis Kelce,KC,3.0,44.0,1.0,0.0,0.0,0.0,0.0
Coby Fleener,IND,4.0,44.0,0.0,0.0,0.0,0.0,0.0
Antonio Gates,SD,4.0,44.0,1.0,0.0,0.0,0.0,0.0
Clay Harbor,JAC,4.0,40.0,0.0,0.0,0.0,0.0,0.0
Dwayne Allen,IND,3.0,39.0,1.0,0.0,0.0,0.0,0.0
Gavin Escobar,DAL,3.0,37.0,0.0,0.0,0.0,0.0,0.0
Austin Seferian-Jenkins,TB,2.0,34.0,0.0,0.0,0.0,0.0,0.0
Mychal Rivera,OAK,3.0,29.0,0.0,0.0,0.0,0.0,0.0
Garrett Graham,HOU,3.0,29.0,0.0,0.0,0.0,0.0,0.0
Jared Cook,STL,3.0,28.0,0.0,0.0,0.0,0.0,0.0
Andrew Quarless,GB,3.0,27.0,1.0,0.0,0.0,0.0,0.0
Levine Toilolo,ATL,3.0,27.0,0.0,0.0,0.0,0.0,0.0
Jace Amaro,NYJ,3.0,26.0,1.0,0.0,0.0,0.0,0.0
Brent Celek,PHI,2.0,24.0,0.0,0.0,0.0,0.0,0.0
Richard Rodgers,GB,2.0,24.0,0.0,0.0,0.0,0.0,0.0
Chase Ford,MIN,2.0,23.0,0.0,0.0,0.0,0.0,0.0
Anthony Fasano,KC,2.0,23.0,0.0,0.0,0.0,0.0,0.0
Niles Paul,WAS,2.0,22.0,0.0,0.0,0.0,0.0,0.0
Jeff Cumberland,NYJ,2.0,21.0,0.0,0.0,0.0,0.0,0.0
Jim Dray,CLE,2.0,20.0,0.0,0.0,0.0,0.0,0.0
Cooper Helfet,SEA,2.0,20.0,0.0,0.0,0.0,0.0,0.0
Tim Wright,NE,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Brandon Myers,TB,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Lance Kendricks,STL,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Ed Dickson,CAR,2.0,17.0,0.0,0.0,0.0,0.0,0.0
John Carlson,ARI,2.0,16.0,0.0,0.0,0.0,0.0,0.0
Ladarius Green,SD,2.0,16.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,HOU,2.0,16.0,0.0,0.0,0.0,0.0,0.0
Kellen Davis,DET,2.0,15.0,0.0,0.0,0.0,0.0,0.0
Jordan Thompson,DET,1.0,13.0,0.0,2.0,6.0,0.0,0.0
C.J. Fiedorowicz,HOU,1.0,12.0,0.0,0.0,0.0,0.0,0.0
Dion Sims,MIA,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Rob Housler,ARI,1.0,9.0,0.0,0.0,0.0,0.0,0.0
MarQueis Gray,BUF,1.0,8.0,0.0,0.0,0.0,0.0,0.0
Luke Stocker,TB,1.0,8.0,0.0,0.0,0.0,0.0,0.0
Benjamin Watson,NO,1.0,8.0,0.0,0.0,0.0,0.0,0.0
Luke Willson,SEA,1.0,8.0,0.0,0.0,0.0,0.0,0.0
Jacob Tamme,DEN,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Gary Barnidge,CLE,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Josh Hill,NO,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Brandon Bostick,GB,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Rhett Ellison,MIN,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Logan Paulsen,WAS,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Dante Rosario,CHI,1.0,6.0,0.0,0.0,0.0,0.0,0.0
James Casey,PHI,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Zach Sudfeld,NYJ,1.0,5.0,0.0,0.0,0.0,0.0,0.0
John Phillips,SD,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Virgil Green,DEN,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,CAR,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Chris Gragg,BUF,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jack Doyle,IND,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Lee Smith,BUF,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Kevin Greene,SF,1.0,1.0,0.0,1.0,2.0,0.0,0.0
David Johnson,SD,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Brian Leonhardt,OAK,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Craig Stevens,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Hewitt,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Oboh,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Maxwell,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Spaeth,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Smith,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Dreessen,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Swoope,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nic Jacobs,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Bajema,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Winslow,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harold Hoskins,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius Harris,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Overbay,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Palmer,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony McCoy,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Eifert,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Pascoe,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0
James Hanna,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Miller,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Thompson,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ausberry,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
