"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"MASONCROSBY","K",1,3,0,3,0,12
"ROBBIEGOULD","K",1,3,0,3,0,12
"NICKNOVAK","K",1,3,0,3,0,12
"GRAHAMGANO","K",4,3,0,2,0,11
"SHAYNEGRAHAM","K",4,3,0,2,0,11
"STEVEHAUSCHKA","K",4,3,0,2,0,11
"CALEBSTURGIS","K",4,3,0,2,0,11
"MATTBRYANT","K",8,2,0,3,0,9
"KAIFORBATH","K",8,2,0,3,0,9
"STEPHENGOSTKOWSKI","K",8,2,0,3,0,9
"JOSHBROWN","K",11,2,0,2,0,8
"RANDYBULLOCK","K",11,2,0,2,0,8
"DANCARPENTER","K",11,2,0,2,0,8
"CHANDLERCATANZARO","K",11,2,0,2,0,8
"PATRICKMURRAY","K",11,2,0,2,0,8
"MIKENUGENT","K",11,2,0,2,0,8
"CAIROSANTOS","K",11,2,0,2,0,8
"RYANSUCCOP","K",11,2,0,2,0,8
"SHAUNSUISHAM","K",11,2,0,2,0,8
"BLAIRWALSH","K",11,2,0,2,0,8
"ADAMVINATIERI","K",21,1,0,4,0,7
"PHILDAWSON","K",22,1,0,3,0,6
"CODYPARKEY","K",22,1,0,3,0,6
"SEBASTIANJANIKOWSKI","K",24,1,0,2,0,5
"BRANDONMCMANUS","K",24,0,0,5,0,5
"MATTPRATER","K",24,1,0,2,0,5
