"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"DREWBREES","QB","Drew Brees","NO",1,1,27,39,25,300,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",2,2,24.3,41,27,305,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,24,36,23,280,2,1,5,20,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",4,4,23.5,32,19,240,2,0,6,35,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",4,4,23.5,35,23,280,2,0,3,15,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",6,6,22.8,39,25,275,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",7,7,22.5,40,24,290,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",7,7,22.5,38,26,290,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",9,9,22,42,26,270,2,1,2,5,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",10,10,21.5,36,23,270,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",11,11,21.3,33,21,245,2,0,2,10,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",11,11,21.3,38,23,265,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",13,13,21,31,21,250,2,1,2,5,0,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",13,13,21,30,18,210,2,0,6,25,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",15,15,20.3,35,21,235,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",16,16,19.8,29,18,215,2,0,2,10,0,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",1,17,18,NA,NA,NA,NA,NA,23,100,1,2,20,0,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",17,18,17.8,34,20,225,1,1,6,25,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",2,19,17.5,NA,NA,NA,NA,NA,20,85,1,4,30,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",18,20,17.3,32,19,245,1,1,2,10,0,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",19,21,17,31,19,220,1,1,3,20,0,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",19,21,17,30,18,210,1,1,5,25,0,NA,NA,NA,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",3,21,17,NA,NA,NA,NA,NA,21,85,1,3,25,0,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",21,24,16.8,30,20,235,1,1,1,10,0,NA,NA,NA,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",21,24,16.8,32,19,215,1,1,4,20,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",23,26,16.5,35,21,250,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",23,26,16.5,31,18,240,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",25,28,16,27,17,210,1,1,3,15,0,NA,NA,NA,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",4,28,16,NA,NA,NA,NA,NA,21,80,1,3,20,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,28,16,NA,NA,NA,NA,NA,NA,NA,NA,8,100,1,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",1,28,16,NA,NA,NA,NA,NA,NA,NA,NA,7,100,1,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",5,32,15.5,NA,NA,NA,NA,NA,16,70,1,4,25,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",5,32,15.5,NA,NA,NA,NA,NA,14,60,1,5,35,0,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",5,32,15.5,NA,NA,NA,NA,NA,19,75,1,3,20,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",5,32,15.5,NA,NA,NA,NA,NA,17,75,1,3,20,0,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",3,32,15.5,NA,NA,NA,NA,NA,NA,NA,NA,7,95,1,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",3,32,15.5,NA,NA,NA,NA,NA,NA,NA,NA,7,95,1,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",9,38,14.5,NA,NA,NA,NA,NA,16,65,1,3,20,0,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",9,38,14.5,NA,NA,NA,NA,NA,21,85,1,0,0,0,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",5,38,14.5,NA,NA,NA,NA,NA,NA,NA,NA,7,85,1,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",5,38,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",5,38,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",5,38,14.5,NA,NA,NA,NA,NA,NA,NA,NA,7,85,1,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",11,44,14,NA,NA,NA,NA,NA,13,55,1,3,25,0,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",11,44,14,NA,NA,NA,NA,NA,16,70,1,1,10,0,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",9,44,14,NA,NA,NA,NA,NA,NA,NA,NA,7,80,1,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",9,44,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",9,44,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",13,49,13.5,NA,NA,NA,NA,NA,15,65,1,1,10,0,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",13,49,13.5,NA,NA,NA,NA,NA,19,75,1,0,0,0,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",13,49,13.5,NA,NA,NA,NA,NA,19,65,1,1,10,0,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",13,49,13.5,NA,NA,NA,NA,NA,15,65,1,1,10,0,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",12,49,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",12,49,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",12,49,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",12,49,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",12,49,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",12,49,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,49,13.5,NA,NA,NA,NA,NA,NA,NA,NA,7,75,1,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",18,60,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",18,60,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",18,60,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",18,60,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",18,60,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",18,60,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",18,60,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",25,67,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",2,67,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",2,67,12.5,NA,NA,NA,NA,NA,NA,NA,NA,7,65,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",2,67,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",17,71,12,NA,NA,NA,NA,NA,11,50,1,1,10,0,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",17,71,12,NA,NA,NA,NA,NA,13,50,1,2,10,0,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",17,71,12,NA,NA,NA,NA,NA,13,50,1,1,10,0,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",26,71,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",26,71,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",26,71,12,NA,NA,NA,NA,NA,NA,NA,NA,4,60,1,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",26,71,12,NA,NA,NA,NA,NA,NA,NA,NA,4,60,1,NA,NA,NA
"NILESPAUL","TE","Niles Paul","WAS",5,71,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",30,79,11.5,NA,NA,NA,NA,NA,NA,NA,NA,4,55,1,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",6,79,11.5,NA,NA,NA,NA,NA,NA,NA,NA,5,55,1,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",6,79,11.5,NA,NA,NA,NA,NA,NA,NA,NA,5,55,1,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",8,82,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"LARRYDONNELL","TE","Larry Donnell","NYG",8,82,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",8,82,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",8,82,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",20,86,10,NA,NA,NA,NA,NA,19,75,0,4,25,0,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",31,87,8.5,NA,NA,NA,NA,NA,NA,NA,NA,8,85,0,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",21,88,8,NA,NA,NA,NA,NA,19,65,0,2,15,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",22,89,7.5,NA,NA,NA,NA,NA,16,55,0,3,20,0,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",23,90,7,NA,NA,NA,NA,NA,12,55,0,2,15,0,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",32,90,7,NA,NA,NA,NA,NA,NA,NA,NA,4,70,0,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",32,90,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",24,93,6.5,NA,NA,NA,NA,NA,9,35,0,4,30,0,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",24,93,6.5,NA,NA,NA,NA,NA,14,45,0,3,20,0,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",24,93,6.5,NA,NA,NA,NA,NA,10,40,0,4,25,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",24,93,6.5,NA,NA,NA,NA,NA,8,30,0,6,35,0,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",24,93,6.5,NA,NA,NA,NA,NA,9,35,0,4,30,0,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",24,93,6.5,NA,NA,NA,NA,NA,8,35,0,4,30,0,NA,NA,NA
