"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"JAYCUTLER","QB","Jay Cutler","CHI",1,1,25,34.3,23.9,287,2.3,0.8,2.7,6.6,0.1,NA,NA,NA,NA,0,0
"DREWBREES","QB","Drew Brees","NO",2,2,23.7,41.4,26.7,325.2,2.1,1,2.3,0.1,0,NA,NA,NA,NA,0.1,0
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,23.4,31,21.5,264.9,1.9,0.5,4,15.2,0.1,NA,NA,NA,NA,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",4,4,22.6,31.1,22.6,274.7,2,0.7,3.8,8.2,0.1,NA,NA,NA,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",5,5,21.9,34.3,23.2,283.9,2.1,0.9,2,0.3,0,NA,NA,NA,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",6,6,21.8,32.1,20.5,239.4,1.5,0.4,6.3,27.5,0.2,NA,NA,NA,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC",7,7,21.4,28.6,20.3,243.8,1.7,0.5,5.1,16.7,0.1,NA,NA,NA,NA,0,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",8,8,20.2,34.9,22.4,268.2,1.9,1.2,2,2.5,0,NA,NA,NA,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",9,9,19.9,33.5,21.9,266.4,1.8,0.9,2.7,0,0,NA,NA,NA,NA,0,0
"DREWSTANTON","QB","Drew Stanton","ARI",10,10,19.8,35.9,22.4,275.1,1.7,0.9,1.8,3.7,0,NA,NA,NA,NA,0,0
"TONYROMO","QB","Tony Romo","DAL",11,11,19.6,37.3,22.6,274.4,1.9,1.4,3.2,1.6,0,NA,NA,NA,NA,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",1,12,19.4,NA,NA,NA,NA,NA,18.9,104.1,1.1,3,20.6,0.2,NA,0,0.2
"KYLEORTON","QB","Kyle Orton","BUF",12,13,19.2,34.2,21.1,251.1,1.7,0.7,1.9,2.1,0,NA,NA,NA,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",13,14,18.9,37.7,23.8,286.5,1.6,1.1,1.7,0,0,NA,NA,NA,NA,0.1,0
"JOSHMCCOWN","QB","Josh McCown","TB",13,14,18.9,35.7,22,263.3,1.6,1.1,1.3,4.2,0,NA,NA,NA,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",15,16,18.8,34.6,21.2,254.2,1.7,0.9,2.5,3.1,0,NA,NA,NA,NA,0,0
"BRIANHOYER","QB","Brian Hoyer","CLE",16,17,18.6,33,19.8,248.8,1.6,0.8,2.5,3.4,0,NA,NA,NA,NA,0,0
"SHAUNHILL","QB","Shaun Hill","STL",17,18,18.5,35,20.8,244.3,1.5,0.8,2.3,9,0.1,NA,NA,NA,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",2,19,17.8,NA,NA,NA,NA,NA,20.7,79.8,0.8,4.2,35.1,0.3,NA,0,0.3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",18,20,17.7,33.2,20.6,228.8,1.4,0.8,2.8,12.3,0.1,NA,NA,NA,NA,0,0.1
"ANDYDALTON","QB","Andy Dalton","CIN",19,21,17.6,33.1,19.8,251.7,1.5,1.2,3.9,8.4,0,NA,NA,NA,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",20,22,17.4,37,22.5,257.5,1.7,1.6,1.4,0.2,0,NA,NA,NA,NA,0,0
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",21,23,17.2,34.5,19.2,229.6,1.3,1.1,3.7,18.9,0.1,NA,NA,NA,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",22,24,17.1,27.4,16.5,201.5,1.1,1,6.7,34.3,0.2,NA,NA,NA,NA,0,0.1
"ARIANFOSTER","RB","Arian Foster","HOU",3,25,16.6,NA,NA,NA,NA,NA,20.6,98.6,0.8,2.4,17.3,0.1,NA,0,0.3
"MICHAELVICK","QB","Michael Vick","NYJ",23,26,16.4,25.6,14.9,185.3,0.9,1,6.5,39.2,0.3,NA,NA,NA,NA,0,0.1
"BLAKEBORTLES","QB","Blake Bortles","JAC",24,27,15.8,33.8,19.1,221,1.1,1,2.3,15.4,0.1,NA,NA,NA,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",24,27,15.8,37.7,21,258.3,1.2,1.3,2.5,5.5,0,NA,NA,NA,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",26,29,15.6,39.3,21.5,248,1.3,1.4,2.3,6.3,0,NA,NA,NA,NA,0,0
