"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,26.82,NA,NA,318,3,0,NA,21,0,NA,0,0,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",1,2,24.1,NA,NA,0,0,0,NA,95,2,NA,46,0,NA,0,1
"JORDYNELSON","WR","Jordy Nelson","GB",1,3,23.6,NA,NA,0,0,0,NA,0,0,NA,116,2,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",2,4,23.3,NA,NA,285,3,0,NA,-1,0,NA,0,0,NA,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",2,5,23,NA,NA,0,0,0,NA,85,2,NA,25,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",3,6,20.38,NA,NA,302,2,0,NA,3,0,NA,0,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",4,7,20.26,NA,NA,254,2,0,NA,21,0,NA,0,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",5,8,20.24,NA,NA,236,2,1,NA,48,0,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",6,9,20.08,NA,NA,297,2,0,NA,2,0,NA,0,0,NA,0,0
"JOSHGORDON","WR","Josh Gordon","CLE",2,10,19.8,NA,NA,0,0,0,NA,7,0,NA,131,1,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,10,19.8,NA,NA,0,0,0,NA,0,0,NA,78,2,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",7,12,19.6,NA,NA,280,2,0,NA,4,0,NA,0,0,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",8,13,19.58,NA,NA,282,2,0,NA,3,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",9,14,19.54,NA,NA,286,2,0,NA,1,0,NA,0,0,NA,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",3,15,19.5,NA,NA,0,0,0,NA,97,1,NA,38,0,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",10,16,18.78,NA,NA,252,2,0,NA,7,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",4,17,18.7,NA,NA,0,0,0,NA,0,0,NA,127,1,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",11,18,18.3,NA,NA,280,2,1,NA,11,0,NA,0,0,NA,0,0
"TONYROMO","QB","Tony Romo","DAL",12,19,17.82,NA,NA,283,2,1,NA,5,0,NA,0,0,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",13,20,17.7,NA,NA,275,2,1,NA,7,0,NA,0,0,NA,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",14,21,17.42,NA,NA,253,2,1,NA,13,0,NA,0,0,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",5,22,17.4,NA,NA,0,0,0,NA,0,0,NA,114,1,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",15,23,17.32,NA,NA,223,2,1,NA,24,0,NA,0,0,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",16,24,17.12,NA,NA,208,2,1,NA,28,0,NA,0,0,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC",17,25,17.08,NA,NA,222,2,1,NA,22,0,NA,0,0,NA,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",18,26,16.82,NA,NA,248,2,1,NA,9,0,NA,0,0,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",19,27,16.72,NA,NA,263,2,1,NA,2,0,NA,0,0,NA,0,0
"BRIANHOYER","QB","Brian Hoyer","CLE",20,28,16.52,NA,NA,248,2,1,NA,6,0,NA,0,0,NA,0,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",4,29,16.5,NA,NA,0,0,0,NA,71,1,NA,34,0,NA,0,0
"ARIANFOSTER","RB","Arian Foster","HOU",5,30,16.4,NA,NA,0,0,0,NA,94,1,NA,30,0,NA,0,1
"CJANDERSON","RB","C.J. Anderson","DEN",6,31,16.2,NA,NA,0,0,0,NA,61,0,NA,41,1,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",7,32,15.8,NA,NA,0,0,0,NA,70,1,NA,28,0,NA,0,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",6,33,15.6,NA,NA,0,0,0,NA,0,0,NA,96,1,NA,0,0
"MARKINGRAM","RB","Mark Ingram","NO",8,34,15.3,NA,NA,0,0,0,NA,75,1,NA,18,0,NA,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",7,34,15.3,NA,NA,0,0,0,NA,0,0,NA,113,1,NA,0,1
"EDDIELACY","RB","Eddie Lacy","GB",9,36,15.2,NA,NA,0,0,0,NA,76,1,NA,16,0,NA,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",8,37,14.9,NA,NA,0,0,0,NA,0,0,NA,89,1,NA,0,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",10,38,14.8,NA,NA,0,0,0,NA,68,1,NA,20,0,NA,0,0
"TREMASON","RB","Tre Mason","STL",10,38,14.8,NA,NA,0,0,0,NA,62,1,NA,26,0,NA,0,0
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",12,40,14.5,NA,NA,0,0,0,NA,55,1,NA,30,0,NA,0,0
"ODELLBECKHAM","WR","Odell Beckham","NYG",9,40,14.5,NA,NA,0,0,0,NA,0,0,NA,85,1,NA,0,0
"RANDALLCOBB","WR","Randall Cobb","GB",9,40,14.5,NA,NA,0,0,0,NA,13,0,NA,72,1,NA,0,0
"AJGREEN","WR","A.J. Green","CIN",9,40,14.5,NA,NA,0,0,0,NA,0,0,NA,85,1,NA,0,0
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,44,14.1,NA,NA,0,0,0,NA,0,0,NA,81,1,NA,0,0
"SHAUNHILL","QB","Shaun Hill","STL",21,45,13.8,NA,NA,185,2,1,NA,4,0,NA,0,0,NA,0,0
"TERRANCEWEST","RB","Terrance West","CLE",13,46,13.7,NA,NA,0,0,0,NA,61,1,NA,16,0,NA,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",12,47,13.5,NA,NA,0,0,0,NA,0,0,NA,75,1,NA,0,0
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",2,47,13.5,NA,NA,0,0,0,NA,0,0,NA,75,1,NA,0,0
"MIKEEVANS","WR","Mike Evans","TB",13,49,13.3,NA,NA,0,0,0,NA,0,0,NA,73,1,NA,0,0
"GOLDENTATE","WR","Golden Tate","DET",13,49,13.3,NA,NA,0,0,0,NA,0,0,NA,73,1,NA,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",15,51,13.2,NA,NA,0,0,0,NA,0,0,NA,92,1,NA,0,1
"SAMMYWATKINS","WR","Sammy Watkins","BUF",15,51,13.2,NA,NA,0,0,0,NA,0,0,NA,72,1,NA,0,0
"JULIUSTHOMAS","TE","Julius Thomas","DEN",3,53,13,NA,NA,0,0,0,NA,0,0,NA,70,1,NA,0,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",17,54,12.9,NA,NA,0,0,0,NA,0,0,NA,89,1,NA,0,1
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",4,55,12.8,NA,NA,0,0,0,NA,0,0,NA,68,1,NA,0,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",18,56,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",14,57,12.5,NA,NA,0,0,0,NA,56,1,NA,9,0,NA,0,0
"REGGIEWAYNE","WR","Reggie Wayne","IND",19,57,12.5,NA,NA,0,0,0,NA,0,0,NA,65,1,NA,0,0
"LAMARMILLER","RB","Lamar Miller","MIA",15,59,12.4,NA,NA,0,0,0,NA,52,1,NA,12,0,NA,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",20,59,12.4,NA,NA,0,0,0,NA,0,0,NA,64,1,NA,0,0
"TORREYSMITH","WR","Torrey Smith","BAL",21,61,12.3,NA,NA,0,0,0,NA,0,0,NA,63,1,NA,0,0
"MIKEWALLACE","WR","Mike Wallace","MIA",21,61,12.3,NA,NA,0,0,0,NA,0,0,NA,63,1,NA,0,0
"JOIQUEBELL","RB","Joique Bell","DET",16,63,12.2,NA,NA,0,0,0,NA,42,1,NA,20,0,NA,0,0
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",23,63,12.2,NA,NA,0,0,0,NA,0,0,NA,62,1,NA,0,0
"GREGOLSEN","TE","Greg Olsen","CAR",5,63,12.2,NA,NA,0,0,0,NA,0,0,NA,62,1,NA,0,0
"GENOSMITH","QB","Geno Smith","NYJ",22,66,12.12,NA,NA,203,1,1,NA,20,0,NA,0,0,NA,0,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",17,67,12.1,NA,NA,0,0,0,NA,68,1,NA,13,0,NA,0,1
"DELANIEWALKER","TE","Delanie Walker","TEN",6,68,12,NA,NA,0,0,0,NA,0,0,NA,60,1,NA,0,0
"CHRISIVORY","RB","Chris Ivory","NYJ",18,69,11.8,NA,NA,0,0,0,NA,55,1,NA,3,0,NA,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",19,70,11.7,NA,NA,0,0,0,NA,53,1,NA,4,0,NA,0,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",24,70,11.7,NA,NA,0,0,0,NA,0,0,NA,57,1,NA,0,0
"JASONWITTEN","TE","Jason Witten","DAL",7,72,11.6,NA,NA,0,0,0,NA,0,0,NA,56,1,NA,0,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",23,73,11.5,NA,NA,225,1,1,NA,5,0,NA,0,0,NA,0,0
"STEVESMITH","WR","Steve Smith","BAL",25,74,11.2,NA,NA,0,0,0,NA,0,0,NA,52,1,NA,0,0
"LARRYDONNELL","TE","Larry Donnell","NYG",8,75,11.1,NA,NA,0,0,0,NA,0,0,NA,51,1,NA,0,0
"KYLEORTON","QB","Kyle Orton","BUF",24,76,10.9,NA,NA,215,1,1,NA,3,0,NA,0,0,NA,0,0
"JOHNBROWN","WR","John Brown","ARI",26,76,10.9,NA,NA,0,0,0,NA,0,0,NA,49,1,NA,0,0
"JOSHMCCOWN","QB","Josh McCown","TB",25,78,10.82,NA,NA,203,1,1,NA,7,0,NA,0,0,NA,0,0
"JEREMYHILL","RB","Jeremy Hill","CIN",20,79,10.8,NA,NA,0,0,0,NA,40,1,NA,8,0,NA,0,0
"DEREKCARR","QB","Derek Carr","OAK",26,80,10.5,NA,NA,205,1,1,NA,3,0,NA,0,0,NA,0,0
"TRAVISKELCE","TE","Travis Kelce","KC",9,80,10.5,NA,NA,0,0,0,NA,0,0,NA,45,1,NA,0,0
"DANHERRON","RB","Dan Herron","IND",21,82,10.4,NA,NA,0,0,0,NA,33,1,NA,11,0,NA,0,0
