"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"LEVEONBELL","RB","Le'Veon Bell","PIT",1,1,41.5,9,NA,0,0,0,26,185,2,6,50,1,0,0,0
"CAMNEWTON","QB","Cam Newton","CAR",1,2,35.34,0,NA,226,3,0,12,83,1,0,0,0,0,0,0
"MATTRYAN","QB","Matt Ryan","ATL",2,3,32.3,0,NA,375,4,1,2,23,0,0,0,0,0,0,0
"JULIOJONES","WR","Julio Jones","ATL",1,4,31.9,17,NA,0,0,0,0,0,0,11,259,1,0,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",3,5,29.32,0,NA,263,2,0,10,48,1,0,0,0,0,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",2,6,28.8,10,NA,0,0,0,32,179,1,9,49,0,0,0,0
"AJGREEN","WR","A.J. Green","CIN",2,7,28.4,15,NA,0,0,0,0,0,0,11,224,1,0,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",4,8,27.9,0,NA,350,3,0,1,-1,0,0,0,0,0,1,0
"AARONRODGERS","QB","Aaron Rodgers","GB",5,9,27.88,0,NA,327,3,0,5,28,0,0,0,0,0,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",6,10,27.54,0,NA,341,2,1,2,9,1,0,0,0,0,0,0
"JORDYNELSON","WR","Jordy Nelson","GB",3,11,26.6,10,NA,0,0,0,0,0,0,8,146,2,0,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",7,12,26.28,0,NA,302,2,0,4,22,1,0,0,0,0,0,1
"ANDREWLUCK","QB","Andrew Luck","IND",8,13,25.46,0,NA,294,2,2,5,37,1,0,0,0,0,0,1
"JOEFLACCO","QB","Joe Flacco","BAL",9,14,25.36,0,NA,269,2,1,7,16,1,0,0,0,0,0,0
"JOIQUEBELL","RB","Joique Bell","DET",3,15,25.3,5,NA,0,0,0,18,83,1,5,50,1,0,0,0
"TYHILTON","WR","T.Y. Hilton","IND",4,16,25,19,NA,0,0,0,0,0,0,10,150,2,0,0,1
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",10,17,24.24,0,NA,311,3,0,3,-2,0,0,0,0,0,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",4,18,23.8,0,NA,0,0,0,21,58,3,0,0,0,0,0,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",5,19,23.1,4,NA,0,0,0,10,91,1,2,20,1,0,0,0
"EDDIELACY","RB","Eddie Lacy","GB",6,20,22.6,9,NA,0,0,0,13,73,1,5,33,1,0,0,0
"DEREKCARR","QB","Derek Carr","OAK",11,21,22.36,0,NA,254,3,0,2,2,0,0,0,0,0,0,0
"KYLEORTON","QB","Kyle Orton","BUF",12,22,22.3,0,NA,355,1,2,1,1,1,0,0,0,0,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",5,23,21.8,9,NA,0,0,0,0,0,0,8,158,1,0,0,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",7,24,21.5,1,NA,0,0,0,20,155,1,0,0,0,0,0,0
"ARIANFOSTER","RB","Arian Foster","HOU",8,25,20.8,4,NA,0,0,0,24,127,1,2,21,0,0,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",9,26,20.7,5,NA,0,0,0,24,131,1,3,16,0,0,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",6,27,20.6,5,NA,0,0,0,1,23,0,4,123,1,0,0,0
"JULIANEDELMAN","WR","Julian Edelman","NE",7,28,20.5,12,NA,0,0,0,1,4,0,8,141,1,0,0,0
"TOMBRADY","QB","Tom Brady","NE",13,29,20.38,0,NA,317,2,1,4,7,0,0,0,0,0,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",14,30,20.06,0,NA,309,2,1,3,7,0,0,0,0,0,0,0
"TONYROMO","QB","Tony Romo","DAL",15,31,20,0,NA,205,3,0,2,-2,0,0,0,0,0,0,0
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",8,32,19.9,15,NA,0,0,0,1,9,0,11,130,1,0,0,0
"PERCYHARVIN","WR","Percy Harvin","NYJ",9,33,18.7,9,NA,0,0,0,2,3,0,6,124,1,0,0,0
"JAREDCOOK","TE","Jared Cook","STL",1,34,18.1,5,NA,0,0,0,0,0,0,4,61,2,0,0,0
"ALEXSMITH","QB","Alex Smith","KC",16,35,17.32,0,NA,293,1,1,4,26,0,0,0,0,0,0,0
"DREWSTANTON","QB","Drew Stanton","ARI",17,36,17.26,0,NA,239,1,0,4,17,0,0,0,0,0,1,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",10,37,16.9,6,NA,0,0,0,0,0,0,4,109,1,0,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",2,37,16.9,7,NA,0,0,0,0,0,0,7,109,1,0,0,0
"MIKEEVANS","WR","Mike Evans","TB",11,39,16.5,11,NA,0,0,0,0,0,0,4,45,2,0,0,0
"GENOSMITH","QB","Geno Smith","NYJ",18,40,16.46,0,NA,254,1,1,6,33,0,0,0,0,0,0,0
"SHAUNHILL","QB","Shaun Hill","STL",19,41,16.42,0,NA,213,2,0,2,-1,0,0,0,0,0,0,0
"CHARLESJOHNSON","WR","Charles Johnson","MIN",12,42,16.3,8,NA,0,0,0,0,0,0,4,103,1,0,0,0
"COLEBEASLEY","WR","Cole Beasley","DAL",13,43,16.2,3,NA,0,0,0,0,0,0,3,42,2,0,0,0
"JAMESSTARKS","RB","James Starks","GB",10,44,16.1,2,NA,0,0,0,10,75,1,2,26,0,0,0,0
"MATTFORTE","RB","Matt Forte","CHI",11,45,16,9,NA,0,0,0,13,26,1,8,74,0,0,1,1
"VINCENTJACKSON","WR","Vincent Jackson","TB",14,46,15.9,17,NA,0,0,0,0,0,0,10,159,0,0,0,0
"DOUGBALDWIN","WR","Doug Baldwin","SEA",15,47,15.7,7,NA,0,0,0,0,0,0,5,97,1,0,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",16,48,15.5,9,NA,0,0,0,0,0,0,6,95,1,0,0,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",12,49,15.3,5,NA,0,0,0,23,86,0,5,27,1,0,0,1
"JOSHMCCOWN","QB","Josh McCown","TB",20,50,14.8,0,NA,250,2,2,4,8,0,0,0,0,0,0,1
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,51,14.7,11,NA,0,0,0,0,0,0,8,87,1,0,0,0
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",4,52,14.4,15,NA,0,0,0,0,0,0,12,84,1,0,0,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",13,53,13.8,2,NA,0,0,0,13,71,1,2,7,0,0,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",21,54,13.68,0,NA,227,1,0,2,6,0,0,0,0,0,0,0
"STEVENJACKSON","RB","Steven Jackson","ATL",14,55,13.6,2,NA,0,0,0,16,50,1,2,26,0,0,0,0
"ELIMANNING","QB","Eli Manning","NYG",22,56,13.4,0,NA,260,1,1,0,0,0,0,0,0,0,0,0
"GREGOLSEN","TE","Greg Olsen","CAR",5,57,13.2,11,NA,0,0,0,0,0,0,10,72,1,0,0,0
"STEVESMITH","WR","Steve Smith Sr.","BAL",17,58,13,11,NA,0,0,0,0,0,0,7,70,1,0,0,0
"DREWBREES","QB","Drew Brees","NO",23,58,13,0,NA,235,1,1,1,6,0,0,0,0,0,0,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",24,60,12.9,0,NA,135,0,0,9,15,1,0,0,0,0,0,0
"MARCELREECE","RB","Marcel Reece","OAK",15,61,12.6,7,NA,0,0,0,2,2,0,7,64,1,0,0,0
"KAMARAIKEN","WR","Kamar Aiken","BAL",18,62,12.5,7,NA,0,0,0,0,0,0,6,65,1,0,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAX",25,63,12.2,0,NA,205,1,1,3,10,0,0,0,0,0,0,0
"TAVONAUSTIN","WR","Tavon Austin","STL",19,64,12,2,NA,0,0,0,5,46,0,2,14,0,1,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",20,65,11.7,14,NA,0,0,0,0,0,0,9,117,0,0,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",26,66,11.56,0,NA,174,1,2,3,26,0,0,0,0,0,0,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",27,67,11.54,0,NA,96,2,1,1,7,0,0,0,0,0,0,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",21,68,11.4,6,NA,0,0,0,0,0,0,3,54,1,0,0,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",16,68,11.4,0,NA,0,0,0,14,54,1,0,0,0,0,0,0
"CHRISHOGAN","WR","Chris Hogan","BUF",21,68,11.4,9,NA,0,0,0,0,0,0,7,54,1,0,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",28,71,11.36,0,NA,189,1,1,3,8,0,0,0,0,0,0,0
"JARONBROWN","WR","Jaron Brown","ARI",23,72,10.8,3,NA,0,0,0,0,0,0,2,48,1,0,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",24,73,10.7,12,NA,0,0,0,0,0,0,7,127,0,0,0,1
"RODDYWHITE","WR","Roddy White","ATL",25,74,10.2,5,NA,0,0,0,0,0,0,3,42,1,0,0,0
"KERWYNNWILLIAMS","RB","Kerwynn Williams","ARI",17,75,10,0,NA,0,0,0,19,100,0,0,0,0,0,0,0
"ZACHERTZ","TE","Zach Ertz","PHI",6,76,9.9,3,NA,0,0,0,0,0,0,2,39,1,0,0,0
"ALLENHURNS","WR","Allen Hurns","JAX",26,77,9.6,10,NA,0,0,0,0,0,0,5,36,1,0,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",27,78,9.5,11,NA,0,0,0,0,0,0,9,95,0,0,0,0
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",18,79,9.1,1,NA,0,0,0,3,5,0,1,26,1,0,0,0
"TRAVISKELCE","TE","Travis Kelce","KC",7,80,9,9,NA,0,0,0,0,0,0,7,110,0,0,0,1
"LAMARMILLER","RB","Lamar Miller","MIA",19,81,8.9,5,NA,0,0,0,12,53,0,5,36,0,0,0,0
"ERICDECKER","WR","Eric Decker","NYJ",28,81,8.9,8,NA,0,0,0,0,0,0,6,89,0,0,0,0
"MICHAELFLOYD","WR","Michael Floyd","ARI",29,83,8.5,7,NA,0,0,0,0,0,0,4,85,0,0,0,0
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",20,83,8.5,2,NA,0,0,0,23,76,0,2,9,0,0,0,0
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",30,85,8.4,5,NA,0,0,0,0,0,0,2,24,1,0,0,0
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",8,86,8.3,4,NA,0,0,0,0,0,0,3,23,1,0,0,0
"WESWELKER","WR","Wes Welker","DEN",31,87,8.2,6,NA,0,0,0,0,0,0,6,82,0,0,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",31,87,8.2,8,NA,0,0,0,0,0,0,6,82,0,0,0,0
"HEATHMILLER","TE","Heath Miller","PIT",9,89,8.1,3,NA,0,0,0,0,0,0,1,1,1,0,1,0
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",33,89,8.1,6,NA,0,0,0,0,0,0,3,21,1,0,0,0
"SCOTTCHANDLER","TE","Scott Chandler","BUF",9,89,8.1,11,NA,0,0,0,0,0,0,8,81,0,0,0,0
"JOSEPHFAURIA","TE","Joseph Fauria","DET",11,92,7.7,2,NA,0,0,0,0,0,0,2,17,1,0,0,0
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",21,92,7.7,2,NA,0,0,0,4,63,0,1,14,0,0,0,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",21,92,7.7,0,NA,0,0,0,1,17,1,0,0,0,0,0,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",21,92,7.7,2,NA,0,0,0,20,66,0,2,11,0,0,0,0
"ALFREDBLUE","RB","Alfred Blue","HOU",24,96,7.5,0,NA,0,0,0,9,15,1,0,0,0,0,0,0
"FREDJACKSON","RB","Fred Jackson","BUF",25,97,7.2,14,NA,0,0,0,8,35,0,10,37,0,0,0,0
"MARQUESCOLSTON","WR","Marques Colston","NO",34,97,7.2,7,NA,0,0,0,0,0,0,5,72,0,0,0,0
"HARRYDOUGLAS","WR","Harry Douglas","ATL",35,99,7.1,3,NA,0,0,0,0,0,0,2,11,1,0,0,0
"DANIELHERRON","RB","Daniel Herron","IND",26,99,7.1,7,NA,0,0,0,8,26,0,4,45,0,0,0,0
"MARQISELEE","WR","Marqise Lee","JAX",35,99,7.1,8,NA,0,0,0,1,4,0,5,67,0,0,0,0
"BRIANHARTLINE","WR","Brian Hartline","MIA",35,99,7.1,4,NA,0,0,0,0,0,0,2,11,1,0,0,0
"COLTMCCOY","QB","Colt McCoy","WAS",29,103,7.06,0,NA,199,0,2,2,11,0,0,0,0,0,0,0
