"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"AARONRODGERS","Aaron Rodgers","QB","GB",1,1,33,26,329,3,1,78.8,10,3,20,6.7,0,NA,NA,NA,NA,NA,0,31
"PEYTONMANNING","Peyton Manning","QB","DEN",2,2,31,23,313,3,0,74.2,10.1,1,0,0,0,NA,NA,NA,NA,NA,0,30
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",2,2,34,23,300,3,0,67.6,8.8,0,0,0,0,NA,NA,NA,NA,NA,0,30
"DREWBREES","Drew Brees","QB","NO",4,4,38,25,314,2,0,65.8,8.3,2,0,0,0,NA,NA,NA,NA,NA,0,24
"MATTRYAN","Matt Ryan","QB","ATL",5,5,34,23,276,2,0,67.6,8.1,2,4,2,0,NA,NA,NA,NA,NA,0,23
"CARSONPALMER","Carson Palmer","QB","ARI",6,6,30,22,252,2,0,73.3,8.4,0,0,0,0,NA,NA,NA,NA,NA,0,22
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",7,7,42,25,277,2,1,59.5,6.6,1,3,3,0,NA,NA,NA,NA,NA,0,21
"RUSSELLWILSON","Russell Wilson","QB","SEA",7,7,21,14,153,2,0,66.7,7.3,4,33,8.2,0,NA,NA,NA,NA,NA,0,21
"JAYCUTLER","Jay Cutler","QB","CHI",9,9,35,24,292,2,2,68.6,8.3,3,14,4.7,0,NA,NA,NA,NA,NA,0,20
"CAMNEWTON","Cam Newton","QB","CAR",9,9,35,19,209,2,1,54.3,6,8,44,5.5,0,NA,NA,NA,NA,NA,1,20
"ELIMANNING","Eli Manning","QB","NYG",11,11,40,28,296,2,2,70,7.4,0,0,0,0,NA,NA,NA,NA,NA,0,19
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",11,11,34,21,229,2,1,61.8,6.7,6,26,4.3,0,NA,NA,NA,NA,NA,1,19
"MARKSANCHEZ","Mark Sanchez","QB","PHI",11,11,38,26,242,2,1,68.4,6.4,2,8,4,0,NA,NA,NA,NA,NA,0,19
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",11,11,37,23,288,1,1,62.2,7.8,6,41,6.8,0,NA,NA,NA,NA,NA,0,19
"ANDYDALTON","Andy Dalton","QB","CIN",11,11,31,23,249,2,1,74.2,8,3,8,2.7,0,NA,NA,NA,NA,NA,0,19
"JOEFLACCO","Joe Flacco","QB","BAL",11,11,28,16,183,2,0,57.1,6.5,1,0,0,0,NA,NA,NA,NA,NA,0,19
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",1,11,NA,NA,NA,NA,NA,NA,NA,22,90,4.1,1,3,41,13.7,0,NA,0,19
"ANTONIOBROWN","Antonio Brown","WR","PIT",1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,133,16.6,1,NA,0,19
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",17,19,36,25,222,2,1,69.4,6.2,1,1,1,0,NA,NA,NA,NA,NA,0,18
"BLAKEBORTLES","Blake Bortles","QB","JAC",17,19,34,21,190,2,1,61.8,5.6,3,15,5,0,NA,NA,NA,NA,NA,0,18
"MATTFORTE","Matt Forte","RB","CHI",2,19,NA,NA,NA,NA,NA,NA,NA,19,87,4.6,1,5,43,8.6,0,NA,0,18
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",2,19,NA,NA,NA,NA,NA,NA,NA,23,121,5.3,1,3,27,9,0,NA,1,18
"TONYROMO","Tony Romo","QB","DAL",19,23,31,20,276,1,0,64.5,8.9,1,0,0,0,NA,NA,NA,NA,NA,0,17
"MICHAELVICK","Michael Vick","QB","NYJ",19,23,35,23,213,1,1,65.7,6.1,6,51,8.5,0,NA,NA,NA,NA,NA,0,17
"LESEANMCCOY","LeSean McCoy","RB","PHI",4,23,NA,NA,NA,NA,NA,NA,NA,22,102,4.6,1,4,13,3.2,0,NA,0,17
"RANDALLCOBB","Randall Cobb","WR","GB",2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,116,16.6,1,NA,0,17
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,114,16.3,1,NA,0,17
"KYLEORTON","Kyle Orton","QB","BUF",21,28,38,29,308,1,1,76.3,8.1,0,0,0,0,NA,NA,NA,NA,NA,0,16
"DEREKCARR","Derek Carr","QB","OAK",21,28,36,23,195,2,2,63.9,5.4,3,11,3.7,0,NA,NA,NA,NA,NA,0,16
"ALEXSMITH","Alex Smith","QB","KC",21,28,32,22,206,1,0,68.8,6.4,3,21,7,0,NA,NA,NA,NA,NA,0,16
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",5,28,NA,NA,NA,NA,NA,NA,NA,17,92,5.4,1,2,12,6,0,NA,0,16
"JULIOJONES","Julio Jones","WR","ATL",4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,105,15,1,NA,0,16
"JORDYNELSON","Jordy Nelson","WR","GB",5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,90,15,1,NA,0,15
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,90,18,1,NA,0,15
"JAMAALCHARLES","Jamaal Charles","RB","KC",6,35,NA,NA,NA,NA,NA,NA,NA,16,65,4.1,1,4,28,7,0,NA,0,14
"JEREMYHILL","Jeremy Hill","RB","CIN",6,35,NA,NA,NA,NA,NA,NA,NA,22,75,3.4,1,3,19,6.3,0,NA,0,14
"LEVEONBELL","Le'Veon Bell","RB","PIT",6,35,NA,NA,NA,NA,NA,NA,NA,17,69,4.1,1,3,21,7,0,NA,0,14
"ANDREELLINGTON","Andre Ellington","RB","ARI",6,35,NA,NA,NA,NA,NA,NA,NA,18,80,4.4,1,3,28,9.3,0,NA,1,14
"JOSHMCCOWN","Josh McCown","QB","TB",24,39,36,23,243,1,1,63.9,6.8,3,8,2.7,0,NA,NA,NA,NA,NA,0,13
"MARKINGRAM","Mark Ingram","RB","NO",10,39,NA,NA,NA,NA,NA,NA,NA,20,74,3.7,1,0,0,0,0,NA,0,13
"EDDIELACY","Eddie Lacy","RB","GB",10,39,NA,NA,NA,NA,NA,NA,NA,17,61,3.6,1,1,10,10,0,NA,0,13
"DENARDROBINSON","Denard Robinson","RB","JAC",10,39,NA,NA,NA,NA,NA,NA,NA,20,124,6.2,0,2,13,6.5,0,NA,0,13
"BOBBYRAINEY","Bobby Rainey","RB","TB",10,39,NA,NA,NA,NA,NA,NA,NA,18,95,5.3,1,1,7,7,0,NA,1,13
"CALVINJOHNSON","Calvin Johnson","WR","DET",7,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,72,12,1,NA,0,13
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",7,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,75,15,1,NA,0,13
"AJGREEN","A.J. Green","WR","CIN",7,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,77,11,1,NA,0,13
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",7,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,71,11.8,1,NA,0,13
"DEZBRYANT","Dez Bryant","WR","DAL",7,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,75,15,1,NA,0,13
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,70,11.7,1,NA,0,13
"TERRANCEWEST","Terrance West","RB","CLE",14,50,NA,NA,NA,NA,NA,NA,NA,16,68,4.2,1,2,8,4,0,NA,0,12
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,67,13.4,1,NA,0,12
"SAMMYWATKINS","Sammy Watkins","WR","BUF",12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,68,11.3,1,NA,0,12
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,60,15,1,NA,0,12
"GOLDENTATE","Golden Tate","WR","DET",12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,61,15.2,1,NA,0,12
"MIKEEVANS","Mike Evans","WR","TB",12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,68,11.3,1,NA,0,12
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,64,21.3,1,NA,0,12
"JULIUSTHOMAS","Julius Thomas","TE","DEN",2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,66,13.2,1,NA,0,12
"BRIANHOYER","Brian Hoyer","QB","CLE",25,58,36,19,198,1,1,52.8,5.5,1,0,0,0,NA,NA,NA,NA,NA,0,11
"RODDYWHITE","Roddy White","WR","ATL",18,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58,11.6,1,NA,0,11
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",18,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,59,11.8,1,NA,0,11
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",18,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,111,18.5,0,NA,0,11
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",3,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,53,10.6,1,NA,0,11
"STEVENJACKSON","Steven Jackson","RB","ATL",15,63,NA,NA,NA,NA,NA,NA,NA,14,49,3.5,1,0,0,0,0,NA,0,10
"ERICDECKER","Eric Decker","WR","NYJ",21,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,48,8,1,NA,0,10
"MICHAELCRABTREE","Michael Crabtree","WR","SF",21,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,48,9.6,1,NA,0,10
"LARRYDONNELL","Larry Donnell","TE","NYG",4,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,45,9,1,NA,0,10
