"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"TOMBRADY","QB","Tom Brady","NE",1,1,19.6,39.2,27,292.1,2.3,0.5,2.4,2.9,0.1,0,0,0,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",2,2,18.4,0,0,0,0,0,18.4,88.9,1,4,34.7,0.3,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",3,3,17.5,33.3,23.1,278.8,1.8,0.4,2.1,6.6,0.1,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",4,4,17,33.8,22,280.3,2,0.8,1.9,4.2,0,0,0,0,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",5,5,16.9,31.2,20,246,1.9,0.4,3.5,18.7,0.1,0,0,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",6,6,16.8,32.9,21.2,231.7,1.5,0.5,3.9,20.2,0.2,0,0,0,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",6,6,16.8,38,24.2,295.2,1.9,0.8,1.4,-0.4,0,0,0,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",8,8,16.6,33.7,21.1,252.6,2,0.9,1.6,2.6,0.1,0,0,0,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",9,9,16.3,0,0,0,0,0,18.5,86.8,0.7,4.1,32.6,0.2,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",10,10,16.1,41.8,26.7,304.2,1.7,1.4,1.9,6,0.1,0,0,0,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",10,10,16.1,32.3,20.6,245.9,1.1,0.6,6.5,40,0.1,0,0,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",12,12,15.8,35,22.4,271.7,2,0.8,1,1.9,0,0,0,0,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","PIT",13,13,15.4,30.6,18.1,214.3,1.5,0.9,5.7,35.9,0.2,0,0,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",14,14,15.1,0,0,0,0,0,20.5,81.4,0.5,3.4,30.9,0.2,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",14,14,15.1,27.8,17.7,202.8,1.6,1.2,5.9,28.8,0.2,0,0,0,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",16,16,15,0,0,0,0,0,17.5,70.3,0.7,4,37.5,0.1,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAX",17,17,14.6,33.8,20.3,244.8,1.4,0.9,3.4,20,0.1,0,0,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",17,17,14.6,43.3,28.1,316.2,1.2,1,1.6,2.6,0,0,0,0,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",19,19,14.4,34.9,21.4,251.2,1.4,1,2.6,12,0.1,0,0,0,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",19,19,14.4,33.4,20.9,241.9,1.6,0.6,2.4,4.9,0.1,0,0,0,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",21,21,14.1,0,0,0,0,0,17.1,74.6,0.5,3.9,31.2,0.2,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","PHI",22,22,14,34.2,20.8,223.5,1.7,0.5,2.2,5.7,0.1,0,0,0,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",23,23,13.9,31.6,19.8,235,0.7,0.7,6.2,38.7,0.2,0,0,0,NA,NA,NA
"RYANMALLETT","QB","Ryan Mallett","HOU",24,24,13.8,34.6,21.1,259.7,1.3,0.8,1.2,3.5,0,0,0,0,NA,NA,NA
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",25,25,13.6,34.3,21.2,240.7,1.5,1,3.1,18.3,0.1,0,0,0,NA,NA,NA
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",26,26,13.5,38.5,23.3,259.9,1.5,1.1,2.6,7.7,0.1,0,0,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",27,27,13.2,0,0,0,0,0,0,0,0,6.5,93.7,0.7,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",28,28,13.1,0,0,0,0,0,0.1,0.9,0,7.4,99.9,0.7,NA,NA,NA
"JAMEISWINSTON","QB","Jameis Winston","TB",29,29,13,31.2,18.7,237.6,1.2,0.9,4.2,15.3,0.1,0,0,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",30,30,12.9,0,0,0,0,0,16,75.8,0.7,2.5,19.2,0.1,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",30,30,12.9,37.9,23.9,269.9,1.3,1.1,1.3,4.5,0,0,0,0,NA,NA,NA
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",32,32,12.8,33.4,21.4,247.1,1.5,1.2,1.9,5.6,0.1,0,0,0,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",32,32,12.8,0,0,0,0,0,0,0,0,7,100.6,0.5,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",32,32,12.8,0,0,0,0,0,17.6,88.8,0.4,2.7,21,0.1,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",35,35,12.4,0,0,0,0,0,18.6,84.6,0.5,2.6,17.9,0.1,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",36,36,12.2,30.1,18.6,217.5,1.3,0.7,3.1,9.5,0.1,0,0,0,NA,NA,NA
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",36,36,12.2,0,0,0,0,0,17.7,77,0.7,1.5,11.7,0.1,NA,NA,NA
"DIONLEWIS","RB","Dion Lewis","NE",38,38,12.1,0,0,0,0,0,12.9,56.1,0.4,4.5,41.8,0.1,NA,NA,NA
"NICKFOLES","QB","Nick Foles","STL",39,39,12,34,20.5,226.7,1.2,0.9,2.1,9,0.1,0,0,0,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",40,40,11.7,38.2,23.5,249.2,1.4,1.1,1.9,5.7,0,0,0,0,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",41,41,11.6,0,0,0,0,0,0,0,0,6.8,88.7,0.6,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",41,41,11.6,0,0,0,0,0,0.4,2.7,0,6.3,84.5,0.6,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",41,41,11.6,0,0,0,0,0,0.6,3.7,0,5.9,80,0.6,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",44,44,11.2,0,0,0,0,0,16.7,73.6,0.3,3.3,26.5,0.1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",45,45,11.1,0,0,0,0,0,0.5,3.5,0,5.7,81,0.5,NA,NA,NA
"TODDGURLEY","RB","Todd Gurley","STL",46,46,10.7,0,0,0,0,0,15.5,69.3,0.4,2.6,20.7,0.1,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",47,47,10.5,0,0,0,0,0,0.8,5.3,0,7.5,77.4,0.6,NA,NA,NA
"TJYELDON","RB","T.J. Yeldon","JAX",48,48,10.3,0,0,0,0,0,17.7,68.8,0.5,2.3,18.1,0.1,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",49,49,10.2,0,0,0,0,0,0.3,1.7,0,5.8,75,0.5,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",49,49,10.2,0,0,0,0,0,0,0,0,5.6,69.5,0.7,NA,NA,NA
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",51,51,10.1,0,0,0,0,0,15.6,62.8,0.3,2.8,21.7,0.1,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",52,52,10,0,0,0,0,0,16.6,63.5,0.5,1.7,13.2,0,NA,NA,NA
"FRANKGORE","RB","Frank Gore","IND",52,52,10,0,0,0,0,0,17,68.5,0.5,2.2,17.9,0.1,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","CLE",52,52,10,33.7,19.1,224.3,0.9,1.2,2.7,13.5,0.1,0,0,0,NA,NA,NA
"JOSEPHRANDLE","RB","Joseph Randle","DAL",55,55,9.9,0,0,0,0,0,13.4,62.8,0.5,2,16.2,0.1,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",56,56,9.7,0,0,0,0,0,0.3,1.7,0,5.3,74.8,0.5,NA,NA,NA
"AMEERABDULLAH","RB","Ameer Abdullah","DET",56,56,9.7,0,0,0,0,0,12.8,54.1,0.4,3.4,27.9,0.1,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",56,56,9.7,0,0,0,0,0,0,0,0,5.7,78.3,0.5,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",59,59,9.4,0,0,0,0,0,0,0,0,5.5,69.2,0.6,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",60,60,9.3,0,0,0,0,0,0.1,0.9,0,4.9,71.1,0.4,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","KC",60,60,9.3,0,0,0,0,0,0.3,1.7,0,5.4,71.8,0.4,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAX",62,62,9.1,0,0,0,0,0,0,0,0,5.1,72.3,0.4,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",63,63,9,0,0,0,0,0,17.2,63.8,0.3,1.7,13.4,0,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",64,64,8.6,0,0,0,0,0,13.8,49.2,0.4,3.5,26.5,0.1,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",65,65,8.5,0,0,0,0,0,11.9,43.7,0.4,3,22.9,0.1,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",66,66,8.2,0,0,0,0,0,0,0,0,5.1,60.4,0.4,NA,NA,NA
"MELVINGORDON","RB","Melvin Gordon","SD",67,67,8.1,0,0,0,0,0,17,68,0.3,1.2,9.8,0.1,NA,NA,NA
"AMARICOOPER","WR","Amari Cooper","OAK",68,68,8,0,0,0,0,0,0,0,0,5.7,64,0.3,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",68,68,8,0,0,0,0,0,0,0,0,5.2,57.8,0.5,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",68,68,8,0,0,0,0,0,0,0,0,4.5,66.7,0.3,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",71,71,7.9,0,0,0,0,0,0,0,0,5.2,65.6,0.3,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",71,71,7.9,0,0,0,0,0,0.3,1.9,0,4.1,56.9,0.5,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",71,71,7.9,0,0,0,0,0,0.2,1.6,0,5.5,66.4,0.3,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",74,74,7.8,0,0,0,0,0,0.3,1.7,0,5.5,60.5,0.3,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",74,74,7.8,0,0,0,0,0,0,0,0,4.1,63.2,0.3,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","ARI",76,76,7.7,0,0,0,0,0,14.7,59.7,0.4,0.9,7.5,0,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",76,76,7.7,0,0,0,0,0,0.4,2.5,0,5.1,61.5,0.3,NA,NA,NA
"JAMESJONES","WR","James Jones","GB",76,76,7.7,0,0,0,0,0,0,0,0,3.8,57.3,0.5,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",76,76,7.7,0,0,0,0,0,13.6,53.1,0.5,0.9,6.7,0,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",76,76,7.7,0,0,0,0,0,12,47.8,0.4,1.4,12.1,0.1,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",81,81,7.6,0,0,0,0,0,13.5,59.5,0.4,1,7.9,0,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",82,82,7.5,0,0,0,0,0,12.3,48.2,0.4,2,16.5,0.1,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",82,82,7.5,0,0,0,0,0,10.2,41.3,0.4,1.6,12.5,0.1,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",84,84,7.4,0,0,0,0,0,0.8,5,0,4.9,61,0.2,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",85,85,7.3,0,0,0,0,0,0,0,0,3.8,56.7,0.4,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",85,85,7.3,0,0,0,0,0,0,0,0,4.9,53.4,0.4,NA,NA,NA
"JOHNBROWN","WR","John Brown","ARI",87,87,7.2,0,0,0,0,0,0.3,1.8,0,3.8,51.1,0.4,NA,NA,NA
"LEONARDHANKERSON","WR","Leonard Hankerson","ATL",87,87,7.2,0,0,0,0,0,0,0,0,4.1,52.6,0.4,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","OAK",87,87,7.2,0,0,0,0,0,0,0,0,5,59.5,0.4,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",90,90,7.1,0,0,0,0,0,0,0,0,3.7,51.9,0.3,NA,NA,NA
"WILLIESNEAD","WR","Willie Snead","NO",90,90,7.1,0,0,0,0,0,0,0,0,4.4,60,0.2,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",92,92,7,0,0,0,0,0,0,0,0,5,54,0.3,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",93,93,6.9,0,0,0,0,0,7.2,29.2,0.1,3.2,30.4,0.2,NA,NA,NA
"DONTEMONCRIEF","WR","Donte Moncrief","IND",93,93,6.9,0,0,0,0,0,0.2,1.6,0,4.9,55.4,0.3,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAX",95,95,6.6,0,0,0,0,0,0,0,0,3.8,50.3,0.3,NA,NA,NA
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",95,95,6.6,0,0,0,0,0,0,0,0,3.7,55.7,0.2,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",97,97,6.4,0,0,0,0,0,0,0,0,3.7,45.2,0.4,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","CHI",97,97,6.4,0,0,0,0,0,0,0,0,4.3,51,0.2,NA,NA,NA
"KEITHMUMPHERY","WR","Keith Mumphery","HOU",97,97,6.4,0,0,0,0,0,0,0,0,3.6,51.1,0.2,NA,NA,NA
"LARRYDONNELL","TE","Larry Donnell","NYG",97,97,6.4,0,0,0,0,0,0,0,0,3.6,41.7,0.4,NA,NA,NA
"MATTJONES","RB","Matt Jones","WAS",97,97,6.4,0,0,0,0,0,9.5,44.2,0.4,1.3,9.8,0,NA,NA,NA
"DUKEJOHNSON","RB","Duke Johnson Jr.","CLE",102,102,6.3,0,0,0,0,0,9,33.5,0.2,3,24.4,0.1,NA,NA,NA
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",102,102,6.3,0,0,0,0,0,13.4,52.3,0.2,0.9,7.1,0,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","BUF",104,104,6.2,0,0,0,0,0,0,0,0,3.7,40.6,0.4,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",104,104,6.2,0,0,0,0,0,0.1,0.8,0,4.2,56.8,0.2,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",104,104,6.2,0,0,0,0,0,0,0,0,3.1,43.5,0.4,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",107,107,6.1,0,0,0,0,0,6.7,25,0.2,2.6,23.1,0.1,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",107,107,6.1,0,0,0,0,0,11.3,46.3,0.3,0.1,1,0,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",107,107,6.1,0,0,0,0,0,0,0,0,2.5,44.6,0.3,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",107,107,6.1,0,0,0,0,0,0,0,0,3.7,50.2,0.2,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","DEN",107,107,6.1,0,0,0,0,0,0,0,0,3.6,40.7,0.3,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",112,112,6,0,0,0,0,0,0,0,0,4.4,53.7,0.2,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","DAL",112,112,6,0,0,0,0,0,8.1,34.3,0.3,1.7,15,0.1,NA,NA,NA
"KAMARAIKEN","WR","Kamar Aiken","BAL",112,112,6,0,0,0,0,0,0,0,0,3.5,49.1,0.3,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",115,115,5.9,0,0,0,0,0,0,0,0,3.5,46.5,0.3,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","BUF",115,115,5.9,0,0,0,0,0,1.1,7.4,0,3.6,40.5,0.3,NA,NA,NA
"ANTONIOANDREWS","RB","Antonio Andrews","TEN",117,117,5.8,0,0,0,0,0,9.8,41.7,0.3,0.7,5.6,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",117,117,5.8,0,0,0,0,0,5,23.5,0.2,3,24.6,0.1,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NYG",117,117,5.8,0,0,0,0,0,5,21.2,0.2,2.7,26.9,0.2,NA,NA,NA
"STEVIEJOHNSON","WR","Stevie Johnson","SD",117,117,5.8,0,0,0,0,0,0,0,0,3.3,45.1,0.3,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",117,117,5.8,0,0,0,0,0,0,0,0,4,46.9,0.3,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",122,122,5.7,0,0,0,0,0,0,0,0,4.3,48.6,0.3,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","SEA",122,122,5.7,0,0,0,0,0,0,0,0,3.9,46.6,0.3,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",124,124,5.6,0,0,0,0,0,0,0,0,3.9,44.7,0.3,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",125,125,5.5,0,0,0,0,0,8.6,38.2,0.4,0.3,2.6,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",125,125,5.5,0,0,0,0,0,1.5,11.5,0,3.3,35.7,0.2,NA,NA,NA
