displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Drew Brees,NO,30.0,42.0,350.0,2.0,1.0,2.0,0.0,0.0
Peyton Manning,DEN,27.0,38.0,317.0,2.0,0.0,0.0,0.0,0.0
Tom Brady,NE,29.0,42.0,305.0,2.0,0.0,1.0,0.0,0.0
Matt Ryan,ATL,25.0,40.0,305.0,1.0,1.0,6.0,0.0,0.0
Ben Roethlisberger,PIT,26.0,38.0,298.0,2.0,0.0,6.0,0.0,0.0
Andrew Luck,IND,26.0,38.0,290.0,2.0,0.0,20.0,0.0,0.0
Mark Sanchez,PHI,26.0,42.0,289.0,1.0,1.0,3.0,0.0,0.0
Matthew Stafford,DET,26.0,40.0,283.0,1.0,0.0,6.0,0.0,0.0
Philip Rivers,SD,25.0,37.0,282.0,1.0,0.0,3.0,0.0,0.0
Jay Cutler,CHI,25.0,37.0,279.0,1.0,1.0,11.0,0.0,0.0
Josh McCown,TB,23.0,42.0,279.0,1.0,1.0,17.0,0.0,0.0
Aaron Rodgers,GB,21.0,33.0,277.0,2.0,0.0,14.0,0.0,0.0
Derek Carr,OAK,22.0,37.0,260.0,1.0,0.0,8.0,0.0,0.0
Eli Manning,NYG,25.0,38.0,260.0,1.0,1.0,2.0,0.0,0.0
Ryan Tannehill,MIA,24.0,36.0,259.0,2.0,0.0,17.0,0.0,0.0
Tony Romo,DAL,22.0,33.0,258.0,2.0,0.0,3.0,0.0,0.0
Teddy Bridgewater,MIN,22.0,35.0,255.0,1.0,0.0,15.0,0.0,0.0
Zach Mettenberger,TEN,21.0,33.0,247.0,1.0,1.0,2.0,0.0,0.0
Colt McCoy,WAS,20.0,32.0,247.0,1.0,0.0,12.0,0.0,0.0
Drew Stanton,ARI,21.0,35.0,243.0,1.0,1.0,16.0,0.0,0.0
Joe Flacco,BAL,20.0,32.0,241.0,1.0,0.0,4.0,0.0,0.0
Blake Bortles,JAC,19.0,32.0,237.0,1.0,1.0,26.0,0.0,0.0
Kyle Orton,BUF,22.0,36.0,232.0,1.0,0.0,5.0,0.0,0.0
Brian Hoyer,CLE,21.0,37.0,230.0,0.0,1.0,2.0,0.0,0.0
Alex Smith,KC,22.0,35.0,230.0,1.0,0.0,17.0,0.0,0.0
Cam Newton,CAR,22.0,34.0,223.0,1.0,0.0,34.0,0.0,0.0
Andy Dalton,CIN,22.0,32.0,219.0,1.0,0.0,11.0,0.0,0.0
Shaun Hill,STL,21.0,33.0,218.0,1.0,0.0,7.0,0.0,0.0
Geno Smith,NYJ,18.0,32.0,217.0,0.0,1.0,23.0,0.0,0.0
Colin Kaepernick,SF,20.0,32.0,213.0,1.0,0.0,39.0,0.0,0.0
Russell Wilson,SEA,18.0,27.0,202.0,1.0,0.0,48.0,0.0,0.0
Ryan Fitzpatrick,HOU,20.0,32.0,201.0,1.0,0.0,17.0,0.0,0.0
David Garrard,NYJ,23.0,35.0,71.0,0.0,0.0,0.0,0.0,0.0
Michael Vick,NYJ,0.0,0.0,65.0,0.0,0.0,13.0,0.0,0.0
Matt Cassel,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Campbell,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Clemens,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carson Palmer,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Orlovsky,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Grossman,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Hasselbeck,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Whitehurst,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Gradkowski,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
