displayName,team,xp,fg
Stephen Gostkowski,NE,3.1,2.1
Steven Hauschka,SEA,2.9,2.0
Blair Walsh,MIN,2.1,2.0
Randy Bullock,NYJ,2.1,2.0
Jason Myers,JAC,2.1,2.0
Chris Boswell,PIT,1.5,2.0
Cairo Santos,KC,2.7,1.9
Mason Crosby,GB,2.7,1.9
Josh Brown,NYG,2.1,1.9
Adam Vinatieri,IND,2.0,1.9
Caleb Sturgis,PHI,2.0,1.9
Kai Forbath,NO,2.8,1.8
Mike Nugent,CIN,2.6,1.8
Josh Lambo,SD,2.6,1.8
Dustin Hopkins,WAS,2.0,1.8
Shayne Graham,ATL,2.0,1.8
Dan Carpenter,BUF,2.0,1.8
Greg Zuerlein,STL,2.0,1.8
Brandon McManus,DEN,1.9,1.8
Connor Barth,TB,1.9,1.8
Robbie Gould,CHI,1.9,1.8
Dan Bailey,DAL,1.8,1.8
Justin Tucker,BAL,1.2,1.8
Sebastian Janikowski,OAK,2.6,1.7
Matt Prater,DET,2.6,1.7
Nick Novak,HOU,2.0,1.7
Ryan Succop,TEN,1.7,1.6
Graham Gano,CAR,2.8,1.3
Chandler Catanzaro,ARI,2.7,1.3
Andrew Franks,MIA,1.9,1.3
Phil Dawson,SF,1.1,1.2
Travis Coons,CLE,1.3,1.1
Josh Scobee,PIT,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Matt Bryant,ATL,0.0,0.0
Patrick Murray,TB,0.0,0.0
Zach Hocker,STL,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Jay Feely,CHI,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
