displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Adrian Peterson,MIN,18.5,83.1,0.6,1.7,13.2,0.0,0.2
Latavius Murray,OAK,17.1,80.9,0.5,2.3,17.4,0.0,0.1
Joseph Randle,DAL,16.4,76.7,0.6,1.2,10.3,0.0,0.1
Eddie Lacy,GB,16.3,75.0,0.6,2.2,17.5,0.1,0.1
Melvin Gordon,SD,16.6,74.9,0.4,1.3,10.6,0.0,0.1
Matt Forte,CHI,17.6,72.2,0.5,4.2,34.2,0.1,0.1
Jamaal Charles,KC,15.8,69.7,0.4,3.8,32.9,0.1,0.2
Karlos Williams,BUF,15.2,69.4,0.5,1.5,11.6,0.0,0.1
LeVeon Bell,PIT,17.7,68.9,0.5,4.2,34.1,0.1,0.1
Mark Ingram,NO,14.4,65.4,0.5,2.4,17.7,0.0,0.2
Arian Foster,HOU,13.6,64.2,0.4,2.2,18.0,0.1,0.1
Carlos Hyde,SF,16.0,62.4,0.4,1.8,12.9,0.0,0.1
Jeremy Hill,CIN,14.3,62.1,0.6,1.1,7.8,0.0,0.2
Frank Gore,IND,15.2,61.9,0.6,1.8,12.7,0.0,0.2
Jonathan Stewart,CAR,14.6,61.2,0.3,2.0,13.9,0.0,0.1
Isaiah Crowell,CLE,13.7,58.4,0.4,1.0,7.4,0.0,0.1
Chris Ivory,NYJ,13.9,57.8,0.4,1.1,7.9,0.0,0.1
Marshawn Lynch,SEA,13.0,57.4,0.4,1.3,10.5,0.0,0.1
T.J. Yeldon,JAC,14.4,56.4,0.3,2.8,17.1,0.1,0.1
Devonta Freeman,ATL,15.6,55.5,0.4,3.2,24.8,0.1,0.1
Lamar Miller,MIA,12.7,53.5,0.3,2.8,20.4,0.0,0.2
DeMarco Murray,PHI,14.2,53.3,0.4,2.2,16.3,0.0,0.2
Justin Forsett,BAL,13.8,52.1,0.2,3.6,22.5,0.1,0.1
Doug Martin,TB,13.5,51.0,0.3,1.8,12.7,0.0,0.2
C.J. Anderson,DEN,12.6,50.4,0.4,2.2,17.1,0.0,0.1
Matt Jones,WAS,12.1,49.4,0.3,1.3,10.3,0.0,0.2
Chris Johnson,ARI,12.2,47.7,0.2,1.2,9.0,0.0,0.1
Giovani Bernard,CIN,10.5,45.1,0.2,3.7,28.0,0.1,0.1
Ronnie Hillman,DEN,10.7,44.8,0.3,1.1,8.4,0.0,0.1
Alfred Morris,WAS,12.7,44.6,0.3,1.1,6.8,0.0,0.1
LeSean McCoy,BUF,10.0,44.5,0.3,1.9,12.7,0.1,0.1
Ryan Mathews,PHI,8.6,41.7,0.3,1.9,15.1,0.0,0.3
Andre Ellington,ARI,9.9,38.4,0.2,2.8,21.1,0.1,0.3
Todd Gurley,STL,9.3,36.8,0.2,1.3,9.7,0.0,0.1
Alfred Blue,HOU,10.2,35.0,0.2,1.7,10.9,0.0,0.1
Rashad Jennings,NYG,10.7,34.8,0.2,1.9,13.2,0.0,0.1
Duke Johnson,CLE,8.2,34.2,0.2,2.5,18.5,0.1,0.1
Ameer Abdullah,DET,10.3,32.1,0.2,2.8,24.1,0.1,0.1
Bilal Powell,NYJ,7.9,30.3,0.1,3.0,23.5,0.1,0.1
James Starks,GB,6.8,29.6,0.2,1.8,12.8,0.0,0.1
Danny Woodhead,SD,8.1,28.6,0.3,3.3,26.9,0.1,0.1
Tre Mason,STL,8.6,27.7,0.2,0.7,5.8,0.0,0.1
Darren McFadden,DAL,6.9,26.4,0.2,0.4,3.1,0.0,0.1
Andre Williams,NYG,7.3,22.9,0.2,0.2,1.3,0.0,0.1
David Johnson,ARI,5.4,22.7,0.1,2.0,16.5,0.1,0.1
Charles Sims,TB,6.2,22.5,0.1,2.3,18.8,0.1,0.1
Khiry Robinson,NO,4.6,21.8,0.2,1.0,7.2,0.0,0.1
Knile Davis,KC,5.3,21.1,0.1,1.2,8.3,0.0,0.1
Thomas Rawls,SEA,5.0,20.6,0.1,1.3,9.2,0.0,0.1
Darren Sproles,PHI,4.3,19.6,0.1,4.4,35.7,0.1,0.1
Jerick McKinnon,MIN,4.8,19.5,0.1,1.2,7.2,0.0,0.0
Anthony Dixon,BUF,5.2,19.3,0.2,0.8,5.9,0.0,0.1
C.J. Spiller,NO,4.6,19.1,0.1,3.1,24.9,0.1,0.1
Shane Vereen,NYG,4.4,18.8,0.1,3.2,28.8,0.1,0.1
Joique Bell,DET,8.6,18.7,0.2,1.2,8.8,0.0,0.1
Lorenzo Taliaferro,BAL,5.8,18.4,0.2,1.2,8.9,0.0,0.1
Reggie Bush,SF,4.6,17.4,0.1,2.0,15.5,0.0,0.1
Mike Tolbert,CAR,3.3,16.1,0.2,1.2,8.1,0.0,0.0
Jonas Gray,MIA,3.5,15.8,0.1,0.4,2.4,0.0,0.1
Josh Robinson,IND,5.6,15.5,0.1,1.2,9.0,0.0,0.1
Branden Oliver,SD,3.9,15.5,0.1,1.0,8.0,0.0,0.1
DeAngelo Williams,PIT,5.1,15.3,0.1,0.9,6.5,0.0,0.1
Jeremy Langford,CHI,3.6,14.7,0.1,0.9,6.1,0.0,0.1
Fred Jackson,SEA,3.6,14.3,0.1,1.9,14.0,0.0,0.0
Terron Ward,ATL,3.6,13.7,0.1,0.7,5.0,0.0,0.1
Taiwan Jones,OAK,2.9,12.6,0.1,0.7,5.0,0.0,0.1
Toby Gerhart,JAC,3.4,12.5,0.1,1.1,8.1,0.0,0.1
Jacquizz Rodgers,CHI,3.0,12.1,0.0,0.8,6.5,0.0,0.1
Chris Polk,HOU,2.9,11.4,0.1,0.3,2.4,0.0,0.1
Javorius Allen,BAL,2.8,11.3,0.1,0.8,5.8,0.0,0.1
Damien Williams,MIA,2.7,11.1,0.0,1.7,13.2,0.1,0.1
Tevin Coleman,ATL,2.5,9.9,0.0,0.4,2.3,0.0,0.0
Jonathan Grimes,HOU,2.5,9.9,0.0,1.2,9.3,0.0,0.1
Zac Stacy,NYJ,2.3,9.0,0.1,0.7,4.7,0.0,0.1
Lance Dunbar,DAL,2.5,8.4,0.0,3.9,33.8,0.1,0.1
Cameron Artis-Payne,CAR,2.1,8.3,0.0,0.5,2.9,0.0,0.0
Juwan Thompson,DEN,1.8,7.4,0.1,0.5,3.2,0.0,0.1
Benjamin Cunningham,STL,2.2,7.0,0.0,2.8,19.4,0.0,0.1
Fozzy Whittaker,CAR,1.4,6.3,0.0,0.6,4.8,0.0,0.0
Jay Prosch,HOU,1.2,6.2,0.0,0.3,3.0,0.0,0.0
Roy Helu,OAK,1.3,5.9,0.0,1.0,8.5,0.0,0.0
Matt Asiata,MIN,1.4,5.5,0.0,0.8,5.8,0.0,0.0
Chris Thompson,WAS,1.3,5.1,0.0,1.6,11.1,0.0,0.1
Bobby Rainey,TB,1.2,5.1,0.0,0.7,4.9,0.0,0.0
Mike Davis,SF,1.4,5.1,0.0,0.6,3.5,0.0,0.0
Jarryd Hayne,SF,1.1,4.7,0.0,0.4,2.4,0.0,0.0
Bernard Pierce,JAC,1.2,4.5,0.0,0.5,3.4,0.0,0.0
John Kuhn,GB,1.2,4.3,0.1,0.4,2.4,0.0,0.0
Christine Michael,DAL,0.9,4.2,0.0,0.2,2.2,0.0,0.0
Tyler Clutts,DAL,0.9,4.2,0.0,0.5,2.3,0.1,0.0
Stepfan Taylor,ARI,1.1,4.2,0.1,0.2,1.6,0.0,0.0
Shaun Draughn,CLE,0.9,3.5,0.0,0.3,2.0,0.0,0.1
KaDeem Carey,CHI,0.7,3.4,0.0,0.4,3.1,0.0,0.0
Marcel Reece,OAK,0.8,3.3,0.0,1.7,15.4,0.1,0.1
Tommy Bohanon,NYJ,1.1,3.1,0.0,0.3,2.3,0.0,0.0
Denard Robinson,JAC,0.4,3.0,0.0,0.1,1.0,0.0,0.0
Cedric Peerman,CIN,0.7,2.8,0.0,0.2,1.3,0.0,0.0
Dri Archer,PIT,0.6,2.6,0.0,0.5,2.7,0.0,0.0
Jerome Felton,BUF,0.6,2.6,0.0,0.3,2.2,0.0,0.0
Donald Brown,SD,0.7,2.3,0.0,0.3,2.1,0.0,0.0
Theo Riddick,DET,1.7,2.3,0.0,3.6,28.1,0.1,0.2
Darrel Young,WAS,0.7,2.2,0.1,0.6,5.0,0.0,0.0
Patrick DiMarco,ATL,0.7,2.2,0.0,0.8,6.5,0.0,0.0
Michael Burton,DET,0.6,2.2,0.0,0.3,2.1,0.0,0.0
Will Johnson,PIT,0.9,2.2,0.1,0.3,2.0,0.0,0.0
Jorvorskie Lane,TB,0.5,2.0,0.0,0.2,1.2,0.0,0.0
Tyler Varga,IND,0.5,2.0,0.0,0.1,1.3,0.0,0.0
Zach Line,MIN,0.6,1.9,0.1,0.3,1.9,0.0,0.0
Jordan Todman,PIT,0.4,1.7,0.0,0.1,0.5,0.0,0.0
Anthony Sherman,KC,0.4,1.6,0.0,0.6,4.6,0.0,0.0
Derrick Coleman,SEA,0.5,1.4,0.0,0.2,2.3,0.0,0.0
Zach Zenner,DET,0.3,1.2,0.0,0.1,0.7,0.0,0.0
Bruce Miller,SF,0.3,0.9,0.0,0.7,6.2,0.0,0.1
Jamize Olawale,OAK,0.2,0.8,0.0,0.2,1.6,0.0,0.0
Marcus Murphy,NO,0.2,0.8,0.0,0.1,0.7,0.0,0.0
Bryce Brown,BUF,0.2,0.7,0.0,0.0,0.1,0.0,0.0
Rex Burkhead,CIN,0.2,0.6,0.0,0.4,3.4,0.0,0.0
Orleans Darkwa,NYG,0.2,0.6,0.0,0.1,0.6,0.0,0.0
Alonzo Harris,GB,0.2,0.5,0.0,0.0,0.0,0.0,0.0
Chase Reynolds,STL,0.1,0.5,0.0,0.1,0.7,0.0,0.0
Mike James,TB,0.1,0.4,0.0,0.0,0.0,0.0,0.0
Charcandrick West,KC,0.1,0.3,0.0,0.0,0.2,0.0,0.0
Kenjon Barner,PHI,0.1,0.2,0.0,0.0,0.1,0.0,0.0
Seantavius Jones,NO,0.1,0.2,0.0,0.1,0.6,0.0,0.0
Nikita Whitlock,NYG,0.0,0.1,0.0,0.0,0.1,0.0,0.0
Stevan Ridley,NYJ,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Kyle Juszczyk,BAL,0.1,0.1,0.0,1.5,11.0,0.0,0.1
Aaron Ripkowski,GB,0.0,0.1,0.0,0.0,0.1,0.0,0.0
Terrence Magee,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwin Baker,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bolden,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vick Ballard,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Pead,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrance West,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Tukuafu,SEA,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Marcus Thigpen,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Andrews,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fitzgerald Toussaint,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LeGarrette Blount,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Hightower,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
