displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Rob Gronkowski,NE,5.8,69.4,0.7,0.0,0.0,0.0,0.0
Greg Olsen,CAR,4.9,62.2,0.3,0.0,0.0,0.0,0.0
Travis Kelce,KC,5.0,56.2,0.3,0.0,0.0,0.0,0.1
Delanie Walker,TEN,4.9,56.0,0.4,0.0,0.0,0.0,0.1
Antonio Gates,SD,4.1,53.0,0.5,0.0,0.0,0.0,0.0
Julius Thomas,JAC,4.9,52.6,0.3,0.0,0.0,0.0,0.0
Jason Witten,DAL,4.2,51.5,0.3,0.0,0.0,0.0,0.0
Jimmy Graham,SEA,4.1,48.8,0.4,0.0,0.0,0.0,0.0
Jordan Cameron,MIA,4.0,47.8,0.4,0.0,0.0,0.0,0.0
Gary Barnidge,CLE,4.1,46.7,0.3,0.0,0.0,0.0,0.0
Jordan Reed,WAS,4.0,45.6,0.4,0.0,0.0,0.0,0.0
Charles Clay,BUF,4.2,45.0,0.3,0.0,0.0,0.0,0.0
Eric Ebron,DET,3.8,43.4,0.3,0.0,0.0,0.0,0.0
Larry Donnell,NYG,3.2,40.5,0.3,0.0,0.0,0.0,0.0
Zach Ertz,PHI,3.2,40.1,0.3,0.0,0.0,0.0,0.0
Kyle Rudolph,MIN,4.0,39.1,0.3,0.0,0.0,0.0,0.0
Austin Seferian-Jenkins,TB,3.0,36.3,0.2,0.0,0.0,0.0,0.0
Benjamin Watson,NO,3.2,35.6,0.2,0.0,0.0,0.0,0.0
Vernon Davis,SF,2.9,35.0,0.2,0.0,0.0,0.0,0.0
Coby Fleener,IND,3.0,34.6,0.3,0.0,0.0,0.0,0.0
Jared Cook,STL,3.1,34.3,0.3,0.0,0.0,0.0,0.0
Crockett Gillmore,BAL,2.8,30.5,0.2,0.0,0.0,0.0,0.0
Heath Miller,PIT,2.4,28.8,0.2,0.0,0.0,0.0,0.0
Jacob Tamme,ATL,2.8,27.6,0.2,0.0,0.0,0.0,0.0
Ladarius Green,SD,2.2,24.3,0.2,0.0,0.0,0.0,0.0
Scott Chandler,NE,2.0,21.1,0.2,0.0,0.0,0.0,0.0
Dwayne Allen,IND,2.0,20.8,0.2,0.0,0.0,0.0,0.0
Mychal Rivera,OAK,2.1,20.6,0.2,0.0,0.0,0.0,0.0
Maxx Williams,BAL,2.0,20.5,0.1,0.0,0.0,0.0,0.0
Garrett Graham,HOU,2.1,20.3,0.0,0.0,0.0,0.0,0.0
Tim Wright,DET,1.8,20.0,0.1,0.0,0.0,0.0,0.0
Dion Sims,MIA,1.9,19.6,0.2,0.0,0.0,0.0,0.0
Chris Gragg,BUF,1.9,19.0,0.1,0.0,0.0,0.0,0.0
Jermaine Gresham,ARI,2.0,18.2,0.2,0.0,0.0,0.0,0.0
Josh Hill,NO,1.7,17.7,0.1,0.0,0.0,0.0,0.0
Marcedes Lewis,JAC,1.6,17.4,0.1,0.0,0.0,0.0,0.0
Anthony Fasano,TEN,1.1,16.6,0.2,0.0,0.0,0.0,0.0
Brandon Myers,TB,1.8,16.3,0.0,0.0,0.0,0.0,0.0
Luke Willson,SEA,1.0,16.0,0.1,0.0,0.0,0.0,0.0
Gavin Escobar,DAL,1.5,15.7,0.1,0.0,0.0,0.0,0.0
Will Tye,NYG,1.0,15.6,0.1,0.0,0.0,0.0,0.0
Ed Dickson,CAR,1.4,14.8,0.1,0.0,0.0,0.0,0.0
Garrett Celek,SF,1.7,14.7,0.1,0.0,0.0,0.0,0.0
Jeff Cumberland,NYJ,1.3,14.3,0.1,0.0,0.0,0.0,0.0
James OShaughnessy,KC,1.1,13.3,0.1,0.0,0.0,0.0,0.0
Derek Carrier,WAS,1.5,13.1,0.1,0.0,0.0,0.0,0.0
Brent Celek,PHI,0.9,11.9,0.1,0.0,0.0,0.0,0.1
Levine Toilolo,ATL,1.2,10.9,0.0,0.0,0.0,0.0,0.0
Justice Cunningham,STL,0.9,10.7,0.1,0.0,0.0,0.0,0.0
Clay Harbor,JAC,1.0,10.3,0.0,0.0,0.0,0.0,0.0
C.J. Fiedorowicz,HOU,1.0,9.8,0.0,0.0,0.0,0.0,0.0
Nick Boyle,BAL,0.8,9.8,0.0,0.0,0.0,0.0,0.0
Tony Moeaki,ATL,0.9,9.2,0.1,0.0,0.0,0.0,0.0
Vance McDonald,SF,0.9,8.1,0.0,0.0,0.0,0.0,0.1
Rhett Ellison,MIN,0.9,7.9,0.0,0.0,0.0,0.0,0.0
Jim Dray,CLE,0.8,7.8,0.0,0.0,0.0,0.0,0.0
Clive Walford,OAK,1.0,7.7,0.0,0.0,0.0,0.0,0.0
Brandon Pettigrew,DET,0.8,6.6,0.0,0.0,0.0,0.0,0.0
Troy Niklas,ARI,0.5,6.5,0.1,0.0,0.0,0.0,0.0
Rob Housler,CLE,0.8,6.3,0.0,0.0,0.0,0.0,0.0
Kellen Davis,NYJ,0.4,6.1,0.0,0.0,0.0,0.0,0.0
Lee Smith,OAK,0.6,5.6,0.0,0.0,0.0,0.0,0.0
Craig Stevens,TEN,0.6,5.2,0.0,0.0,0.0,0.0,0.0
Luke Stocker,TB,0.4,4.6,0.1,0.0,0.0,0.0,0.0
MyCole Pruitt,MIN,0.7,4.5,0.0,0.0,0.0,0.0,0.0
Jack Doyle,IND,0.6,4.3,0.0,0.0,0.0,0.0,0.0
Joseph Fauria,ARI,0.6,4.0,0.1,0.0,0.0,0.0,0.0
Malcolm Johnson,CLE,0.5,3.1,0.0,1.1,3.8,0.0,0.0
Michael Hoomanawanui,NO,0.3,2.8,0.0,0.0,0.0,0.0,0.0
James Hanna,DAL,0.1,2.7,0.0,0.0,0.0,0.0,0.0
Matt Spaeth,PIT,0.2,2.3,0.0,0.0,0.0,0.0,0.0
Cooper Helfet,SEA,0.1,2.1,0.0,0.0,0.0,0.0,0.0
Chase Coffman,TEN,0.0,1.8,0.0,0.0,0.0,0.0,0.0
Demetrius Harris,KC,0.2,1.4,0.0,0.0,0.0,0.0,0.0
