displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Jeremy Maclin,PHI,6.0,104.0,1.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,8.0,103.0,1.0,0.0,0.0,0.0,0.0
T.Y. Hilton,IND,7.0,98.0,1.0,0.0,0.0,0.0,0.0
Demaryius Thomas,DEN,6.0,97.0,1.0,0.0,0.0,0.0,0.0
Steve Smith,BAL,5.0,88.0,1.0,0.0,0.0,0.0,0.0
Kelvin Benjamin,CAR,6.0,87.0,1.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,5.0,86.0,1.0,0.0,0.0,0.0,0.0
Andre Johnson,HOU,6.0,85.0,1.0,0.0,0.0,0.0,0.0
Andrew Hawkins,CLE,6.0,85.0,1.0,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,6.0,84.0,1.0,1.0,2.0,0.0,0.0
Dez Bryant,DAL,6.0,80.0,1.0,0.0,0.0,0.0,0.0
Mohamed Sanu,CIN,6.0,78.0,1.0,2.0,9.0,0.0,0.0
A.J. Green,CIN,5.0,77.0,1.0,0.0,0.0,0.0,0.0
Rueben Randle,NYG,6.0,75.0,0.0,0.0,0.0,0.0,0.0
Doug Baldwin,SEA,5.0,75.0,1.0,0.0,0.0,0.0,0.0
Larry Fitzgerald,ARI,5.0,75.0,1.0,0.0,0.0,0.0,0.0
DeSean Jackson,WAS,4.0,73.0,1.0,0.0,0.0,0.0,0.0
Allen Robinson,JAC,7.0,68.0,1.0,0.0,0.0,0.0,0.0
Torrey Smith,BAL,5.0,65.0,1.0,0.0,0.0,0.0,0.0
Julian Edelman,NE,7.0,63.0,0.0,1.0,5.0,0.0,0.0
Brandon LaFell,NE,5.0,63.0,1.0,0.0,0.0,0.0,0.0
Keenan Allen,SD,6.0,62.0,1.0,0.0,0.0,0.0,0.0
Anquan Boldin,SF,5.0,62.0,1.0,0.0,0.0,0.0,0.0
Reggie Wayne,IND,5.0,61.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,NO,6.0,61.0,1.0,1.0,8.0,0.0,0.0
Andre Holmes,OAK,4.0,60.0,0.0,0.0,0.0,0.0,0.0
Eric Decker,NYJ,5.0,60.0,1.0,0.0,0.0,0.0,0.0
Kenny Britt,STL,4.0,59.0,1.0,0.0,0.0,0.0,0.0
James Jones,OAK,5.0,59.0,1.0,0.0,0.0,0.0,0.0
Pierre Garcon,WAS,5.0,59.0,1.0,0.0,0.0,0.0,0.0
Malcom Floyd,SD,4.0,58.0,1.0,0.0,0.0,0.0,0.0
