"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"JOSHBROWN","K",1,3,0,3,0,12
"BRANDONMCMANUS","K",1,3,0,3,0,12
"PHILDAWSON","K",3,3,0,2,0,11
"STEPHENGOSTKOWSKI","K",3,3,0,2,0,11
"RYANSUCCOP","K",3,3,0,2,0,11
"JUSTINTUCKER","K",3,3,0,2,0,11
"MASONCROSBY","K",7,2,0,3,0,9
"ROBBIEGOULD","K",7,2,0,3,0,9
"STEVEHAUSCHKA","K",7,2,0,3,0,9
"NICKNOVAK","K",7,2,0,3,0,9
"ADAMVINATIERI","K",7,2,0,3,0,9
"RANDYBULLOCK","K",12,2,0,2,0,8
"PATRICKMURRAY","K",12,2,0,2,0,8
"MATTPRATER","K",12,2,0,2,0,8
"CALEBSTURGIS","K",12,2,0,2,0,8
"GREGZUERLEIN","K",12,2,0,2,0,8
"DANBAILEY","K",17,2,0,1,0,7
"MATTBRYANT","K",17,1,0,4,0,7
"SEBASTIANJANIKOWSKI","K",17,2,0,1,0,7
"CODYPARKEY","K",17,1,0,4,0,7
"DANCARPENTER","K",21,1,0,3,0,6
"CHANDLERCATANZARO","K",21,1,0,3,0,6
"MIKENUGENT","K",21,1,0,3,0,6
"BLAIRWALSH","K",21,1,0,3,0,6
"NICKFOLK","K",25,1,0,2,0,5
"KAIFORBATH","K",25,1,0,2,0,5
"GRAHAMGANO","K",25,1,0,2,0,5
"JOSHSCOBEE","K",25,1,0,2,0,5
