"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,28.5,39,28,330,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",2,2,28,43,27,300,3,1,3,10,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,27.5,40,26,310,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",4,4,25.5,31,18,230,1,0,7,40,1,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",5,5,24.5,33,21,230,1,1,5,30,1,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",6,6,24,36,23,280,2,1,6,20,0,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",7,7,23.5,39,26,290,2,0,3,10,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",8,8,23,27,17,200,1,1,5,30,1,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",8,8,23,40,26,300,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",8,8,23,30,17,240,2,0,7,30,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",11,11,22.5,41,25,290,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",11,11,22.5,31,20,250,2,1,4,20,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",13,13,22,36,25,280,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",13,13,22,34,20,260,2,1,2,10,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",15,15,21.5,39,23,270,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",16,16,21,32,22,260,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",17,17,20.5,36,22,250,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",17,17,20.5,39,24,250,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",19,19,20,31,18,240,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",1,20,19,NA,NA,NA,NA,NA,24,110,1,3,20,0,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",20,21,18,39,23,260,1,0,8,10,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",2,21,18,NA,NA,NA,NA,NA,20,90,1,4,30,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",2,21,18,NA,NA,NA,NA,NA,19,80,1,5,40,0,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAC",21,24,17,38,22,240,1,1,4,10,0,NA,NA,NA,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",21,24,17,33,20,220,1,0,10,20,0,NA,NA,NA,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",21,24,17,32,19,220,1,1,4,20,0,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",21,24,17,31,19,220,1,0,5,20,0,NA,NA,NA,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",4,24,17,NA,NA,NA,NA,NA,20,80,1,4,30,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",4,24,17,NA,NA,NA,NA,NA,18,80,1,3,30,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,24,17,NA,NA,NA,NA,NA,23,90,1,3,20,0,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",1,24,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",1,24,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",25,33,16.5,36,21,230,1,1,4,10,0,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",25,33,16.5,27,18,210,1,1,3,20,0,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",25,33,16.5,30,18,210,1,0,4,20,0,NA,NA,NA,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",28,36,16,29,18,220,1,1,2,10,0,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",7,36,16,NA,NA,NA,NA,NA,20,80,1,3,20,0,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",7,36,16,NA,NA,NA,NA,NA,19,80,1,3,20,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",3,36,16,NA,NA,NA,NA,NA,NA,NA,NA,10,100,1,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",3,36,16,NA,NA,NA,NA,NA,NA,NA,NA,7,100,1,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",29,41,15.5,31,19,230,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",29,41,15.5,27,17,210,1,0,2,10,0,NA,NA,NA,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",31,43,15,27,17,200,1,1,4,10,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",9,43,15,NA,NA,NA,NA,NA,17,70,1,3,20,0,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",9,43,15,NA,NA,NA,NA,NA,15,60,1,4,30,0,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",9,43,15,NA,NA,NA,NA,NA,19,80,1,1,10,0,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",9,43,15,NA,NA,NA,NA,NA,18,70,1,3,20,0,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",9,43,15,NA,NA,NA,NA,NA,18,70,1,3,20,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",9,43,15,NA,NA,NA,NA,NA,20,80,1,1,10,0,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",9,43,15,NA,NA,NA,NA,NA,18,70,1,2,20,0,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",9,43,15,NA,NA,NA,NA,NA,19,80,1,1,10,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",5,43,15,NA,NA,NA,NA,NA,NA,NA,NA,7,90,1,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",5,43,15,NA,NA,NA,NA,NA,NA,NA,NA,6,90,1,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",5,43,15,NA,NA,NA,NA,NA,NA,NA,NA,7,90,1,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,43,15,NA,NA,NA,NA,NA,NA,NA,NA,8,90,1,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",17,56,14,NA,NA,NA,NA,NA,15,60,1,3,20,0,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",17,56,14,NA,NA,NA,NA,NA,15,60,1,3,20,0,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",8,56,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",8,56,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",8,56,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",8,56,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,56,14,NA,NA,NA,NA,NA,NA,NA,NA,7,80,1,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",8,56,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",8,56,14,NA,NA,NA,NA,NA,NA,NA,NA,5,80,1,NA,NA,NA
