"Rank","Player","Best","Worst","Avg","Std"
"1","Denver Broncos","1","2","1.2","0.4"
"2","Seattle Seahawks","2","4","2.5","0.8"
"3","Arizona Cardinals","1","5","3.0","1.2"
"4","St. Louis Rams","4","7","4.7","1.1"
"5","New England Patriots","3","12","6.2","2.8"
"6","Carolina Panthers","2","12","6.7","2.9"
"7","Buffalo Bills","5","14","7.8","3.1"
"8","Philadelphia Eagles","8","11","9.0","1.2"
"9","Houston Texans","8","14","9.8","2.0"
"10","Green Bay Packers","8","16","10.8","2.6"
"11","Kansas City Chiefs","6","16","11.5","4.2"
"12","Cincinnati Bengals","8","15","11.7","2.2"
"13","New York Jets","4","25","12.8","6.2"
"14","Miami Dolphins","7","17","12.4","3.3"
"15","Minnesota Vikings","13","22","16.7","3.0"
"16","Pittsburgh Steelers","10","26","17.5","4.8"
"17","Baltimore Ravens","12","18","15.2","2.1"
"18","Atlanta Falcons","14","28","19.3","4.3"
"19","Cleveland Browns","15","20","17.8","1.7"
"20","New York Giants","13","27","19.2","4.9"
"21","San Francisco 49ers","19","23","20.4","1.5"
"22","Tennessee Titans","17","25","21.2","2.6"
"23","Tampa Bay Buccaneers","19","28","23.2","2.9"
"24","Detroit Lions","18","25","21.8","2.9"
"25","Indianapolis Colts","18","25","22.0","2.5"
"26","Dallas Cowboys","11","30","22.5","7.1"
"27","Washington Redskins","18","32","27.4","5.0"
"28","Jacksonville Jaguars","24","28","26.8","1.6"
"29","Oakland Raiders","26","32","28.3","2.5"
"30","San Diego Chargers","24","31","28.8","2.8"
"31","New Orleans Saints","27","31","29.8","1.6"
"32","Chicago Bears","29","32","30.5","1.5"
