"Rank","Player","Best","Worst","Avg","Std"
"1","Denver Broncos","1","6","1.6","1.1"
"2","St. Louis Rams","1","8","2.6","1.5"
"3","Carolina Panthers","1","12","3.3","1.9"
"4","Cincinnati Bengals","1","19","5.3","2.2"
"5","Green Bay Packers","1","13","5.4","2.4"
"6","Philadelphia Eagles","2","24","7.6","2.8"
"7","New York Jets","2","18","6.5","2.5"
"8","New England Patriots","1","19","8.7","3.0"
"9","Arizona Cardinals","3","24","9.2","2.9"
"10","Pittsburgh Steelers","1","21","9.7","2.8"
"11","Seattle Seahawks","2","19","9.6","3.1"
"12","Minnesota Vikings","6","24","13.2","3.3"
"13","Buffalo Bills","8","21","13.1","2.3"
"14","Dallas Cowboys","2","24","14.3","3.1"
"15","Oakland Raiders","11","27","16.2","2.9"
"16","Kansas City Chiefs","8","27","16.0","3.1"
"17","Tampa Bay Buccaneers","8","24","16.5","2.7"
"18","Baltimore Ravens","4","28","16.5","3.9"
"19","Miami Dolphins","8","25","18.0","2.7"
"20","New Orleans Saints","12","27","20.2","2.6"
"21","Cleveland Browns","10","26","19.7","3.9"
"22","Tennessee Titans","10","27","20.4","4.5"
"23","Jacksonville Jaguars","14","27","20.6","3.2"
"24","Chicago Bears","13","27","21.6","3.1"
"25","Houston Texans","13","28","23.3","3.7"
"26","New York Giants","3","28","23.6","5.6"
"27","Washington Redskins","16","28","24.0","3.2"
"28","Detroit Lions","18","28","26.1","2.1"
