"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Cam Newton","QB1","at  NO","1","9","2.2","1.7","CAMNEWTON"
"2","Tom Brady","QB2","vs.  PHI","1","15","4.7","2.5","TOMBRADY"
"3","Ben Roethlisberger","QB3","vs.  IND","1","16","5.8","2.7","BENROETHLISBERGER"
"4","Adrian Peterson","RB1","vs.  SEA","1","70","8.1","11.2","ADRIANPETERSON"
"5","DeAngelo Williams","RB2","vs.  IND","1","72","8.1","12.0","DEANGELOWILLIAMS"
"6","Aaron Rodgers","QB4","at  DET","3","19","8.1","2.8","AARONRODGERS"
"7","Devonta Freeman","RB3","at  TB","1","70","9.2","10.9","DEVONTAFREEMAN"
"8","Carson Palmer","QB5","at  STL","2","30","9.5","3.8","CARSONPALMER"
"9","Antonio Brown","WR1","vs.  IND","4","33","10.0","6.1","ANTONIOBROWN"
"10","Andy Dalton","QB6","at  CLE","3","31","10.1","4.4","ANDYDALTON"
"11","Julio Jones","WR2","at  TB","3","33","11.5","5.4","JULIOJONES"
"12","Matthew Stafford","QB7","vs.  GB","1","46","13.9","6.4","MATTHEWSTAFFORD"
"13","Jay Cutler","QB8","vs.  SF","4","43","15.8","6.6","JAYCUTLER"
"14","LeSean McCoy","RB4","vs.  HOU","1","62","17.5","10.9","LESEANMCCOY"
"15","Odell Beckham","WR3","vs.  NYJ","4","37","17.5","7.8","ODELLBECKHAM"
"16","Ryan Fitzpatrick","QB9","at  NYG","8","41","17.6","5.0","RYANFITZPATRICK"
"17","Russell Wilson","QB10","at  MIN","7","80","19.0","10.7","RUSSELLWILSON"
"18","Eli Manning","QB11","vs.  NYJ","7","53","19.1","6.6","ELIMANNING"
"19","DeAndre Hopkins","WR4","at  BUF","5","36","20.5","6.5","DEANDREHOPKINS"
"20","Ryan Tannehill","QB12","vs.  BAL","6","50","22.1","7.6","RYANTANNEHILL"
"21","Drew Brees","QB13","vs.  CAR","9","59","23.8","9.4","DREWBREES"
"22","Blake Bortles","QB14","at  TEN","8","84","24.4","9.4","BLAKEBORTLES"
"23","Alshon Jeffery","WR5","vs.  SF","11","41","27.0","6.1","ALSHONJEFFERY"
"24","Doug Martin","RB5","vs.  ATL","1","69","27.0","13.8","DOUGMARTIN"
"25","Brandon Marshall","WR6","at  NYG","8","53","27.8","6.8","BRANDONMARSHALL"
"26","Matt Ryan","QB15","at  TB","5","62","28.8","9.5","MATTRYAN"
"27","Derek Carr","QB16","vs.  KC","7","49","26.8","9.7","DEREKCARR"
"28","Marcus Mariota","QB17","vs.  JAC","14","47","29.4","7.9","MARCUSMARIOTA"
"29","Jonathan Stewart","RB6","at  NO","2","67","29.7","13.0","JONATHANSTEWART"
"30","Calvin Johnson","WR7","vs.  GB","7","59","29.9","6.7","CALVINJOHNSON"
"31","A.J. Green","WR8","at  CLE","4","54","34.0","6.9","AJGREEN"
"32","Todd Gurley","RB7","vs.  ARI","2","79","34.7","16.5","TODDGURLEY"
"33","Allen Robinson","WR9","at  TEN","19","60","36.9","5.6","ALLENROBINSON"
"34","Alex Smith","QB18","at  OAK","8","68","33.2","11.2","ALEXSMITH"
"35","Thomas Rawls","RB8","at  MIN","12","98","37.9","14.5","THOMASRAWLS"
