"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Le'Veon Bell","RB1","11","1","3","1.3","0.7","LEVEONBELL"
"2","Devonta Freeman","RB2","10","2","2","2.0","0.0","DEVONTAFREEMAN"
"3","Matt Forte","RB3","7","4","7","5.7","1.1","MATTFORTE"
"4","Todd Gurley","RB4","6","3","12","6.0","4.2","TODDGURLEY"
"5","Julio Jones","WR1","10","4","10","6.0","2.2","JULIOJONES"
"6","Adrian Peterson","RB5","5","3","8","6.2","1.8","ADRIANPETERSON"
"7","Rob Gronkowski","TE1","4","6","8","7.0","0.8","ROBGRONKOWSKI"
"8","Antonio Brown","WR2","11","4","12","7.5","3.0","ANTONIOBROWN"
"9","DeAndre Hopkins","WR3","9","4","16","9.5","4.3","DEANDREHOPKINS"
"10","Marshawn Lynch","RB6","9","8","16","11.0","2.7","MARSHAWNLYNCH"
"11","Odell Beckham","WR4","11","9","14","11.2","1.7","ODELLBECKHAM"
"12","A.J. Green","WR5","7","6","25","13.7","6.2","AJGREEN"
"13","Christopher Ivory","RB7","5","13","23","16.7","3.2","CHRISIVORY"
"14","Dion Lewis","RB8","4","1","34","16.8","11.3","DIONLEWIS"
"15","Calvin Johnson","WR6","9","11","25","18.5","4.5","CALVINJOHNSON"
"16","Mark Ingram","RB9","11","13","45","21.0","10.9","MARKINGRAM"
"17","Lamar Miller","RB10","5","16","39","22.3","7.9","LAMARMILLER"
"18","Eddie Lacy","RB11","7","9","52","22.5","14.5","EDDIELACY"
"19","Justin Forsett","RB12","9","20","28","22.5","2.8","JUSTINFORSETT"
"20","Tom Brady","QB1","4","22","26","23.0","1.4","TOMBRADY"
"21","Latavius Murray","RB13","6","13","49","24.0","11.9","LATAVIUSMURRAY"
"22","Demaryius Thomas","WR7","7","16","35","24.2","5.9","DEMARYIUSTHOMAS"
"23","Aaron Rodgers","QB2","7","21","27","24.8","2.0","AARONRODGERS"
"24","Larry Fitzgerald","WR8","9","14","40","25.7","9.8","LARRYFITZGERALD"
"25","Randall Cobb","WR9","7","14","42","26.0","9.8","RANDALLCOBB"
"26","Julian Edelman","WR10","4","15","37","27.5","7.2","JULIANEDELMAN"
"27","Emmanuel Sanders","WR11","7","20","42","27.7","7.7","EMMANUELSANDERS"
"28","Alshon Jeffery","WR12","7","16","48","28.0","11.7","ALSHONJEFFERY"
"29","Brandon Marshall","WR13","5","9","37","29.3","10.1","BRANDONMARSHALL"
"30","Frank Gore","RB14","10","21","45","30.7","8.7","FRANKGORE"
"31","Keenan Allen","WR14","10","25","36","30.7","3.8","KEENANALLEN"
"32","Doug Martin","RB15","6","13","54","33.3","14.0","DOUGMARTIN"
"33","LeSean McCoy","RB16","8","15","65","34.5","15.0","LESEANMCCOY"
"34","Danny Woodhead","RB17","10","28","50","36.2","7.8","DANNYWOODHEAD"
"35","Allen Robinson","WR15","8","15","50","38.0","11.4","ALLENROBINSON"
"36","Amari Cooper","WR16","6","25","46","38.0","7.8","AMARICOOPER"
"37","DeMarco Murray","RB18","8","36","48","39.5","4.2","DEMARCOMURRAY"
"38","Greg Olsen","TE2","5","29","57","41.3","11.6","GREGOLSEN"
"39","Jeremy Hill","RB19","7","32","60","41.7","8.7","JEREMYHILL"
"40","T.Y. Hilton","WR17","10","36","56","43.0","6.6","TYHILTON"
"41","Tyler Eifert","TE3","7","29","66","44.2","16.3","TYLEREIFERT"
"42","James Jones","WR18","7","33","55","45.7","7.3","JAMESJONES"
"43","T.J. Yeldon","RB20","8","38","51","45.7","4.6","TJYELDON"
"44","Jarvis Landry","WR19","5","42","61","50.0","7.7","JARVISLANDRY"
"45","Jonathan Stewart","RB21","5","45","69","51.2","8.5","JONATHANSTEWART"
"46","Chris Johnson","RB22","9","11","99","51.8","28.5","CHRISJOHNSON"
"47","Andrew Luck","QB3","10","47","61","52.5","5.4","ANDREWLUCK"
"48","Andy Dalton","QB4","7","39","62","53.0","7.4","ANDYDALTON"
"49","Steve Smith","WR20","9","32","77","53.8","13.8","STEVESMITH"
"50","LeGarrette Blount","RB23","4","47","78","55.7","10.6","LEGARRETTEBLOUNT"
"51","Jeremy Maclin","WR21","9","38","71","56.3","10.8","JEREMYMACLIN"
"52","Carlos Hyde","RB24","10","34","99","57.5","22.4","CARLOSHYDE"
"53","Martavis Bryant","WR22","11","48","80","62.2","12.3","MARTAVISBRYANT"
"54","Donte Moncrief","WR23","10","51","77","62.2","8.2","DONTEMONCRIEF"
"55","Giovani Bernard","RB25","7","28","49","37.4","8.6","GIOVANIBERNARD"
"56","Matt Ryan","QB5","10","50","72","64.8","7.8","MATTRYAN"
"57","Cam Newton","QB6","5","51","80","65.2","11.0","CAMNEWTON"
"58","Jordan Matthews","WR24","8","40","92","65.7","16.4","JORDANMATTHEWS"
"59","Carson Palmer","QB7","9","31","58","41.2","11.8","CARSONPALMER"
"60","Mike Evans","WR25","6","20","68","44.4","15.3","MIKEEVANS"
"61","Ameer Abdullah","RB26","9","53","89","70.7","13.0","AMEERABDULLAH"
"62","Allen Hurns","WR26","8","52","96","72.3","17.2","ALLENHURNS"
"63","Joseph Randle","RB27","6","43","91","74.7","17.5","JOSEPHRANDLE"
"64","Charcandrick West","RB28","9","29","66","49.6","12.7","CHARCANDRICKWEST"
"65","Travis Kelce","TE4","9","33","82","49.8","20.7","TRAVISKELCE"
"66","Russell Wilson","QB8","9","60","83","75.0","9.7","RUSSELLWILSON"
"67","Peyton Manning","QB9","7","61","87","76.2","9.2","PEYTONMANNING"
"68","Drew Brees","QB10","11","64","93","78.0","10.4","DREWBREES"
"69","Eli Manning","QB11","11","64","92","78.3","9.6","ELIMANNING"
"70","Dez Bryant","WR27","6","38","153","80.2","37.0","DEZBRYANT"
"71","Ben Roethlisberger","QB12","11","34","145","83.2","36.7","BENROETHLISBERGER"
"72","Gary Barnidge","TE5","11","31","149","84.7","37.0","GARYBARNIDGE"
"73","Eric Decker","WR28","5","49","88","63.0","13.4","ERICDECKER"
"74","Ronnie Hillman","RB29","7","37","78","63.2","15.0","RONNIEHILLMAN"
"75","John Brown","WR29","9","56","70","64.0","5.7","JOHNBROWN"
"76","Philip Rivers","QB13","10","32","114","66.2","27.2","PHILIPRIVERS"
"77","Melvin Gordon","RB30","10","51","95","70.2","14.3","MELVINGORDON"
"78","Brandin Cooks","WR30","11","46","94","70.8","16.0","BRANDINCOOKS"
"79","Vincent Jackson","WR31","6","52","96","71.4","14.7","VINCENTJACKSON"
"80","Martellus Bennett","TE6","7","54","82","73.0","9.8","MARTELLUSBENNETT"
"81","Golden Tate","WR32","9","58","119","74.6","22.5","GOLDENTATE"
"82","Jimmy Graham","TE7","9","65","92","77.0","10.9","JIMMYGRAHAM"
"83","Ryan Tannehill","QB14","5","70","124","98.7","20.5","RYANTANNEHILL"
"84","Pierre Garcon","WR33","8","56","93","79.8","14.7","PIERREGARCON"
"85","Antonio Gates","TE8","10","60","105","79.8","16.2","ANTONIOGATES"
"86","Sammy Watkins","WR34","8","63","99","80.0","13.7","SAMMYWATKINS"
"87","Kendall Wright","WR35","4","71","101","81.4","10.5","KENDALLWRIGHT"
"88","Darren McFadden","RB31","6","61","127","85.0","24.5","DARRENMCFADDEN"
"89","Stefon Diggs","WR36","5","62","132","89.0","27.0","STEFONDIGGS"
"90","Rishard Matthews","WR37","5","64","112","93.0","19.0","RISHARDMATTHEWS"
"91","Duke Johnson","RB32","11","66","125","93.0","19.9","DUKEJOHNSON"
"92","C.J. Anderson","RB33","7","81","110","93.0","10.8","CJANDERSON"
"93","Charles Clay","TE9","8","84","114","94.8","10.2","CHARLESCLAY"
"94","Mike Wallace","WR38","5","76","106","96.0","10.4","MIKEWALLACE"
"95","DeSean Jackson","WR39","8","73","122","97.0","15.9","DESEANJACKSON"
"96","Willie Snead","WR40","11","58","136","98.2","24.7","WILLIESNEAD"
"97","Michael Crabtree","WR41","6","81","131","100.4","16.6","MICHAELCRABTREE"
"98","Davante Adams","WR42","7","78","115","100.6","14.7","DAVANTEADAMS"
"99","Ryan Mathews","RB34","8","80","129","100.8","18.4","RYANMATHEWS"
"100","Matt Jones","RB35","8","80","118","101.2","12.4","MATTJONES"
"101","Jason Witten","TE10","6","75","150","101.8","26.4","JASONWITTEN"
"102","Alfred Blue","RB36","9","75","171","102.0","36.0","ALFREDBLUE"
"103","Anquan Boldin","WR43","10","96","109","102.0","5.2","ANQUANBOLDIN"
"104","Charles Sims","RB37","6","89","119","104.8","11.3","CHARLESSIMS"
"105","Marvin Jones","WR44","7","67","141","105.0","24.3","MARVINJONES"
"106","Torrey Smith","WR45","10","99","121","109.6","7.4","TORREYSMITH"
"107","Ted Ginn","WR46","5","93","130","110.0","12.6","TEDGINN"
"108","Travis Benjamin","WR47","11","65","168","110.6","33.9","TRAVISBENJAMIN"
"109","Julius Thomas","TE11","8","86","144","111.0","18.9","JULIUSTHOMAS"
"110","Delanie Walker","TE12","4","90","142","113.2","18.2","DELANIEWALKER"
"111","Tyrod Taylor","QB15","8","91","157","113.2","23.7","TYRODTAYLOR"
"112","Jordan Reed","TE13","8","87","143","115.2","19.3","JORDANREED"
"113","Isaiah Crowell","RB38","11","85","144","117.6","20.5","ISAIAHCROWELL"
"114","C.J. Spiller","RB39","11","89","152","118.8","26.7","CJSPILLER"
"115","Alfred Morris","RB40","8","108","139","118.8","11.0","ALFREDMORRIS"
"116","Eddie Royal","WR48","7","102","141","119.0","14.3","EDDIEROYAL"
"117","Sam Bradford","QB16","8","86","145","119.2","22.9","SAMBRADFORD"
"118","Terrance Williams","WR49","6","103","143","119.2","13.4","TERRANCEWILLIAMS"
"119","Matthew Stafford","QB17","9","105","132","119.4","9.4","MATTHEWSTAFFORD"
"120","Shane Vereen","RB41","11","104","163","120.2","22.1","SHANEVEREEN"
"121","Andre Johnson","WR50","10","65","165","120.6","32.2","ANDREJOHNSON"
"122","Antonio Andrews","RB42","4","98","142","120.8","18.4","ANTONIOANDREWS"
"123","James Starks","RB43","7","76","127","101.0","21.1","JAMESSTARKS"
"124","Andre Ellington","RB44","9","94","146","122.4","19.6","ANDREELLINGTON"
"125","Rashad Jennings","RB45","11","121","126","123.6","2.2","RASHADJENNINGS"
"126","Roddy White","WR51","10","113","135","124.6","7.3","RODDYWHITE"
"127","Darren Sproles","RB46","8","100","155","127.0","18.5","DARRENSPROLES"
"128","Steve Johnson","WR52","10","112","143","127.0","10.8","STEVIEJOHNSON"
"129","Rueben Randle","WR53","11","107","138","127.2","10.6","RUEBENRANDLE"
"130","Theo Riddick","RB47","9","96","159","131.2","26.6","THEORIDDICK"
"131","Tevin Coleman","RB48","10","109","160","133.6","16.3","TEVINCOLEMAN"
"132","Michael Floyd","WR54","9","97","166","134.8","24.0","MICHAELFLOYD"
"133","Jordan Cameron","TE14","5","117","148","134.8","10.0","JORDANCAMERON"
"134","Dorial Green-Beckham","WR55","4","129","155","137.8","9.0","DORIALGREENBECKHAM"
"135","David Johnson","RB49","9","118","156","138.0","14.8","DAVIDJOHNSON"
"136","Zach Ertz","TE15","8","124","159","141.0","11.5","ZACHERTZ"
"137","Ladarius Green","TE16","10","89","161","141.8","26.9","LADARIUSGREEN"
"138","Jay Cutler","QB18","7","111","141","129.0","12.1","JAYCUTLER"
"139","Joique Bell","RB50","9","108","151","129.8","16.0","JOIQUEBELL"
"140","Jamison Crowder","WR56","8","110","151","131.5","15.2","JAMISONCROWDER"
"141","Eric Ebron","TE17","9","122","150","133.0","10.4","ERICEBRON"
"142","Leonard Hankerson","WR57","10","115","146","134.3","12.6","LEONARDHANKERSON"
"143","Nelson Agholor","WR58","8","113","155","135.3","16.3","NELSONAGHOLOR"
"144","Doug Baldwin","WR59","9","130","167","149.6","12.7","DOUGBALDWIN"
"145","Karlos Williams","RB51","8","122","150","138.3","10.2","KARLOSWILLIAMS"
"146","Marques Colston","WR60","11","116","162","140.3","20.9","MARQUESCOLSTON"
"147","Brandon LaFell","WR61","4","91","156","121.3","26.7","BRANDONLAFELL"
"148","Tony Romo","QB19","6","67","176","122.3","44.5","TONYROMO"
"149","Kyle Rudolph","TE18","5","117","153","142.0","14.6","KYLERUDOLPH"
"150","Charles Johnson","WR62","5","121","157","144.0","14.5","CHARLESJOHNSON"
"151","Marquess Wilson","WR63","7","106","149","128.3","17.6","MARQUESSWILSON"
"152","Larry Donnell","TE19","11","120","169","147.3","18.9","LARRYDONNELL"
"153","Chris Thompson","RB52","8","134","159","147.3","9.8","CHRISTHOMPSON"
"154","Danny Amendola","WR64","4","136","157","151.0","8.7","DANNYAMENDOLA"
"155","Derek Carr","QB20","6","140","169","151.8","11.0","DEREKCARR"
"156","Heath Miller","TE20","11","130","164","152.5","13.4","HEATHMILLER"
"157","Victor Cruz","WR65","11","115","149","137.0","15.6","VICTORCRUZ"
"158","Richard Rodgers","TE21","7","148","162","153.3","5.3","RICHARDRODGERS"
"159","Chris Polk","RB53","9","147","172","155.8","9.6","CHRISPOLK"
"160","Bishop Sankey","RB54","4","133","176","157.0","16.1","BISHOPSANKEY"
"161","Benjamin Watson","TE22","11","124","158","142.7","14.1","BENJAMINWATSON"
"162","Tavon Austin","WR66","6","110","161","143.7","23.8","TAVONAUSTIN"
"163","Markus Wheaton","WR67","11","135","157","148.7","9.7","MARKUSWHEATON"
"164","Orleans Darkwa","RB55","11","113","136","124.5","11.5","ORLEANSDARKWA"
"165","Christine Michael","RB56","6","153","169","163.0","6.0","CHRISTINEMICHAEL"
"166","Teddy Bridgewater","QB21","5","87","167","127.0","40.0","TEDDYBRIDGEWATER"
"167","Khiry Robinson","RB57","11","129","164","152.0","16.3","KHIRYROBINSON"
"168","Percy Harvin","WR68","8","95","168","131.5","36.5","PERCYHARVIN"
"169","Blake Bortles","QB22","8","128","138","133.0","5.0","BLAKEBORTLES"
"170","Jacob Tamme","TE23","10","120","152","136.0","16.0","JACOBTAMME"
"171","Brian Quick","WR69","6","136","170","158.0","15.6","BRIANQUICK"
"172","Kenny Stills","WR70","5","134","144","139.0","5.0","KENNYSTILLS"
"173","Andre Williams","RB58","11","148","174","162.0","10.7","ANDREWILLIAMS"
"174","Robert Turbin","RB59","11","137","159","148.0","11.0","ROBERTTURBIN"
"175","Ryan Fitzpatrick","QB23","5","127","172","149.5","22.5","RYANFITZPATRICK"
"176","Tyler Lockett","WR71","9","148","151","149.5","1.5","TYLERLOCKETT"
"177","Crockett Gillmore","TE24","9","144","158","151.0","7.0","CROCKETTGILLMORE"
"178","Knile Davis","RB60","9","147","158","152.5","5.5","KNILEDAVIS"
"179","Thomas Rawls","RB61","9","159","180","169.0","8.6","THOMASRAWLS"
"180","Tre Mason","RB62","6","138","171","154.5","16.5","TREMASON"
"181","Kamar Aiken","WR72","9","140","169","154.5","14.5","KAMARAIKEN"
"182","Marcus Mariota","QB24","4","133","177","155.0","22.0","MARCUSMARIOTA"
"183","Reggie Bush","RB63","10","154","167","160.5","6.5","REGGIEBUSH"
"184","Austin Seferian-Jenkins","TE25","6","163","164","163.5","0.5","AUSTINSEFERIANJENKINS"
"185","David Cobb","RB64","4","162","166","164.0","2.0","DAVIDCOBB"
"186","Devante Parker","WR73","5","165","165","165.0","0.0","DEVANTEPARKER"
"187","Owen Daniels","TE26","7","160","171","165.5","5.5","OWENDANIELS"
"188","Devin Funchess","WR74","5","161","170","165.5","4.5","DEVINFUNCHESS"
"189","Brandon Coleman","WR75","11","162","170","166.0","4.0","BRANDONCOLEMAN"
"190","Javorius Allen","RB65","9","163","170","166.5","3.5","JAVORIUSALLEN"
"191","Cecil Shorts","WR76","9","133","133","133.0","0.0","CECILSHORTS"
"192","Joe Flacco","QB25","9","162","172","167.0","5.0","JOEFLACCO"
"193","Cole Beasley","WR77","6","135","135","135.0","0.0","COLEBEASLEY"
"194","Mohamed Sanu","WR78","7","138","138","138.0","0.0","MOHAMEDSANU"
"195","Nate Washington","WR79","9","139","139","139.0","0.0","NATEWASHINGTON"
"196","Brian Hoyer","QB26","9","168","173","170.5","2.5","BRIANHOYER"
"197","Philly Brown","WR80","5","143","143","143.0","0.0","PHILLYBROWN"
"198","Josh McCown","QB27","11","145","145","145.0","0.0","JOSHMCCOWN"
"199","Jaelen Strong","WR81","9","147","147","147.0","0.0","JAELENSTRONG"
"200","Colin Kaepernick","QB28","10","173","175","174.0","1.0","COLINKAEPERNICK"
"201","Branden Oliver","RB66","10","149","149","149.0","0.0","BRANDENOLIVER"
"202","Jameis Winston","QB29","6","174","179","176.5","2.5","JAMEISWINSTON"
"203","Josh Robinson","RB67","10","157","157","157.0","0.0","JOSHROBINSON"
"204","Ty Montgomery","WR82","7","158","158","158.0","0.0","TYMONTGOMERY"
"205","Coby Fleener","TE27","10","163","163","163.0","0.0","COBYFLEENER"
"206","Lance Moore","WR83","9","164","164","164.0","0.0","LANCEMOORE"
"207","Roy Helu","RB68","6","166","166","166.0","0.0","ROYHELU"
"208","Nick Foles","QB30","6","166","166","166.0","0.0","NICKFOLES"
"209","Jared Cook","TE28","6","167","167","167.0","0.0","JAREDCOOK"
"210","Jonathan Grimes","RB69","9","167","167","167.0","0.0","JONATHANGRIMES"
"211","Jerick McKinnon","RB70","5","169","169","169.0","0.0","JERICKMCKINNON"
"212","Kirk Cousins","QB31","8","170","170","170.0","0.0","KIRKCOUSINS"
"213","Malcom Floyd","WR84","10","171","171","171.0","0.0","MALCOMFLOYD"
"214","Denard Robinson","RB71","8","171","171","171.0","0.0","DENARDROBINSON"
"215","Alex Smith","QB32","9","175","175","175.0","0.0","ALEXSMITH"
"216","Dwayne Allen","TE29","10","178","178","178.0","0.0","DWAYNEALLEN"
