"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","1","1.0","0.0","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","2","6","3.5","1.7","STEVENHAUSCHKA"
"3","Brandon McManus","2","12","5.3","4.0","BRANDONMCMANUS"
"4","Justin Tucker","4","13","6.8","3.6","JUSTINTUCKER"
"5","Chandler Catanzaro","4","14","7.8","3.8","CHANDLERCATANZARO"
"6","Josh Brown","2","22","9.0","8.0","JOSHBROWN"
"7","Mason Crosby","3","17","8.8","5.4","MASONCROSBY"
"8","Graham Gano","3","15","9.3","4.3","GRAHAMGANO"
"9","Josh Lambo","7","12","9.5","2.1","JOSHLAMBO"
"10","Blair Walsh","7","13","10.0","2.5","BLAIRWALSH"
"11","Robbie Gould","5","21","11.5","6.0","ROBBIEGOULD"
"12","Matt Bryant","6","19","11.5","4.7","MATTBRYANT"
"13","Dan Bailey","6","24","12.8","7.0","DANBAILEY"
"14","Cairo Santos","9","17","14.3","3.1","CAIROSANTOS"
"15","Adam Vinatieri","9","18","13.7","3.7","ADAMVINATIERI"
"16","Dan Carpenter","11","18","15.8","2.8","DANCARPENTER"
"17","Chris Boswell","10","23","16.5","4.7","CHRISBOSWELL"
"18","Connor Barth","7","29","21.7","10.4","CONNORBARTH"
"19","Caleb Sturgis","11","22","17.0","4.5","CALEBSTURGIS"
"20","Sebastian Janikowski","16","25","19.3","3.7","SEBASTIANJANIKOWSKI"
"21","Mike Nugent","15","24","19.3","3.2","MIKENUGENT"
"22","Phil Dawson","13","28","22.3","6.6","PHILDAWSON"
"23","Dustin Hopkins","14","31","24.3","6.3","DUSTINHOPKINS"
"24","Matt Prater","14","29","22.7","6.3","MATTPRATER"
"25","Nick Novak","16","27","22.3","4.6","NICKNOVAK"
"26","Kai Forbath","19","25","21.7","2.5","KAIFORBATH"
"27","Travis Coons","20","27","22.5","2.9","TRAVISCOONS"
"28","Greg Zuerlein","20","27","23.0","2.9","GREGZUERLEIN"
"29","Randy Bullock","21","28","24.5","3.5","RANDYBULLOCK"
"30","Andrew Franks","23","30","27.0","2.9","ANDREWFRANKS"
"31","Ryan Succop","30","31","30.3","0.5","RYANSUCCOP"
"32","Jason Myers","31","32","31.7","0.5","JASONMYERS"
