"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Brandon McManus","1","4","2.0","1.0","BRANDONMCMANUS"
"2","Stephen Gostkowski","1","17","2.2","3.2","STEPHENGOSTKOWSKI"
"3","Matt Bryant","2","11","3.9","2.4","MATTBRYANT"
"4","Josh Brown","3","15","4.8","2.5","JOSHBROWN"
"5","Josh Lambo","1","15","5.3","2.6","JOSHLAMBO"
"6","Blair Walsh","6","14","7.8","2.2","BLAIRWALSH"
"7","Mason Crosby","3","12","8.0","2.3","MASONCROSBY"
"8","Adam Vinatieri","5","22","10.2","4.7","ADAMVINATIERI"
"9","Dan Bailey","1","18","10.4","3.9","DANBAILEY"
"10","Sebastian Janikowski","3","18","11.3","3.7","SEBASTIANJANIKOWSKI"
"11","Robbie Gould","6","19","11.7","3.6","ROBBIEGOULD"
"12","Graham Gano","7","18","12.5","2.7","GRAHAMGANO"
"13","Mike Nugent","3","16","10.6","3.7","MIKENUGENT"
"14","Kai Forbath","8","19","13.6","2.9","KAIFORBATH"
"15","Dan Carpenter","5","21","14.6","3.0","DANCARPENTER"
"16","Chris Boswell","6","20","14.0","4.2","CHRISBOSWELL"
"17","Nick Folk","4","23","14.9","4.7","NICKFOLK"
"18","Caleb Sturgis","3","20","15.4","4.3","CALEBSTURGIS"
"19","Travis Coons","9","26","17.4","4.5","TRAVISCOONS"
"20","Connor Barth","3","22","16.2","5.4","CONNORBARTH"
"21","Andrew Franks","13","24","19.0","2.6","ANDREWFRANKS"
"22","Greg Zuerlein","15","23","19.0","2.8","GREGZUERLEIN"
"23","Ryan Succop","19","24","20.1","1.4","RYANSUCCOP"
"24","Phil Dawson","15","25","21.0","3.6","PHILDAWSON"
"25","Dustin Hopkins","17","26","23.1","2.6","DUSTINHOPKINS"
"26","Jason Myers","18","26","23.1","2.6","JASONMYERS"
