"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","DeAndre Hopkins","WR1","vs.  NO","2","9","3.5","2.3","DEANDREHOPKINS"
"2","Aaron Rodgers","QB1","vs.  CHI","4","13","5.5","2.7","AARONRODGERS"
"3","Julio Jones","WR2","vs.  MIN","2","16","7.4","2.6","JULIOJONES"
"4","Adrian Peterson","RB1","at  ATL","1","58","9.8","13.9","ADRIANPETERSON"
"5","Cam Newton","QB2","at  DAL","4","19","9.9","3.3","CAMNEWTON"
"6","Antonio Brown","WR3","at  SEA","2","27","10.0","6.9","ANTONIOBROWN"
"7","Odell Beckham","WR4","at  WAS","8","16","11.7","3.0","ODELLBECKHAM"
"8","Carson Palmer","QB3","at  SF","4","73","11.7","13.9","CARSONPALMER"
"9","Todd Gurley","RB2","at  CIN","1","34","12.0","8.7","TODDGURLEY"
"10","Tom Brady","QB4","at  DEN","7","20","13.4","3.4","TOMBRADY"
"11","Eli Manning","QB5","at  WAS","11","26","14.2","3.5","ELIMANNING"
"12","Larry Fitzgerald","WR5","at  SF","2","31","14.3","6.4","LARRYFITZGERALD"
"13","Drew Brees","QB6","at  HOU","4","26","16.1","4.8","DREWBREES"
"14","Demaryius Thomas","WR6","vs.  NE","5","42","16.7","11.3","DEMARYIUSTHOMAS"
"15","Doug Martin","RB3","at  IND","1","59","19.3","17.7","DOUGMARTIN"
"16","Rob Gronkowski","TE1","at  DEN","14","88","20.7","21.3","ROBGRONKOWSKI"
"17","Matthew Stafford","QB7","vs.  PHI","12","46","21.2","8.5","MATTHEWSTAFFORD"
"18","Blake Bortles","QB8","vs.  SD","13","52","23.1","7.8","BLAKEBORTLES"
"19","DeMarco Murray","RB4","at  DET","1","58","23.1","16.7","DEMARCOMURRAY"
"20","Brandon Marshall","WR7","vs.  MIA","5","75","23.5","19.0","BRANDONMARSHALL"
"21","Allen Robinson","WR8","vs.  SD","5","32","25.0","7.4","ALLENROBINSON"
"22","Philip Rivers","QB9","at  JAC","11","38","25.2","6.9","PHILIPRIVERS"
"23","Russell Wilson","QB10","vs.  PIT","12","62","25.9","9.5","RUSSELLWILSON"
"24","Mike Evans","WR9","at  IND","18","47","26.3","6.6","MIKEEVANS"
"25","Derek Carr","QB11","at  TEN","19","46","29.1","6.9","DEREKCARR"
"26","Ben Roethlisberger","QB12","at  SEA","20","62","31.3","11.9","BENROETHLISBERGER"
"27","T.J. Yeldon","RB5","vs.  SD","1","82","31.9","22.7","TJYELDON"
"28","Matt Ryan","QB13","vs.  MIN","13","55","33.1","10.5","MATTRYAN"
"29","Andy Dalton","QB14","vs.  STL","20","55","34.6","9.1","ANDYDALTON"
"30","Mark Ingram","RB6","at  HOU","3","77","34.7","18.5","MARKINGRAM"
"31","Darren McFadden","RB7","vs.  CAR","3","90","35.5","18.6","DARRENMCFADDEN"
"32","Dez Bryant","WR10","vs.  CAR","27","56","35.5","8.1","DEZBRYANT"
"33","Tony Romo","QB15","vs.  CAR","19","66","38.4","11.1","TONYROMO"
"34","Jonathan Stewart","RB8","at  DAL","6","87","39.6","18.0","JONATHANSTEWART"
"35","Jarvis Landry","WR11","at  NYJ","32","67","40.0","8.7","JARVISLANDRY"
"36","Calvin Johnson","WR12","vs.  PHI","16","75","32.7","15.5","CALVINJOHNSON"
"37","Alshon Jeffery","WR13","at  GB","5","43","32.8","10.1","ALSHONJEFFERY"
"38","Brandin Cooks","WR14","at  HOU","18","54","40.6","8.2","BRANDINCOOKS"
"39","Randall Cobb","WR15","vs.  CHI","5","78","41.4","14.3","RANDALLCOBB"
"40","Marcus Mariota","QB16","vs.  OAK","26","66","41.7","11.2","MARCUSMARIOTA"
"41","A.J. Green","WR16","vs.  STL","10","75","42.1","13.6","AJGREEN"
"42","Eric Decker","WR17","vs.  MIA","32","47","42.6","4.4","ERICDECKER"
"43","Greg Olsen","TE2","at  DAL","14","60","43.1","8.7","GREGOLSEN"
"44","Amari Cooper","WR18","at  TEN","27","97","44.4","17.4","AMARICOOPER"
"45","Devonta Freeman","RB9","vs.  MIN","1","63","20.5","22.4","DEVONTAFREEMAN"
"46","LeSean McCoy","RB10","at  KC","24","77","45.9","14.5","LESEANMCCOY"
"47","Thomas Rawls","RB11","vs.  PIT","25","93","47.1","17.9","THOMASRAWLS"
"48","Jameis Winston","QB17","at  IND","20","73","50.8","14.2","JAMEISWINSTON"
"49","Jay Cutler","QB18","at  GB","30","64","51.2","8.8","JAYCUTLER"
"50","Christopher Ivory","RB12","vs.  MIA","25","145","52.8","25.4","CHRISIVORY"
"51","Javorius Allen","RB13","at  CLE","15","77","54.3","14.0","JAVORIUSALLEN"
"52","Tyler Eifert","TE3","vs.  STL","41","80","54.5","10.4","TYLEREIFERT"
"53","Michael Crabtree","WR19","at  TEN","45","97","57.8","14.1","MICHAELCRABTREE"
"54","Tyrod Taylor","QB19","at  KC","36","66","58.6","7.1","TYRODTAYLOR"
"55","Lamar Miller","RB14","at  NYJ","25","100","59.5","16.8","LAMARMILLER"
"56","Ryan Fitzpatrick","QB20","vs.  MIA","38","72","62.6","7.1","RYANFITZPATRICK"
"57","Martavis Bryant","WR20","at  SEA","33","104","63.0","22.4","MARTAVISBRYANT"
"58","Steve Johnson","WR21","at  JAC","49","122","63.1","15.5","STEVIEJOHNSON"
"59","Brian Hoyer","QB21","vs.  NO","13","83","33.4","16.6","BRIANHOYER"
"60","Delanie Walker","TE4","vs.  OAK","14","80","65.4","14.6","DELANIEWALKER"
"61","Eddie Lacy","RB15","vs.  CHI","15","90","66.0","17.9","EDDIELACY"
"62","Antonio Gates","TE5","at  JAC","50","84","68.4","9.3","ANTONIOGATES"
"63","Brock Osweiler","QB22","vs.  NE","46","113","68.9","13.7","BROCKOSWEILER"
"64","T.Y. Hilton","WR22","vs.  TB","42","89","69.2","14.3","TYHILTON"
"65","Jeremy Maclin","WR23","vs.  BUF","54","118","69.5","16.1","JEREMYMACLIN"
"66","Jordan Matthews","WR24","at  DET","49","103","70.0","17.9","JORDANMATTHEWS"
"67","Latavius Murray","RB16","at  TEN","15","93","71.6","14.4","LATAVIUSMURRAY"
"68","Danny Woodhead","RB17","at  JAC","24","146","73.0","23.9","DANNYWOODHEAD"
"69","Allen Hurns","WR25","vs.  SD","32","99","73.2","19.1","ALLENHURNS"
"70","Sammy Watkins","WR26","at  KC","49","117","75.6","17.4","SAMMYWATKINS"
"71","Davante Adams","WR27","vs.  CHI","54","118","77.5","13.5","DAVANTEADAMS"
"72","Ryan Tannehill","QB23","at  NYJ","55","113","78.1","15.9","RYANTANNEHILL"
"73","Jordan Reed","TE6","vs.  NYG","41","133","66.1","20.0","JORDANREED"
"74","Danny Amendola","WR28","at  DEN","33","131","67.7","22.5","DANNYAMENDOLA"
"75","Giovani Bernard","RB18","vs.  STL","48","118","79.9","20.2","GIOVANIBERNARD"
"76","Chris Johnson","RB19","at  SF","25","115","80.8","23.3","CHRISJOHNSON"
"77","Stefon Diggs","WR29","at  ATL","43","103","82.0","17.2","STEFONDIGGS"
"78","Travis Kelce","TE7","vs.  BUF","60","112","83.0","10.8","TRAVISKELCE"
"79","John Brown","WR30","at  SF","43","110","83.5","17.0","JOHNBROWN"
"80","Brandon LaFell","WR31","at  DEN","37","116","84.5","16.4","BRANDONLAFELL"
"81","Kamar Aiken","WR32","at  CLE","49","122","85.3","15.2","KAMARAIKEN"
"82","Alfred Blue","RB20","vs.  NO","1","123","85.5","25.9","ALFREDBLUE"
"83","Alex Smith","QB24","vs.  BUF","62","108","85.7","17.6","ALEXSMITH"
"84","Frank Gore","RB21","vs.  TB","58","145","85.8","22.4","FRANKGORE"
"85","Kirk Cousins","QB25","vs.  NYG","26","83","62.7","14.9","KIRKCOUSINS"
"86","Johnny Manziel","QB26","vs.  BAL","28","102","55.8","16.6","JOHNNYMANZIEL"
"87","Vincent Jackson","WR33","at  IND","69","114","89.5","7.9","VINCENTJACKSON"
"88","Golden Tate","WR34","vs.  PHI","42","125","86.3","17.6","GOLDENTATE"
"89","DeSean Jackson","WR35","vs.  NYG","33","129","91.6","19.4","DESEANJACKSON"
"90","Martellus Bennett","TE8","at  GB","70","141","94.6","17.6","MARTELLUSBENNETT"
"91","DeAngelo Williams","RB22","at  SEA","48","117","89.7","18.5","DEANGELOWILLIAMS"
"92","Jimmy Graham","TE9","vs.  PIT","50","142","94.9","23.4","JIMMYGRAHAM"
"93","LeGarrette Blount","RB23","at  DEN","82","112","95.2","5.9","LEGARRETTEBLOUNT"
"94","Jason Witten","TE10","vs.  CAR","70","123","95.7","13.3","JASONWITTEN"
"95","James Jones","WR36","vs.  CHI","78","115","98.9","8.1","JAMESJONES"
"96","Ronnie Hillman","RB24","vs.  NE","71","144","102.0","16.8","RONNIEHILLMAN"
"97","Nate Washington","WR37","vs.  NO","67","131","102.4","14.1","NATEWASHINGTON"
"98","Mark Sanchez","QB27","at  DET","52","113","74.6","15.5","MARKSANCHEZ"
"99","Cecil Shorts","WR38","vs.  NO","61","156","103.3","19.9","CECILSHORTS"
"100","Jeremy Langford","RB25","at  GB","48","153","103.5","26.3","JEREMYLANGFORD"
"101","Charcandrick West","RB26","vs.  BUF","1","135","76.2","29.0","CHARCANDRICKWEST"
"102","Matt Forte","RB27","at  GB","24","142","95.0","33.5","MATTFORTE"
"103","Marvin Jones","WR39","vs.  STL","54","159","105.9","18.9","MARVINJONES"
"104","Teddy Bridgewater","QB28","at  ATL","65","113","91.4","16.9","TEDDYBRIDGEWATER"
"105","Rishard Matthews","WR40","at  NYJ","79","122","103.2","11.2","RISHARDMATTHEWS"
"106","Emmanuel Sanders","WR41","vs.  NE","49","158","95.5","26.2","EMMANUELSANDERS"
"107","Matt Hasselbeck","QB29","vs.  TB","65","113","90.3","14.8","MATTHASSELBECK"
"108","Antonio Andrews","RB28","vs.  OAK","87","159","112.2","15.4","ANTONIOANDREWS"
"109","Shaun Draughn","RB29","vs.  ARI","98","130","112.5","8.0","SHAUNDRAUGHN"
"110","Crockett Gillmore","TE11","at  CLE","80","165","115.9","21.1","CROCKETTGILLMORE"
"111","Heath Miller","TE12","at  SEA","84","142","117.2","15.9","HEATHMILLER"
"112","Jeremy Hill","RB30","vs.  STL","63","166","118.3","21.3","JEREMYHILL"
"113","Doug Baldwin","WR42","vs.  PIT","89","136","114.6","13.1","DOUGBALDWIN"
"114","Charles Clay","TE13","at  KC","88","174","115.4","19.8","CHARLESCLAY"
"115","Donte Moncrief","WR43","vs.  TB","79","132","115.7","14.0","DONTEMONCRIEF"
"116","Tavon Austin","WR44","at  CIN","56","139","116.3","18.9","TAVONAUSTIN"
