"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Devonta Freeman","RB1","10","1","1","1.0","0.0","DEVONTAFREEMAN"
"2","Todd Gurley","RB2","6","2","2","2.0","0.0","TODDGURLEY"
"3","Adrian Peterson","RB3","5","4","9","5.5","2.1","ADRIANPETERSON"
"4","Julio Jones","WR1","10","3","8","5.8","1.8","JULIOJONES"
"5","Antonio Brown","WR2","11","3","12","6.0","3.7","ANTONIOBROWN"
"6","DeAndre Hopkins","WR3","9","3","13","9.0","3.9","DEANDREHOPKINS"
"7","A.J. Green","WR4","7","8","13","11.5","2.1","AJGREEN"
"8","Odell Beckham","WR5","11","8","14","11.8","2.3","ODELLBECKHAM"
"9","LeSean McCoy","RB4","8","11","18","13.8","2.9","LESEANMCCOY"
"10","Lamar Miller","RB5","5","5","23","15.0","8.1","LAMARMILLER"
"11","Christopher Ivory","RB6","5","11","18","15.8","2.9","CHRISIVORY"
"12","Matt Forte","RB7","7","4","21","16.0","7.0","MATTFORTE"
"13","DeAngelo Williams","RB8","11","5","42","19.5","15.6","DEANGELOWILLIAMS"
"14","Latavius Murray","RB9","6","11","24","19.8","5.3","LATAVIUSMURRAY"
"15","Demaryius Thomas","WR6","7","17","28","20.8","4.3","DEMARYIUSTHOMAS"
"16","Calvin Johnson","WR7","9","17","25","21.0","4.0","CALVINJOHNSON"
"17","Doug Martin","RB10","6","10","40","21.5","11.4","DOUGMARTIN"
"18","Brandon Marshall","WR8","5","14","30","22.0","6.0","BRANDONMARSHALL"
"19","Mark Ingram","RB11","11","10","49","22.3","15.6","MARKINGRAM"
"20","Charcandrick West","RB12","9","20","26","23.3","2.8","CHARCANDRICKWEST"
"21","Rob Gronkowski","TE1","4","7","75","24.0","29.4","ROBGRONKOWSKI"
"22","Giovani Bernard","RB13","7","10","47","24.3","13.8","GIOVANIBERNARD"
"23","Danny Woodhead","RB14","10","4","49","25.5","19.0","DANNYWOODHEAD"
"24","Larry Fitzgerald","WR9","9","6","35","25.8","11.7","LARRYFITZGERALD"
"25","Emmanuel Sanders","WR10","7","14","41","25.8","12.0","EMMANUELSANDERS"
"26","Alshon Jeffery","WR11","7","19","34","26.8","6.4","ALSHONJEFFERY"
"27","Tom Brady","QB1","4","27","27","27.0","0.0","TOMBRADY"
"28","Amari Cooper","WR12","6","17","34","28.3","6.6","AMARICOOPER"
"29","Randall Cobb","WR13","7","22","52","31.0","12.4","RANDALLCOBB"
"30","Allen Robinson","WR14","8","30","35","32.3","1.8","ALLENROBINSON"
"31","Mike Evans","WR15","6","22","37","32.8","6.3","MIKEEVANS"
"32","Aaron Rodgers","QB2","7","33","33","33.0","0.0","AARONRODGERS"
"33","Tyler Eifert","TE2","7","7","71","34.0","23.2","TYLEREIFERT"
"34","Dez Bryant","WR16","6","25","44","34.5","8.1","DEZBRYANT"
"35","Darren McFadden","RB15","6","16","70","35.3","22.2","DARRENMCFADDEN"
"36","DeMarco Murray","RB16","8","24","43","36.5","7.4","DEMARCOMURRAY"
"37","Greg Olsen","TE3","5","29","57","36.5","11.9","GREGOLSEN"
"38","Frank Gore","RB17","10","26","42","36.8","6.3","FRANKGORE"
"39","Carson Palmer","QB3","9","38","38","38.0","0.0","CARSONPALMER"
