"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,26.1,NA,NA,310,3,0,NA,17,0,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",2,2,24.78,NA,NA,312,3,0,NA,3,0,NA,0,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",3,3,22.86,NA,NA,314,3,1,NA,3,0,NA,0,0,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",4,4,18.86,NA,NA,304,2,1,NA,7,0,NA,0,0,NA,0,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",1,5,18.5,NA,NA,0,0,0,NA,88,1,NA,37,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",5,6,18.44,NA,NA,276,2,1,NA,14,0,NA,0,0,NA,0,0
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",6,7,18.34,NA,NA,236,2,1,NA,29,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",7,8,18.12,NA,NA,298,2,1,NA,2,0,NA,0,0,NA,0,0
"EDDIELACY","RB","Eddie Lacy","GB",2,9,18,NA,NA,0,0,0,NA,93,1,NA,27,0,NA,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,10,17.9,NA,NA,0,0,0,NA,2,0,NA,117,1,NA,0,0
"ODELLBECKHAM","WR","Odell Beckham","NYG",2,11,17.8,NA,NA,0,0,0,NA,5,0,NA,113,1,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",8,12,17.68,NA,NA,287,2,1,NA,2,0,NA,0,0,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",9,13,17.38,NA,NA,202,2,1,NA,33,0,NA,0,0,NA,0,0
"NICKFOLES","QB","Nick Foles","STL",10,14,17.34,NA,NA,276,2,1,NA,3,0,NA,0,0,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAC",11,15,17.2,NA,NA,225,2,1,NA,22,0,NA,0,0,NA,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",12,16,17.12,NA,NA,233,2,1,NA,18,0,NA,0,0,NA,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",3,17,17.1,NA,NA,0,0,0,NA,0,0,NA,111,1,NA,0,0
"AJGREEN","WR","A.J. Green","CIN",3,17,17.1,NA,NA,0,0,0,NA,2,0,NA,109,1,NA,0,0
"DEREKCARR","QB","Derek Carr","OAK",13,19,16.86,NA,NA,259,2,1,NA,5,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",5,20,16.8,NA,NA,0,0,0,NA,1,0,NA,107,1,NA,0,0
"ADRIANPETERSON","RB","Adrian Peterson","MIN",3,21,16.7,NA,NA,0,0,0,NA,109,1,NA,18,0,NA,0,1
"ELIMANNING","QB","Eli Manning","NYG",14,22,16.34,NA,NA,256,2,1,NA,1,0,NA,0,0,NA,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",15,23,16.32,NA,NA,233,2,1,NA,10,0,NA,0,0,NA,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",16,24,16.3,NA,NA,215,2,1,NA,17,0,NA,0,0,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",17,25,16.26,NA,NA,259,2,1,NA,-1,0,NA,0,0,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",6,26,16.2,NA,NA,0,0,0,NA,0,0,NA,102,1,NA,0,0
"TODDGURLEY","RB","Todd Gurley","STL",4,27,16.1,NA,NA,0,0,0,NA,86,1,NA,15,0,NA,0,0
"AMARICOOPER","WR","Amari Cooper","OAK",7,27,16.1,NA,NA,0,0,0,NA,0,0,NA,101,1,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",18,29,15.98,NA,NA,227,2,1,NA,9,0,NA,0,0,NA,0,0
"RANDALLCOBB","WR","Randall Cobb","GB",8,30,15.8,NA,NA,0,0,0,NA,7,0,NA,91,1,NA,0,0
"MATTCASSEL","QB","Matt Cassel","DAL",19,31,15.72,NA,NA,173,2,1,NA,8,0,NA,0,0,NA,1,0
"MIKEEVANS","WR","Mike Evans","TB",9,32,15.5,NA,NA,0,0,0,NA,0,0,NA,95,1,NA,0,0
"DANNYWOODHEAD","RB","Danny Woodhead","SD",5,33,15.3,NA,NA,0,0,0,NA,45,0,NA,48,1,NA,0,0
"CHRISIVORY","RB","Chris Ivory","NYJ",6,34,14.9,NA,NA,0,0,0,NA,77,1,NA,12,0,NA,0,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",10,34,14.9,NA,NA,0,0,0,NA,3,0,NA,86,1,NA,0,0
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",1,34,14.9,NA,NA,0,0,0,NA,0,0,NA,89,1,NA,0,0
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",7,37,14.2,NA,NA,0,0,0,NA,54,1,NA,28,0,NA,0,0
"TJYELDON","RB","T.J. Yeldon","JAC",8,38,13.9,NA,NA,0,0,0,NA,64,1,NA,15,0,NA,0,0
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",9,39,13.8,NA,NA,0,0,0,NA,50,1,NA,28,0,NA,0,0
"ERICDECKER","WR","Eric Decker","NYJ",11,39,13.8,NA,NA,0,0,0,NA,0,0,NA,78,1,NA,0,0
"DIONLEWIS","RB","Dion Lewis","NE L",10,41,13.7,NA,NA,0,0,0,NA,50,1,NA,27,0,NA,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",11,42,13.6,NA,NA,0,0,0,NA,62,1,NA,14,0,NA,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",12,42,13.6,NA,NA,0,0,0,NA,2,0,NA,74,1,NA,0,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",12,44,13.5,NA,NA,0,0,0,NA,51,1,NA,24,0,NA,0,0
"DARRENMCFADDEN","RB","Darren McFadden","DAL",13,45,13.4,NA,NA,0,0,0,NA,67,1,NA,7,0,NA,0,0
"TYLEREIFERT","TE","Tyler Eifert","CIN",2,45,13.4,NA,NA,0,0,0,NA,0,0,NA,74,1,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","BUF",14,47,13.3,NA,NA,0,0,0,NA,61,1,NA,12,0,NA,0,0
"STEFONDIGGS","WR","Stefon Diggs","MIN",13,47,13.3,NA,NA,0,0,0,NA,0,0,NA,73,1,NA,0,0
"CJSPILLER","RB","C.J. Spiller","NO",15,49,13.1,NA,NA,0,0,0,NA,47,1,NA,24,0,NA,0,0
"JULIANEDELMAN","WR","Julian Edelman","NE L",14,49,13.1,NA,NA,0,0,0,NA,2,0,NA,69,1,NA,0,0
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",14,49,13.1,NA,NA,0,0,0,NA,0,0,NA,71,1,NA,0,0
"MIKEWALLACE","WR","Mike Wallace","MIN",16,52,12.9,NA,NA,0,0,0,NA,2,0,NA,67,1,NA,0,0
"BRANDINCOOKS","WR","Brandin Cooks","NO",17,53,12.8,NA,NA,0,0,0,NA,8,0,NA,60,1,NA,0,0
"DOUGMARTIN","RB","Doug Martin","TB",16,54,12.7,NA,NA,0,0,0,NA,58,1,NA,9,0,NA,0,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",18,55,12.6,NA,NA,0,0,0,NA,3,0,NA,63,1,NA,0,0
