"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"CAMNEWTON","QB","Cam Newton","CAR",1,1,23.24,0,NA,231,2.3,0.8,8.5,41.7,0.3,0,0,0,0,0.1,0.3
"RUSSELLWILSON","QB","Russell Wilson","SEA",2,2,23.12,0,NA,211,2.6,0.5,6.4,39.6,0.2,0,0,0,0,0.1,0.3
"TOMBRADY","QB","Tom Brady","NE",3,3,21.95,0,NA,272,2.7,0.5,2.7,3.8,0.1,0,0,0,0,0.1,0.2
"CARSONPALMER","QB","Carson Palmer","ARI",4,4,21.94,0,NA,318,2.4,0.8,1.9,3,0.1,0,0,0,0,0.1,0.2
"DEREKCARR","QB","Derek Carr","OAK",5,5,20.82,0,NA,289,2.4,0.6,2,4.9,0,0,0,0,0,0.1,0.4
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,6,20.74,0,NA,297,2.3,0.8,2,6.6,0.1,0,0,0,0,0.1,0.3
"DREWBREES","QB","Drew Brees","NO",7,7,20.28,0,NA,302,2.1,0.6,1.8,2.6,0.1,0,0,0,0,0.1,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAX",8,8,20.11,0,NA,267,2.2,1.2,3.4,18.9,0.1,0,0,0,0,0.1,0.3
"AARONRODGERS","QB","Aaron Rodgers","GB",9,9,20.03,0,NA,267,2,0.5,3.5,18.8,0.1,0,0,0,0,0.1,0.3
"PHILIPRIVERS","QB","Philip Rivers","SD",10,10,19.73,0,NA,310,2.1,1,1.7,3.6,0,0,0,0,0,0.1,0.3
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",11,11,18.5,0,NA,306,1.6,0.8,2,6.2,0.1,0,0,0,0,0,0.3
"ELIMANNING","QB","Eli Manning","NYG",12,12,18.41,0,NA,307,1.9,1.2,1.2,2.1,0,0,0,0,0,0.1,0.3
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",13,13,18.38,0,NA,215,1.7,0.7,5.6,29.5,0.2,0,0,0,0,0.1,0.3
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,14,18.15,2.4,NA,0,0,0,22.2,109,0.8,1.8,15.4,0,0,0,0.2
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",2,15,17.51,6.9,NA,0,0,0,19.1,73.8,0.3,5.4,48.1,0.2,0,0,0.1
"TJYATES","QB","T.J. Yates","HOU",14,16,17.35,0,NA,267,2,1.3,1.8,5.5,0,0,0,0,0,0.1,0.5
"MATTRYAN","QB","Matt Ryan","ATL",15,17,16.89,0,NA,284,1.5,0.9,2.3,7.4,0,0,0,0,0,0,0.2
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",16,18,16.78,0,NA,243,1.5,1,4.2,18.3,0.1,0,0,0,0,0,0.3
"DAVIDJOHNSON","RB","David Johnson","ARI",3,19,16.74,4.2,NA,0,0,0,17.8,75.7,0.6,3.2,32.4,0.2,0,0,0.3
"JULIOJONES","WR","Julio Jones","ATL",1,20,16.56,12,NA,0,0,0,0,0,0,7.7,98.6,0.5,0,0,0.1
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",2,21,16.46,10.2,NA,0,0,0,0,0,0,6.7,93.6,0.6,0,0,0.1
"ALEXSMITH","QB","Alex Smith","KC",17,22,16.45,0,NA,208,1.4,0.4,4.2,23.7,0.2,0,0,0,0,0,0.2
"ANTONIOBROWN","WR","Antonio Brown","PIT",3,23,16.36,10.6,NA,0,0,0,0.2,1.6,0,6.8,97.6,0.4,0.1,0,0
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",4,24,16.26,10.9,NA,0,0,0,0,0,0,6.8,96.4,0.5,0,0,0
"AJMCCARRON","QB","AJ McCarron","CIN",18,25,15.95,0,NA,228,1.5,0.9,3.3,12.9,0.1,0,0,0,0,0,0.3
"CALVINJOHNSON","WR","Calvin Johnson","DET",5,26,15.89,9.2,NA,0,0,0,0,0,0,5.8,82.7,0.8,0,0,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",4,27,15.84,3.8,NA,0,0,0,19.7,82.9,0.6,2.9,21.7,0.1,0,0,0.2
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",6,28,15.83,10.5,NA,0,0,0,0,0,0,6.2,88.7,0.7,0,0,0.1
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",19,29,15.79,0,NA,272,0.9,1,5.2,25.5,0.1,0,0,0,0,0,0.6
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",20,30,15.78,0,NA,240,1.5,0.9,2.4,11.4,0.1,0,0,0,0,0,0.3
"LESEANMCCOY","RB","LeSean McCoy","BUF",5,31,15.68,4.7,NA,0,0,0,17,76.1,0.5,3.7,26.1,0.2,0,0,0.1
"SAMBRADFORD","QB","Sam Bradford","PHI",21,32,15.59,0,NA,252,1.5,0.9,1.9,4.7,0.1,0,0,0,0,0,0.3
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",22,33,15.56,0,NA,242,1.2,1,3.2,22.3,0.1,0,0,0,0,0,0.4
