"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"ZACHMILLER","TE","Zach Miller","CHI",1,1,24,4,NA,NA,NA,NA,NA,NA,NA,4,100,2,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",1,2,23.8,NA,NA,295,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTJONES","RB","Matt Jones","WAS",1,3,23.7,3,NA,NA,NA,NA,4,31,0,3,131,1,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",1,4,22.5,4,NA,NA,NA,NA,1,11,0,3,79,2,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",2,5,21.44,NA,NA,286,2,0,NA,NA,NA,NA,NA,NA,0,1,NA
"JAYCUTLER","QB","Jay Cutler","CHI",3,6,21.12,NA,NA,233,3,0,2,-2,0,NA,NA,NA,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",2,7,20.8,12,NA,NA,NA,NA,NA,NA,NA,9,83,1,0,1,NA
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",3,8,20.5,5,NA,NA,NA,NA,NA,NA,NA,4,145,1,NA,NA,1
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",2,9,19.9,5,NA,NA,NA,NA,8,15,0,4,104,1,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",3,10,18.4,5,NA,0,0,0,19,112,0,5,47,0,0,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",4,11,17.76,NA,NA,204,2,0,1,16,0,NA,NA,NA,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",4,12,17.5,11,NA,0,0,0,0,0,0,6,85,1,0,0,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",5,13,16.72,0,NA,193,2,2,3,30,0,0,0,0,0,0,0
"LAMARMILLER","RB","Lamar Miller","MIA",4,14,15.1,6,NA,NA,NA,NA,7,16,0,5,50,1,NA,NA,0
"TODDGURLEY","RB","Todd Gurley","STL",5,15,14.7,3,NA,NA,NA,NA,8,28,1,3,44,0,NA,NA,NA
"JAMISONCROWDER","WR","Jamison Crowder","WAS",5,16,14,5,NA,NA,NA,NA,NA,NA,NA,4,60,1,0,0,0
"BRENTCELEK","TE","Brent Celek","PHI",2,17,13.5,3,NA,NA,NA,NA,NA,NA,NA,3,120,0,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",6,18,12.5,3,NA,0,0,0,18,99,0,2,36,0,0,0,1
"DREWBREES","QB","Drew Brees","NO",6,19,12.2,NA,NA,105,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROCKETTGILLMORE","TE","Crockett Gillmore","BAL",3,19,12.2,4,NA,NA,NA,NA,NA,NA,NA,4,42,1,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","PHI",7,21,11.84,NA,NA,196,1,0,0,0,0,NA,NA,NA,NA,NA,0
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",8,22,11.52,0,NA,158,1,0,6,12,0,0,0,0,0,0,0
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",7,23,11.5,1,NA,0,0,0,7,24,0,1,26,1,0,0,0
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",8,24,11.4,2,NA,NA,NA,NA,3,25,1,2,19,0,0,0,0
"CAMNEWTON","QB","Cam Newton","CAR",9,25,10.04,NA,NA,126,1,0,3,10,0,NA,NA,NA,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",9,26,10,0,NA,NA,NA,NA,11,40,1,0,0,0,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",6,27,9.8,10,NA,0,0,0,0,0,0,3,23,1,0,0,0
"MARKINGRAM","RB","Mark Ingram","NO",10,28,9.4,1,NA,NA,NA,NA,3,81,0,1,8,0,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",4,29,9.1,2,NA,NA,NA,NA,NA,NA,NA,2,21,1,NA,NA,NA
"DAVANTEADAMS","WR","Davante Adams","GB",7,30,9,10,NA,NA,NA,NA,NA,NA,NA,7,55,0,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAX",8,31,8.8,5,NA,NA,NA,NA,NA,NA,NA,2,18,1,NA,NA,NA
"KAMARAIKEN","WR","Kamar Aiken","BAL",8,31,8.8,10,NA,NA,NA,NA,NA,NA,NA,5,63,0,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",10,33,8.7,7,NA,NA,NA,NA,NA,NA,NA,5,62,0,NA,NA,NA
"MAXXWILLIAMS","TE","Maxx Williams","BAL",5,34,8.6,1,NA,NA,NA,NA,NA,NA,NA,1,21,1,NA,NA,NA
