"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,33,23,334,3,0,69.7,10.1,1,0,0,0,NA,NA,NA,NA,NA,0,31
"AARONRODGERS","Aaron Rodgers","QB","GB",2,2,37,31,337,3,1,83.8,9.1,3,10,3.3,0,NA,NA,NA,NA,NA,0,30
"ANDREWLUCK","Andrew Luck","QB","IND",2,2,37,27,279,3,0,73,7.5,3,10,3.3,0,NA,NA,NA,NA,NA,0,30
"TOMBRADY","Tom Brady","QB","NE",4,4,33,25,274,3,0,75.8,8.3,2,0,0,0,NA,NA,NA,NA,NA,0,28
"TONYROMO","Tony Romo","QB","DAL",5,5,26,19,247,3,0,73.1,9.5,2,0,0,0,NA,NA,NA,NA,NA,0,27
"DREWBREES","Drew Brees","QB","NO",6,6,42,30,319,3,2,71.4,7.6,0,0,0,0,NA,NA,NA,NA,NA,0,26
"RUSSELLWILSON","Russell Wilson","QB","SEA",7,7,25,18,206,1,0,72,8.2,6,52,8.7,1,NA,NA,NA,NA,NA,0,25
"CARSONPALMER","Carson Palmer","QB","ARI",8,8,30,21,263,2,0,70,8.8,0,0,0,0,NA,NA,NA,NA,NA,0,22
"JAYCUTLER","Jay Cutler","QB","CHI",8,8,39,25,286,2,1,64.1,7.3,4,14,3.5,0,NA,NA,NA,NA,NA,0,22
"JORDYNELSON","Jordy Nelson","WR","GB",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,109,13.6,2,NA,0,22
"PHILIPRIVERS","Philip Rivers","QB","SD",10,11,35,24,289,2,1,68.6,8.3,0,0,0,0,NA,NA,NA,NA,NA,0,21
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",10,11,29,20,217,1,1,69,7.5,5,36,7.2,1,NA,NA,NA,NA,NA,0,21
"NICKFOLES","Nick Foles","QB","PHI",12,13,35,24,287,2,1,68.6,8.2,3,11,3.7,0,NA,NA,NA,NA,NA,1,20
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",13,14,28,20,240,1,1,71.4,8.6,2,4,2,1,NA,NA,NA,NA,NA,0,19
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",13,14,38,25,248,1,1,65.8,6.5,2,7,3.5,1,NA,NA,NA,NA,NA,0,19
"CAMNEWTON","Cam Newton","QB","CAR",13,14,37,25,286,1,2,67.6,7.7,9,67,7.4,0,NA,NA,NA,NA,NA,0,19
"ALEXSMITH","Alex Smith","QB","KC",13,14,34,24,226,1,0,70.6,6.6,4,40,10,0,NA,NA,NA,NA,NA,0,19
"MIKEGLENNON","Mike Glennon","QB","TB",13,14,28,19,193,2,0,67.9,6.9,1,1,1,0,NA,NA,NA,NA,NA,0,19
"KYLEORTON","Kyle Orton","QB","BUF",13,14,33,22,195,2,0,66.7,5.9,1,0,0,0,NA,NA,NA,NA,NA,0,19
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,132,18.9,1,NA,0,19
"ARIANFOSTER","Arian Foster","RB","HOU",1,21,NA,NA,NA,NA,NA,NA,NA,21,107,5.1,1,3,25,8.3,0,NA,0,18
"JOEFLACCO","Joe Flacco","QB","BAL",19,22,29,16,190,2,1,55.2,6.6,1,0,0,0,NA,NA,NA,NA,NA,0,17
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",2,22,NA,NA,NA,NA,NA,NA,NA,24,109,4.5,1,2,10,5,0,NA,0,17
"DEZBRYANT","Dez Bryant","WR","DAL",3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,115,16.4,1,NA,0,17
"MATTFORTE","Matt Forte","RB","CHI",3,25,NA,NA,NA,NA,NA,NA,NA,17,65,3.8,1,6,47,7.8,0,NA,0,16
"MATTRYAN","Matt Ryan","QB","ATL",20,26,46,29,279,1,1,63,6.1,0,0,0,0,NA,NA,NA,NA,NA,0,15
"JAMAALCHARLES","Jamaal Charles","RB","KC",4,26,NA,NA,NA,NA,NA,NA,NA,18,88,4.9,1,3,11,3.7,0,NA,0,15
"RANDALLCOBB","Randall Cobb","WR","GB",4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,92,13.1,1,NA,0,15
"GOLDENTATE","Golden Tate","WR","DET",4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,118,14.8,1,NA,1,15
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",21,30,36,22,251,1,1,61.1,7,2,7,3.5,0,NA,NA,NA,NA,NA,0,14
"ANDYDALTON","Andy Dalton","QB","CIN",21,30,32,20,209,1,0,62.5,6.5,3,8,2.7,0,NA,NA,NA,NA,NA,0,14
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",21,30,31,19,186,1,0,61.3,6,4,19,4.8,0,NA,NA,NA,NA,NA,0,14
"COLTMCCOY","Colt McCoy","QB","WAS",21,30,38,27,281,1,2,71.1,7.4,4,12,3,0,NA,NA,NA,NA,NA,0,14
"BRIANHOYER","Brian Hoyer","QB","CLE",21,30,23,13,202,1,0,56.5,8.8,2,5,2.5,0,NA,NA,NA,NA,NA,0,14
"LEVEONBELL","Le'Veon Bell","RB","PIT",5,30,NA,NA,NA,NA,NA,NA,NA,16,80,5,0,7,61,8.7,0,NA,0,14
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",5,30,NA,NA,NA,NA,NA,NA,NA,20,78,3.9,1,2,17,8.5,0,NA,0,14
"LAMARMILLER","Lamar Miller","RB","MIA",5,30,NA,NA,NA,NA,NA,NA,NA,18,74,4.1,1,2,13,6.5,0,NA,0,14
"JUSTINFORSETT","Justin Forsett","RB","BAL",5,30,NA,NA,NA,NA,NA,NA,NA,17,68,4,0,4,20,5,1,NA,0,14
"ANTONIOBROWN","Antonio Brown","WR","PIT",6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,80,11.4,1,NA,0,14
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,87,12.4,1,NA,0,14
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",26,41,29,18,200,1,1,62.1,6.9,3,18,6,0,NA,NA,NA,NA,NA,0,13
"LESEANMCCOY","LeSean McCoy","RB","PHI",9,41,NA,NA,NA,NA,NA,NA,NA,19,67,3.5,1,3,17,5.7,0,NA,0,13
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",9,41,NA,NA,NA,NA,NA,NA,NA,17,68,4,1,2,11,5.5,0,NA,0,13
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",9,41,NA,NA,NA,NA,NA,NA,NA,15,58,3.9,0,5,27,5.4,1,NA,0,13
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",7,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,74,12.3,1,NA,0,13
"JULIUSTHOMAS","Julius Thomas","TE","DEN",2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,70,11.7,1,NA,0,13
"GENOSMITH","Geno Smith","QB","NYJ",27,47,32,22,194,1,1,68.8,6.1,4,13,3.2,0,NA,NA,NA,NA,NA,0,12
"DEREKCARR","Derek Carr","QB","OAK",27,47,30,18,204,1,1,60,6.8,1,4,4,0,NA,NA,NA,NA,NA,0,12
"BLAKEBORTLES","Blake Bortles","QB","JAC",27,47,38,25,203,1,2,65.8,5.3,4,25,6.2,0,NA,NA,NA,NA,NA,0,12
"JOIQUEBELL","Joique Bell","RB","DET",12,47,NA,NA,NA,NA,NA,NA,NA,16,66,4.1,1,1,6,6,0,NA,0,12
"SHANEVEREEN","Shane Vereen","RB","NE",12,47,NA,NA,NA,NA,NA,NA,NA,13,45,3.5,0,3,29,9.7,1,NA,0,12
"BENTATE","Ben Tate","RB","CLE",12,47,NA,NA,NA,NA,NA,NA,NA,18,68,3.8,1,1,4,4,0,NA,0,12
"VINCENTJACKSON","Vincent Jackson","WR","TB",8,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,62,10.3,1,NA,0,12
"GREGOLSEN","Greg Olsen","TE","CAR",3,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,67,11.2,1,NA,0,12
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",15,55,NA,NA,NA,NA,NA,NA,NA,17,116,6.8,0,1,6,6,0,NA,0,11
"EDDIELACY","Eddie Lacy","RB","GB",15,55,NA,NA,NA,NA,NA,NA,NA,13,55,4.2,1,1,3,3,0,NA,0,11
"BRANDENOLIVER","Branden Oliver","RB","SD",15,55,NA,NA,NA,NA,NA,NA,NA,16,67,4.2,0,2,13,6.5,1,NA,1,11
