"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"DREWBREES","Drew Brees","QB","NO",1,1,40,29,344,2,0,72.5,8.6,2,2,1,1,NA,NA,NA,NA,NA,0,31
"PEYTONMANNING","Peyton Manning","QB","DEN",2,2,33,26,282,3,0,78.8,8.5,1,1,1,0,NA,NA,NA,NA,NA,0,29
"AARONRODGERS","Aaron Rodgers","QB","GB",2,2,32,21,270,2,0,65.6,8.4,2,12,6,1,NA,NA,NA,NA,NA,0,29
"PHILIPRIVERS","Philip Rivers","QB","SD",4,4,34,25,324,3,2,73.5,9.5,4,9,2.2,0,NA,NA,NA,NA,NA,0,26
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,4,36,26,349,2,0,72.2,9.7,4,11,2.8,0,NA,NA,NA,NA,NA,0,26
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",6,6,36,24,323,2,0,66.7,9,2,11,5.5,0,NA,NA,NA,NA,NA,0,25
"ANDREWLUCK","Andrew Luck","QB","IND",6,6,38,27,368,2,1,71.1,9.7,4,19,4.8,0,NA,NA,NA,NA,NA,0,25
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",8,8,34,22,247,1,1,64.7,7.3,9,49,5.4,1,NA,NA,NA,NA,NA,0,23
"MATTRYAN","Matt Ryan","QB","ATL",9,9,36,23,295,2,1,63.9,8.2,2,11,5.5,0,NA,NA,NA,NA,NA,0,22
"ELIMANNING","Eli Manning","QB","NYG",9,9,35,25,270,2,0,71.4,7.7,1,2,2,0,NA,NA,NA,NA,NA,0,22
"JAYCUTLER","Jay Cutler","QB","CHI",9,9,35,23,298,2,1,65.7,8.5,4,19,4.8,0,NA,NA,NA,NA,NA,0,22
"RUSSELLWILSON","Russell Wilson","QB","SEA",12,12,25,18,222,2,0,72,8.9,4,19,4.8,0,NA,NA,NA,NA,NA,0,21
"JORDYNELSON","Jordy Nelson","WR","GB",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,155,19.4,1,NA,0,21
"TONYROMO","Tony Romo","QB","DAL",13,14,27,20,218,2,0,74.1,8.1,3,9,3,0,NA,NA,NA,NA,NA,0,20
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",1,14,NA,NA,NA,NA,NA,NA,NA,22,141,6.4,1,2,21,10.5,0,NA,1,20
"ANTONIOBROWN","Antonio Brown","WR","PIT",2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,134,16.8,1,NA,0,20
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",2,17,NA,NA,NA,NA,NA,NA,NA,18,114,6.3,0,2,22,11,1,NA,0,19
