"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"MARKINGRAM","RB","Mark Ingram","NO",1,1,23,0,0,0,0,0,18,110,2,1,6,0,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",2,2,22,43,27,257,3,0,1,1,0,0,0,0,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,21,42,27,355,2,1,4,15,0,0,0,0,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",3,3,21,25,18,193,2,0,9,63,0,0,0,0,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",5,5,20,40,28,303,2,0,2,2,0,0,0,0,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",5,5,20,34,23,264,3,1,2,-1,0,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",5,5,20,36,23,235,3,1,4,12,0,0,0,0,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",8,8,19,34,22,265,2,0,4,12,0,0,0,0,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",8,8,19,33,21,278,2,0,2,1,0,0,0,0,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",8,8,19,27,19,220,2,0,6,38,0,0,0,0,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",11,11,18,37,24,285,2,1,5,19,0,0,0,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",11,11,18,0,0,0,0,0,24,101,1,3,22,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",11,11,18,42,31,312,2,1,1,4,0,0,0,0,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",11,11,18,0,0,0,0,0,17,73,0,6,51,1,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",11,11,18,46,28,311,2,1,2,9,0,0,0,0,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",11,11,18,32,18,236,2,0,4,13,0,0,0,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",17,17,17,28,19,194,2,0,4,22,0,0,0,0,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",17,17,17,0,0,0,0,0,20,81,1,4,37,0,NA,NA,NA
