"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"DREWBREES","QB","Drew Brees","NO",0,0,0,39,27,316,2,0,NA,2,0,NA,NA,NA,NA,NA,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,37,24,313,1,0,NA,6,0,NA,NA,NA,NA,NA,0
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,38,26,303,1,0,NA,6,0,NA,NA,NA,NA,NA,0
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,35,24,296,2,0,NA,14,0,NA,NA,NA,NA,NA,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,38,24,288,1,1,NA,5,0,NA,NA,NA,NA,NA,0
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,36,23,284,2,1,NA,1,0,NA,NA,NA,NA,NA,0
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,36,24,277,1,1,NA,13,0,NA,NA,NA,NA,NA,0
"KYLEORTON","QB","Kyle Orton","BUF",0,0,0,39,24,266,0,1,NA,2,0,NA,NA,NA,NA,NA,0
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,41,25,264,1,1,NA,7,0,NA,NA,NA,NA,NA,0
"PEYTONMANNING","QB","Peyton Manning","DEN",0,0,0,33,22,263,2,0,NA,-1,0,NA,NA,NA,NA,NA,0
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,37,24,261,1,0,NA,6,0,NA,NA,NA,NA,NA,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",0,0,0,35,22,260,1,1,NA,5,0,NA,NA,NA,NA,NA,0
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",0,0,0,32,21,253,1,0,NA,30,0,NA,NA,NA,NA,NA,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",0,0,0,31,21,249,1,0,NA,16,0,NA,NA,NA,NA,NA,0
"TOMBRADY","QB","Tom Brady","NE",0,0,0,33,21,246,2,0,NA,3,0,NA,NA,NA,NA,NA,0
"TONYROMO","QB","Tony Romo","DAL",0,0,0,27,20,241,2,0,NA,2,0,NA,NA,NA,NA,NA,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,34,23,240,1,0,NA,19,0,NA,NA,NA,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",0,0,0,32,19,239,1,0,NA,7,0,NA,NA,NA,NA,NA,0
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,30,19,239,1,0,NA,9,0,NA,NA,NA,NA,NA,0
"CAMNEWTON","QB","Cam Newton","CAR",0,0,0,32,21,239,1,1,NA,39,0,NA,NA,NA,NA,NA,0
"MIKEGLENNON","QB","Mike Glennon","TB",0,0,0,0,0,229,1,0,NA,5,0,NA,NA,NA,NA,NA,0
