displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Jimmy Graham,NO,7.0,89.0,1.0,0.0,0.0,0.0,0.0
Rob Gronkowski,NE,6.0,86.0,1.0,0.0,0.0,0.0,0.0
Greg Olsen,CAR,5.0,75.0,1.0,0.0,0.0,0.0,0.0
Martellus Bennett,CHI,6.0,68.0,1.0,0.0,0.0,0.0,0.0
Julius Thomas,DEN,5.0,65.0,1.0,0.0,0.0,0.0,0.0
Jordan Reed,WAS,5.0,59.0,1.0,0.0,0.0,0.0,0.0
Mychal Rivera,OAK,5.0,58.0,1.0,0.0,0.0,0.0,0.0
Larry Donnell,NYG,5.0,47.0,1.0,0.0,0.0,0.0,0.0
Antonio Gates,SD,4.0,46.0,1.0,0.0,0.0,0.0,0.0
Heath Miller,PIT,4.0,45.0,0.0,0.0,0.0,0.0,0.0
Vernon Davis,SF,4.0,45.0,0.0,0.0,0.0,0.0,0.0
Chase Ford,MIN,4.0,43.0,0.0,0.0,0.0,0.0,0.0
Dwayne Allen,IND,4.0,42.0,1.0,0.0,0.0,0.0,0.0
Zach Ertz,PHI,3.0,42.0,1.0,0.0,0.0,0.0,0.0
Travis Kelce,KC,3.0,40.0,1.0,0.0,0.0,0.0,0.0
Charles Clay,MIA,4.0,38.0,0.0,0.0,0.0,0.0,0.0
Jared Cook,STL,4.0,38.0,0.0,0.0,0.0,0.0,0.0
Coby Fleener,IND,3.0,37.0,0.0,0.0,0.0,0.0,0.0
Gary Barnidge,CLE,3.0,35.0,0.0,0.0,0.0,0.0,0.0
Jermaine Gresham,CIN,4.0,35.0,0.0,0.0,0.0,0.0,0.0
Austin Seferian-Jenkins,TB,3.0,34.0,0.0,0.0,0.0,0.0,0.0
Scott Chandler,BUF,3.0,31.0,0.0,0.0,0.0,0.0,0.0
Kyle Rudolph,MIN,3.0,30.0,0.0,0.0,0.0,0.0,0.0
Lance Kendricks,STL,3.0,28.0,0.0,0.0,0.0,0.0,0.0
Brent Celek,PHI,3.0,27.0,0.0,0.0,0.0,0.0,0.0
Niles Paul,WAS,2.0,27.0,0.0,0.0,0.0,0.0,0.0
Garrett Graham,HOU,3.0,26.0,0.0,0.0,0.0,0.0,0.0
Andrew Quarless,GB,3.0,26.0,0.0,0.0,0.0,0.0,0.0
Eric Ebron,DET,3.0,24.0,0.0,0.0,0.0,0.0,0.0
Richard Rodgers,GB,2.0,24.0,0.0,0.0,0.0,0.0,0.0
John Carlson,ARI,2.0,21.0,0.0,0.0,0.0,0.0,0.0
Cooper Helfet,SEA,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Ladarius Green,SD,2.0,17.0,0.0,0.0,0.0,0.0,0.0
Luke Willson,SEA,1.0,16.0,0.0,0.0,0.0,0.0,0.0
Ed Dickson,CAR,2.0,16.0,0.0,0.0,0.0,0.0,0.0
Tim Wright,NE,2.0,16.0,0.0,0.0,0.0,0.0,0.0
Jim Dray,CLE,1.0,16.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,HOU,2.0,16.0,0.0,0.0,0.0,0.0,0.0
Levine Toilolo,ATL,2.0,15.0,0.0,0.0,0.0,0.0,0.0
Brandon Myers,TB,1.0,14.0,0.0,0.0,0.0,0.0,0.0
Benjamin Watson,NO,1.0,14.0,0.0,0.0,0.0,0.0,0.0
Joseph Fauria,DET,1.0,13.0,0.0,0.0,0.0,0.0,0.0
C.J. Fiedorowicz,HOU,1.0,12.0,0.0,0.0,0.0,0.0,0.0
Derek Carrier,SF,1.0,11.0,0.0,0.0,0.0,0.0,0.0
Logan Paulsen,WAS,1.0,11.0,0.0,0.0,0.0,0.0,0.0
Troy Niklas,ARI,1.0,11.0,0.0,0.0,0.0,0.0,0.0
Luke Stocker,TB,1.0,9.0,0.0,0.0,0.0,0.0,0.0
Rob Housler,ARI,1.0,9.0,0.0,0.0,0.0,0.0,0.0
Dante Rosario,CHI,1.0,8.0,0.0,0.0,0.0,0.0,0.0
Josh Hill,NO,1.0,8.0,0.0,0.0,0.0,0.0,0.0
MarQueis Gray,BUF,1.0,8.0,0.0,0.0,0.0,0.0,0.0
Brian Leonhardt,OAK,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Jacob Tamme,DEN,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Dion Sims,MIA,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Chase Coffman,TEN,1.0,6.0,0.0,0.0,0.0,0.0,0.0
James Casey,PHI,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Rhett Ellison,MIN,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Daniel Fells,NYG,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Virgil Green,DEN,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Ryan Hewitt,CIN,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,CAR,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Jack Doyle,IND,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Matt Spaeth,PIT,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Chris Gragg,BUF,0.0,2.0,0.0,0.0,0.0,0.0,0.0
David Johnson,SD,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Adrien Robinson,NYG,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Richard Gordon,KC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cory Harkey,STL,0.0,1.0,0.0,0.0,0.0,0.0,0.0
James Oboh,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Mulligan,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rob Blanchflower,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Swoope,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Tialavea,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Maxwell,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harold Hoskins,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Thompson,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Eifert,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vance McDonald,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Phillips,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Pascoe,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Miller,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Bajema,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Winslow,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Stevens,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Smith,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark Harris,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Hoomanawanui,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
