displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
LeVeon Bell,PIT,22.0,114.0,1.0,5.0,36.0,0.0,0.0
DeMarco Murray,DAL,21.0,100.0,1.0,0.0,3.0,0.0,0.0
C.J. Anderson,DEN,24.0,96.0,1.0,2.0,14.0,0.0,0.0
Eddie Lacy,GB,18.0,93.0,1.0,3.0,21.0,0.0,0.0
LeSean McCoy,PHI,20.0,85.0,1.0,1.0,4.0,0.0,0.0
Jonathan Stewart,CAR,19.0,84.0,1.0,2.0,8.0,0.0,0.0
Mark Ingram,NO,19.0,84.0,1.0,1.0,7.0,0.0,0.0
Alfred Morris,WAS,19.0,83.0,0.0,2.0,12.0,0.0,0.0
Marshawn Lynch,SEA,22.0,82.0,1.0,3.0,20.0,0.0,0.0
Lamar Miller,MIA,16.0,77.0,0.0,3.0,15.0,0.0,0.0
Arian Foster,HOU,21.0,76.0,1.0,4.0,27.0,0.0,0.0
Tre Mason,STL,17.0,75.0,1.0,2.0,8.0,0.0,0.0
Joique Bell,DET,19.0,75.0,1.0,4.0,28.0,0.0,0.0
Jamaal Charles,KC,16.0,75.0,1.0,4.0,26.0,0.0,0.0
Latavius Murray,OAK,17.0,72.0,0.0,2.0,13.0,0.0,0.0
Fred Jackson,BUF,17.0,72.0,0.0,5.0,30.0,0.0,0.0
Justin Forsett,BAL,17.0,70.0,1.0,2.0,12.0,0.0,0.0
Jeremy Hill,CIN,15.0,64.0,1.0,2.0,9.0,0.0,0.0
Andre Williams,NYG,18.0,64.0,0.0,2.0,10.0,0.0,0.0
Doug Martin,TB,15.0,61.0,0.0,3.0,13.0,0.0,0.0
Dan Herron,IND,12.0,59.0,0.0,4.0,32.0,0.0,0.0
Frank Gore,SF,15.0,56.0,0.0,2.0,10.0,0.0,0.0
Shonn Greene,TEN,15.0,55.0,0.0,0.0,2.0,0.0,0.0
Kerwynn Williams,ARI,15.0,55.0,0.0,3.0,18.0,0.0,0.0
Matt Asiata,MIN,14.0,55.0,1.0,4.0,15.0,0.0,0.0
Chris Ivory,NYJ,13.0,54.0,0.0,1.0,4.0,0.0,0.0
Branden Oliver,SD,15.0,53.0,0.0,3.0,26.0,0.0,0.0
Isaiah Crowell,CLE,14.0,52.0,0.0,2.0,11.0,0.0,0.0
Jonas Gray,NE,13.0,52.0,0.0,0.0,0.0,0.0,0.0
Steven Jackson,ATL,15.0,51.0,1.0,2.0,12.0,0.0,0.0
Toby Gerhart,JAC,14.0,46.0,1.0,2.0,9.0,0.0,0.0
Chris Johnson,NYJ,10.0,37.0,0.0,2.0,9.0,0.0,0.0
Bernard Pierce,BAL,7.0,37.0,0.0,0.0,1.0,0.0,0.0
Matt Forte,CHI,11.0,37.0,1.0,5.0,39.0,0.0,0.0
Giovani Bernard,CIN,8.0,36.0,0.0,5.0,33.0,0.0,0.0
Terrance West,CLE,8.0,34.0,0.0,2.0,8.0,0.0,0.0
Trent Richardson,IND,9.0,34.0,0.0,2.0,7.0,0.0,0.0
Storm Johnson,JAC,6.0,32.0,0.0,0.0,1.0,0.0,0.0
Stepfan Taylor,ARI,8.0,29.0,0.0,2.0,11.0,0.0,0.0
Juwan Thompson,DEN,5.0,28.0,0.0,1.0,2.0,0.0,0.0
Bishop Sankey,TEN,8.0,27.0,0.0,1.0,8.0,0.0,0.0
Joseph Randle,DAL,5.0,25.0,0.0,2.0,7.0,0.0,0.0
James Starks,GB,6.0,25.0,0.0,2.0,11.0,0.0,0.0
Alfred Blue,HOU,8.0,24.0,0.0,0.0,1.0,0.0,0.0
Pierre Thomas,NO,4.0,22.0,0.0,4.0,34.0,0.0,0.0
Shane Vereen,NE,6.0,21.0,1.0,4.0,23.0,0.0,0.0
Reggie Bush,DET,4.0,21.0,0.0,2.0,11.0,0.0,0.0
Robert Turbin,SEA,5.0,20.0,0.0,1.0,10.0,0.0,0.0
Devonta Freeman,ATL,4.0,19.0,0.0,2.0,14.0,0.0,0.0
Alfonso Smith,SF,5.0,19.0,0.0,2.0,11.0,0.0,0.0
Brandon Bolden,NE,4.0,19.0,0.0,0.0,0.0,0.0,0.0
Chris Polk,PHI,4.0,18.0,0.0,0.0,0.0,0.0,0.0
Silas Redd,WAS,4.0,18.0,0.0,3.0,18.0,0.0,0.0
Knile Davis,KC,4.0,18.0,0.0,1.0,15.0,0.0,0.0
Donald Brown,SD,5.0,17.0,0.0,3.0,26.0,0.0,0.0
Christine Michael,SEA,4.0,17.0,0.0,0.0,1.0,0.0,0.0
Benjamin Cunningham,STL,3.0,16.0,0.0,3.0,17.0,0.0,0.0
Darren McFadden,OAK,4.0,14.0,0.0,2.0,8.0,0.0,0.0
Charles Sims,TB,4.0,14.0,0.0,3.0,27.0,0.0,0.0
Ben Tate,MIN,5.0,14.0,0.0,1.0,3.0,0.0,0.0
Anthony Dixon,BUF,3.0,13.0,0.0,0.0,1.0,0.0,0.0
C.J. Spiller,BUF,3.0,13.0,0.0,1.0,5.0,0.0,0.0
Darren Sproles,PHI,4.0,12.0,0.0,2.0,14.0,0.0,0.0
Mike Tolbert,CAR,3.0,11.0,0.0,1.0,5.0,0.0,0.0
Damien Williams,MIA,3.0,11.0,0.0,1.0,3.0,0.0,0.0
KaDeem Carey,CHI,2.0,9.0,0.0,1.0,9.0,0.0,0.0
Jordan Todman,JAC,2.0,8.0,0.0,2.0,15.0,0.0,0.0
Fozzy Whittaker,CAR,1.0,7.0,0.0,1.0,4.0,0.0,0.0
Ronnie Brown,SD,3.0,6.0,0.0,0.0,0.0,0.0,0.0
DeAnthony Thomas,KC,1.0,6.0,0.0,1.0,4.0,0.0,0.0
Khiry Robinson,NO,2.0,6.0,0.0,1.0,2.0,0.0,0.0
Lance Dunbar,DAL,1.0,6.0,0.0,3.0,27.0,0.0,0.0
Maurice Jones-Drew,OAK,1.0,6.0,0.0,1.0,4.0,0.0,0.0
Jacquizz Rodgers,ATL,2.0,6.0,0.0,2.0,14.0,0.0,0.0
Zac Stacy,STL,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Marcel Reece,OAK,2.0,4.0,0.0,4.0,33.0,0.0,0.0
Marion Grice,SD,2.0,4.0,0.0,1.0,5.0,0.0,0.0
DuJuan Harris,GB,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Bilal Powell,NYJ,1.0,3.0,0.0,1.0,7.0,0.0,0.0
Joe Banyard,MIN,1.0,3.0,0.0,1.0,2.0,0.0,0.0
Chris Thompson,WAS,0.0,2.0,0.0,2.0,15.0,0.0,0.0
Jonathan Grimes,HOU,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Leon Washington,TEN,1.0,2.0,0.0,2.0,8.0,0.0,0.0
Bruce Miller,SF,0.0,2.0,0.0,3.0,22.0,0.0,0.0
Rex Burkhead,CIN,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Ronnie Hillman,DEN,4.0,1.0,0.0,0.0,1.0,0.0,0.0
Theo Riddick,DET,2.0,1.0,0.0,1.0,10.0,0.0,0.0
Roy Helu,WAS,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dri Archer,PIT,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chris Ogbonnaya,NYG,3.0,1.0,0.0,0.0,1.0,0.0,0.0
Bobby Rainey,TB,1.0,1.0,0.0,1.0,7.0,0.0,0.0
Robert Hughes,ARI,0.0,1.0,0.0,1.0,12.0,0.0,0.0
Ray Agnew,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Fiammetta,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senorise Perry,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Prosch,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Kuhn,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Andrews,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome Felton,MIN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Jed Collins,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Peerman,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Summers,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackie Battle,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Juszczyk,BAL,0.0,0.0,0.0,1.0,5.0,0.0,0.0
Jamize Olawale,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Lorig,NO,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Will Johnson,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Hynoski,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick DiMarco,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrel Young,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Sherman,KC,0.0,0.0,0.0,1.0,2.0,0.0,0.0
James Develin,NE,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Tyler Clutts,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Taufoou,JAC,0.0,0.0,0.0,1.0,7.0,0.0,0.0
Trey Watts,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
