displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Julio Jones,ATL,7.0,108.0,1.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,9.0,106.0,1.0,1.0,0.0,0.0,0.0
Jeremy Maclin,PHI,6.0,104.0,1.0,0.0,0.0,0.0,0.0
Kelvin Benjamin,CAR,7.0,101.0,0.0,0.0,0.0,0.0,0.0
Dez Bryant,DAL,8.0,100.0,1.0,0.0,0.0,0.0,0.0
Pierre Garcon,WAS,8.0,98.0,0.0,0.0,0.0,0.0,0.0
Jordy Nelson,GB,6.0,93.0,1.0,0.0,0.0,0.0,0.0
Brandon Marshall,CHI,5.0,91.0,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,CHI,7.0,90.0,1.0,0.0,0.0,0.0,0.0
Julian Edelman,NE,9.0,88.0,1.0,1.0,1.0,0.0,0.0
Vincent Jackson,TB,7.0,87.0,1.0,0.0,0.0,0.0,0.0
Steve Smith,BAL,5.0,85.0,1.0,0.0,0.0,0.0,0.0
Calvin Johnson,DET,6.0,85.0,1.0,0.0,0.0,0.0,0.0
Sammy Watkins,BUF,5.0,83.0,0.0,0.0,0.0,0.0,0.0
Victor Cruz,NYG,6.0,81.0,1.0,0.0,0.0,0.0,0.0
Randall Cobb,GB,6.0,80.0,1.0,1.0,1.0,0.0,0.0
Stevie Johnson,SF,6.0,77.0,0.0,0.0,0.0,0.0,0.0
Michael Crabtree,SF,7.0,75.0,1.0,0.0,0.0,0.0,0.0
Keenan Allen,SD,6.0,72.0,1.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,MIN,6.0,72.0,1.0,1.0,11.0,0.0,0.0
Andre Johnson,HOU,7.0,71.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,NO,6.0,71.0,0.0,1.0,1.0,0.0,0.0
Mike Evans,TB,6.0,70.0,0.0,0.0,0.0,0.0,0.0
Golden Tate,DET,6.0,70.0,0.0,0.0,0.0,0.0,0.0
Rueben Randle,NYG,6.0,69.0,1.0,0.0,0.0,0.0,0.0
Allen Robinson,JAC,7.0,69.0,0.0,0.0,0.0,0.0,0.0
Jeremy Kerley,NYJ,5.0,67.0,1.0,0.0,0.0,0.0,0.0
Roddy White,ATL,6.0,67.0,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,6.0,67.0,1.0,0.0,0.0,0.0,0.0
Mike Wallace,MIA,5.0,66.0,1.0,1.0,0.0,0.0,0.0
Jordan Matthews,PHI,6.0,64.0,0.0,0.0,0.0,0.0,0.0
Cecil Shorts III,JAC,6.0,62.0,1.0,0.0,0.0,0.0,0.0
Eddie Royal,SD,6.0,62.0,1.0,0.0,0.0,0.0,0.0
DeSean Jackson,WAS,5.0,62.0,1.0,0.0,0.0,0.0,0.0
Kendall Wright,TEN,6.0,61.0,0.0,0.0,0.0,0.0,0.0
Markus Wheaton,PIT,4.0,61.0,1.0,0.0,0.0,0.0,0.0
James Jones,OAK,5.0,59.0,0.0,0.0,0.0,0.0,0.0
Torrey Smith,BAL,4.0,58.0,0.0,0.0,0.0,0.0,0.0
Hakeem Nicks,IND,4.0,58.0,0.0,0.0,0.0,0.0,0.0
