displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Tom Brady,NE,27.0,39.0,316.0,2.0,0.0,0.0,0.0,0.0
Andrew Luck,IND,27.0,41.0,301.0,2.0,1.0,23.0,0.0,0.0
Peyton Manning,DEN,25.0,37.0,298.0,3.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,28.0,39.0,297.0,1.0,0.0,6.0,0.0,0.0
Drew Brees,NO,26.0,36.0,296.0,2.0,1.0,2.0,0.0,0.0
Blake Bortles,JAC,22.0,39.0,293.0,0.0,1.0,27.0,0.0,0.0
Nick Foles,PHI,27.0,42.0,288.0,1.0,1.0,9.0,0.0,0.0
Philip Rivers,SD,25.0,37.0,277.0,2.0,1.0,4.0,0.0,0.0
Carson Palmer,ARI,22.0,35.0,264.0,1.0,1.0,2.0,0.0,0.0
Derek Carr,OAK,23.0,41.0,263.0,0.0,0.0,6.0,0.0,0.0
Mike Glennon,TB,21.0,35.0,259.0,1.0,0.0,4.0,0.0,0.0
Brian Hoyer,CLE,19.0,30.0,251.0,1.0,0.0,2.0,0.0,0.0
Eli Manning,NYG,22.0,34.0,245.0,2.0,1.0,1.0,0.0,0.0
Robert Griffin III,WAS,23.0,33.0,244.0,1.0,0.0,28.0,0.0,0.0
Ryan Fitzpatrick,HOU,19.0,32.0,244.0,1.0,0.0,14.0,0.0,0.0
Joe Flacco,BAL,21.0,33.0,244.0,1.0,0.0,4.0,0.0,0.0
Austin Davis,STL,22.0,35.0,238.0,1.0,0.0,8.0,0.0,0.0
Ryan Tannehill,MIA,21.0,33.0,237.0,1.0,0.0,23.0,0.0,0.0
Teddy Bridgewater,MIN,20.0,33.0,235.0,0.0,1.0,13.0,0.0,0.0
Brandon Weeden,DAL,22.0,34.0,233.0,1.0,1.0,6.0,0.0,0.0
Andy Dalton,CIN,23.0,34.0,232.0,1.0,0.0,10.0,0.0,0.0
Cam Newton,CAR,21.0,33.0,226.0,1.0,1.0,33.0,0.0,0.0
Michael Vick,NYJ,21.0,35.0,218.0,0.0,1.0,42.0,0.0,0.0
Alex Smith,KC,21.0,30.0,207.0,1.0,0.0,17.0,0.0,0.0
Colin Kaepernick,SF,21.0,30.0,201.0,1.0,0.0,42.0,0.0,0.0
Russell Wilson,SEA,19.0,27.0,184.0,1.0,0.0,37.0,0.0,0.0
David Garrard,NYJ,22.0,34.0,103.0,0.0,0.0,0.0,0.0,0.0
Kellen Clemens,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Barkley,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt McCoy,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Campbell,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Cassel,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Gradkowski,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Grossman,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Hasselbeck,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Henne,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaun Hill,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh McCown,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Stanton,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Bradford,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
