"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"GRAHAMGANO","K",1,4,0,2,0,14
"MATTPRATER","K",2,3,0,3,0,12
"SHAUNSUISHAM","K",2,3,0,3,0,12
"STEVEHAUSCHKA","K",4,3,0,2,0,11
"RYANSUCCOP","K",4,3,0,2,0,11
"GREGZUERLEIN","K",4,3,0,2,0,11
"GARRETTHARTLEY","K",7,3,0,1,0,10
"DANBAILEY","K",8,2,0,3,0,9
"CONNORBARTH","K",8,2,0,3,0,9
"STEPHENGOSTKOWSKI","K",8,2,0,3,0,9
"CODYPARKEY","K",8,2,0,3,0,9
"JAYFEELY","K",12,2,0,2,0,8
"KAIFORBATH","K",12,2,0,2,0,8
"NICKNOVAK","K",12,2,0,2,0,8
"MIKENUGENT","K",12,2,0,2,0,8
"CHANDLERCATANZARO","K",16,2,0,1,0,7
"MASONCROSBY","K",16,1,0,4,0,7
"SHAYNEGRAHAM","K",16,1,0,4,0,7
"ADAMVINATIERI","K",16,1,0,4,0,7
"MATTBRYANT","K",20,1,0,3,0,6
"DANCARPENTER","K",20,1,0,3,0,6
"CAIROSANTOS","K",20,1,0,3,0,6
"CALEBSTURGIS","K",20,1,0,3,0,6
"JUSTINTUCKER","K",20,1,0,3,0,6
"JOSHBROWN","K",25,1,0,2,0,5
"RANDYBULLOCK","K",25,1,0,2,0,5
"PHILDAWSON","K",25,1,0,2,0,5
"NICKFOLK","K",25,1,0,2,0,5
"SEBASTIANJANIKOWSKI","K",25,1,0,2,0,5
"PATRICKMURRAY","K",25,1,0,2,0,5
"BLAIRWALSH","K",25,1,0,2,0,5
