"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"ANDREWLUCK","QB","Andrew Luck","IND",1,1,29,42,26,320,3,1,2,10,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",2,2,28.5,43,28,330,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",3,3,26.8,35,25,295,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",4,4,23.5,31,18,230,2,0,7,40,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",5,5,23.3,36,23,285,2,0,2,10,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",5,5,23.3,40,27,305,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",7,7,22.5,36,24,270,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",8,8,22.3,38,24,265,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",8,8,22.3,43,27,275,2,1,2,5,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",8,8,22.3,41,24,285,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",8,8,22.3,38,24,285,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",12,12,22,40,24,270,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",13,13,21.5,32,22,260,2,1,2,5,0,NA,NA,NA,NA,NA,NA
"DREWSTANTON","QB","Drew Stanton","ARI",13,13,21.5,33,16,260,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",13,13,21.5,26,15,210,2,0,7,30,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",16,16,20.8,32,19,245,2,0,1,5,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",16,16,20.8,32,20,235,2,0,2,10,0,NA,NA,NA,NA,NA,NA
