"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"BRYCEPETTY","Bryce Petty","QB","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"CHASEDANIEL","Chase Daniel","QB","KC",1,1,0.2,0.1,1.1,0,0,58.8,4.8,0.1,0.4,4.9,0,NA,NA,NA,NA,NA,0,0
"DEREKANDERSON","Derek Anderson","QB","CAR",1,1,0.3,0.2,2.2,0,0,69.7,7.3,0.1,0.2,2.5,0,NA,NA,NA,NA,NA,0,0
"JOEFLACCO","Joe Flacco","QB","BAL",1,1,37.7,24.2,278,1.7,1,64.2,7.4,2,5,2.5,0.1,NA,NA,NA,NA,NA,0.1,0
"AUSTINDAVIS","Austin Davis","QB","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"ANDYDALTON","Andy Dalton","QB","CIN",1,1,31.1,18.5,239,1.9,1.1,59.5,7.7,4.1,13.4,3.3,0.3,NA,NA,NA,NA,NA,0.2,0
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",1,1,36.3,22.7,254,1.6,0.9,62.5,7,2.9,15.1,5.3,0.1,NA,NA,NA,NA,NA,0.3,0
"LANDRYJONES","Landry Jones","QB","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0
"ALEXSMITH","Alex Smith","QB","KC",1,1,32.9,20.2,203,1.3,0.9,61.4,6.2,4.3,21.8,5,0,NA,NA,NA,NA,NA,0.2,0
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",1,1,0.6,0.4,4.7,0,0,62.2,7.7,0.2,0.9,4.3,0,NA,NA,NA,NA,NA,0,0
"TARVARISJACKSON","Tarvaris Jackson","QB","SEA",1,1,0.1,0,0.5,0,0,70.6,9.3,0,0,0.9,0,NA,NA,NA,NA,NA,0,0
