"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,19.5,32.3,21.9,269.5,2.3,0.4,3.5,18.4,0.1,0,0,0,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",2,2,19.3,28.2,18.4,225.1,1.7,0.6,6.6,40.8,0.2,0,0,0,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,19,34.9,22,268.2,2.3,0.8,3.9,18.2,0.1,0,0,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",4,4,17.7,39.8,26.7,324.1,1.8,0.7,1.6,2.6,0.1,0,0,0,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",4,4,17.7,39.2,25.2,303,1.8,0.8,1.4,-0.4,0,0,0,0,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",6,6,16.9,31.4,19.1,231,1.4,0.8,7.4,39.2,0.3,0,0,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",7,7,16.8,35.4,23.4,276,1.7,0.6,2.5,8.1,0.1,0,0,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",8,8,16.1,32.2,21.4,258,1.9,0.8,1.6,2.7,0.1,0,0,0,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",9,9,16,0,0,0,0,0,19.9,81.4,0.7,3.8,34.8,0.1,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",10,10,15.8,31.6,19.9,233.8,1.1,0.6,6.3,39,0.2,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",11,11,15.7,32.1,20.8,260.3,1.8,0.8,2,4.3,0,0,0,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",12,12,14.8,0,0,0,0,0,20.2,86.9,0.5,3.5,32.6,0.1,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",12,12,14.8,27.2,18.3,208.4,1.6,1,5.7,27.4,0.2,0,0,0,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","PIT",14,14,14.7,31.5,18.8,224.4,1.4,0.9,5.5,34.8,0.2,0,0,0,NA,NA,NA
