"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"DREWBREES","QB","Drew Brees","NO",0,0,0,40.4,26.7,297.7,2,1.1,NA,1.8,0,NA,NA,NA,NA,NA,0.3
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,36.9,23.7,292.7,1.8,1,NA,4.9,0,NA,NA,NA,NA,NA,0.2
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,37,23.5,291.8,2.3,0.8,NA,2.2,0.1,NA,NA,NA,NA,NA,0.2
"TOMBRADY","QB","Tom Brady","NE",0,0,0,39.9,25.4,282.3,2.1,0.7,NA,3.1,0.1,NA,NA,NA,NA,NA,0.3
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,38.8,24.6,279.8,2,1,NA,2.1,0,NA,NA,NA,NA,NA,0.2
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,39.3,25,275.4,1.6,1,NA,7.5,0.1,NA,NA,NA,NA,NA,0.3
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,38.1,23.8,274.2,1.5,1.3,NA,1.7,0,NA,NA,NA,NA,NA,0.2
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,38.8,24.8,269.6,1.3,1.2,NA,4,0,NA,NA,NA,NA,NA,0.3
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,35.3,22.6,266.5,2,0.7,NA,12.8,0.1,NA,NA,NA,NA,NA,0.3
"BRIANHOYER","QB","Brian Hoyer","HOU",0,0,0,38,22.5,265.5,1.7,1,NA,5.1,0,NA,NA,NA,NA,NA,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,39,22.5,264.6,1.9,1.2,NA,18.6,0,NA,NA,NA,NA,NA,0.3
"BROCKOSWEILER","QB","Brock Osweiler","DEN",0,0,0,37.7,22.9,263.9,1.9,1,NA,9,0.1,NA,NA,NA,NA,NA,0.2
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",0,0,0,37.1,23.2,261.2,1.7,1,NA,3.3,0.1,NA,NA,NA,NA,NA,0.3
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,35.5,21.6,258.6,1.9,0.5,NA,21.6,0.1,NA,NA,NA,NA,NA,0.2
