displayName,team,xp,fg
Steven Hauschka,SEA,3.0,2.0
Stephen Gostkowski,NE,3.0,2.0
Adam Vinatieri,IND,3.0,2.0
Brandon McManus,DEN,3.0,2.0
Mason Crosby,GB,3.0,2.0
Chandler Catanzaro,ARI,3.0,2.0
Dan Bailey,DAL,3.0,2.0
Cody Parkey,PHI,3.0,2.0
Andrew Franks,MIA,3.0,2.0
Sebastian Janikowski,OAK,2.0,2.0
Robbie Gould,CHI,2.0,2.0
Graham Gano,CAR,2.0,2.0
Ryan Succop,TEN,2.0,2.0
Mike Nugent,CIN,2.0,2.0
Josh Scobee,PIT,2.0,2.0
Matt Prater,DET,2.0,2.0
Kai Forbath,WAS,2.0,2.0
Greg Zuerlein,STL,2.0,2.0
Kyle Brindza,TB,2.0,2.0
Matt Bryant,ATL,2.0,2.0
Dan Carpenter,BUF,2.0,2.0
Cairo Santos,KC,2.0,2.0
Phil Dawson,SF,2.0,2.0
Nick Folk,NYJ,2.0,2.0
Justin Tucker,BAL,2.0,2.0
Randy Bullock,HOU,2.0,2.0
Blair Walsh,MIN,2.0,2.0
Josh Brown,NYG,2.0,2.0
Josh Lambo,SD,2.0,1.0
Travis Coons,CLE,2.0,1.0
Zach Hocker,NO,2.0,1.0
Garrett Hartley,PIT,0.0,0.0
Chris Boswell,NYG,0.0,0.0
Caleb Sturgis,MIA,0.0,0.0
Jay Feely,CHI,0.0,0.0
Dustin Hopkins,NO,0.0,0.0
Nick Novak,SD,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
