displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
Cincinnati Bengals,3.2,1.3,0.7,0.7,0.3,0.1,0.0,13.9,263.9
New England Patriots,3.1,1.1,0.7,0.7,0.3,0.1,0.0,18.4,352.7
Green Bay Packers,2.4,1.0,0.5,0.5,0.2,0.0,0.0,19.1,363.0
Arizona Cardinals,2.1,1.2,0.9,0.9,0.3,0.1,0.0,19.4,332.9
Chicago Bears,2.8,1.0,0.5,0.5,0.3,0.0,0.0,20.0,333.1
Buffalo Bills,2.6,1.1,0.7,0.7,0.3,0.1,0.0,20.6,347.5
Minnesota Vikings,3.0,1.0,0.5,0.4,0.2,0.1,0.0,20.9,390.7
Kansas City Chiefs,2.3,1.0,0.7,0.7,0.3,0.1,0.0,21.2,374.7
Seattle Seahawks,2.6,1.0,0.5,0.5,0.3,0.1,0.1,21.2,352.1
Denver Broncos,3.1,1.1,0.7,0.7,0.3,0.1,0.0,21.4,310.4
Houston Texans,2.9,1.2,0.5,0.5,0.3,0.1,0.0,21.8,339.2
Carolina Panthers,2.8,1.0,0.8,0.8,0.3,0.0,0.0,21.9,375.7
Washington Redskins,2.0,1.2,0.5,0.5,0.3,0.0,0.0,22.0,337.8
Pittsburgh Steelers,2.3,0.9,0.6,0.6,0.2,0.1,0.0,22.5,391.5
Tennessee Titans,3.0,1.2,0.5,0.5,0.2,0.0,0.0,22.6,296.6
Jacksonville Jaguars,2.7,1.2,0.4,0.4,0.2,0.0,0.1,23.6,311.6
New York Jets,2.9,1.1,0.6,0.6,0.3,0.1,0.0,23.9,342.8
San Francisco 49ers,2.1,0.8,0.3,0.3,0.1,0.0,0.0,24.1,406.1
Miami Dolphins,2.7,1.2,0.5,0.5,0.3,0.1,0.0,24.4,384.5
Dallas Cowboys,2.5,1.1,0.5,0.5,0.2,0.0,0.0,24.5,326.8
Baltimore Ravens,2.8,1.0,0.4,0.4,0.2,0.1,0.0,24.6,375.7
Atlanta Falcons,1.4,1.0,0.4,0.4,0.2,0.0,0.0,24.8,385.3
St. Louis Rams,2.3,0.8,0.8,0.8,0.2,0.1,0.0,26.2,395.3
Tampa Bay Buccaneers,2.2,1.2,0.7,0.7,0.2,0.0,0.0,26.3,326.6
Indianapolis Colts,1.6,1.0,0.3,0.3,0.1,0.0,0.1,26.3,410.3
New York Giants,2.0,1.1,0.4,0.4,0.2,0.0,0.0,26.5,417.0
San Diego Chargers,2.2,1.0,0.4,0.4,0.2,0.0,0.0,26.9,389.1
Detroit Lions,2.8,0.6,0.5,0.5,0.1,0.1,0.0,28.2,374.2
Oakland Raiders,2.1,0.6,0.4,0.4,0.1,0.0,0.0,29.6,446.5
Cleveland Browns,1.8,0.8,0.4,0.4,0.1,0.1,0.0,32.2,429.7
Philadelphia Eagles,1.6,0.5,0.4,0.4,0.2,0.1,0.0,33.9,468.3
New Orleans Saints,1.3,0.6,0.5,0.5,0.1,0.1,0.0,34.3,455.1
