displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Greg Olsen,CAR,5.1,67.5,0.8,0.0,0.0,0.0,0.0
Delanie Walker,TEN,5.8,64.7,0.3,0.0,0.0,0.0,0.1
Gary Barnidge,CLE,5.0,63.1,0.4,0.0,0.0,0.0,0.0
Rob Gronkowski,NE,5.1,62.8,0.7,0.0,0.0,0.0,0.0
Jordan Reed,WAS,5.7,57.5,0.5,0.0,0.0,0.0,0.1
Antonio Gates,SD,4.9,56.3,0.5,0.0,0.0,0.0,0.0
Jason Witten,DAL,5.0,55.8,0.2,0.0,0.0,0.0,0.0
Benjamin Watson,NO,4.3,50.9,0.4,0.0,0.0,0.0,0.0
Julius Thomas,JAC,4.8,49.0,0.5,0.0,0.0,0.0,0.0
Heath Miller,PIT,4.9,48.5,0.3,0.0,0.0,0.0,0.1
Austin Seferian-Jenkins,TB,3.9,47.4,0.3,0.0,0.0,0.0,0.0
Travis Kelce,KC,4.0,47.1,0.4,0.0,0.0,0.0,0.1
Zach Ertz,PHI,3.9,46.6,0.3,0.0,0.0,0.0,0.0
Zach Miller,CHI,4.0,44.7,0.3,0.0,0.0,0.0,0.0
Jacob Tamme,ATL,4.0,42.8,0.2,0.0,0.0,0.0,0.0
Coby Fleener,IND,4.0,42.8,0.3,0.0,0.0,0.0,0.0
Vernon Davis,DEN,3.0,41.8,0.2,0.0,0.0,0.0,0.0
Richard Rodgers,GB,4.0,41.5,0.4,0.0,0.0,0.0,0.0
Ladarius Green,SD,3.8,40.5,0.3,0.0,0.0,0.0,0.0
Vance McDonald,SF,3.8,40.0,0.2,0.0,0.0,0.0,0.0
Eric Ebron,DET,3.2,39.1,0.3,0.0,0.0,0.0,0.0
Will Tye,NYG,3.9,38.9,0.3,0.0,0.0,0.0,0.0
Kyle Rudolph,MIN,3.2,36.4,0.2,0.0,0.0,0.0,0.0
Ryan Griffin,HOU,2.8,36.1,0.3,0.0,0.0,0.0,0.0
Jared Cook,STL,3.0,32.3,0.1,0.0,0.0,0.0,0.0
Jordan Cameron,MIA,2.2,30.5,0.2,0.0,0.0,0.0,0.0
Chris Gragg,BUF,2.9,30.5,0.3,0.0,0.0,0.0,0.0
Clive Walford,OAK,2.7,29.5,0.4,0.0,0.0,0.0,0.0
Owen Daniels,DEN,2.2,26.9,0.2,0.0,0.0,0.0,0.0
Mychal Rivera,OAK,2.1,23.7,0.2,0.0,0.0,0.0,0.0
Darren Fells,ARI,1.6,21.5,0.2,0.0,0.0,0.0,0.0
Luke Willson,SEA,2.0,21.1,0.4,0.0,0.0,0.0,0.0
Maxx Williams,BAL,2.1,20.9,0.1,0.0,0.0,0.0,0.0
Garrett Graham,HOU,1.9,19.5,0.0,0.0,0.0,0.0,0.0
Dwayne Allen,IND,2.0,18.8,0.1,0.0,0.0,0.0,0.0
Anthony Fasano,TEN,1.8,18.8,0.1,0.0,0.0,0.0,0.0
Cameron Brate,TB,1.4,18.2,0.1,0.0,0.0,0.0,0.0
Scott Chandler,NE,1.9,18.2,0.3,0.0,0.0,0.0,0.0
Marcedes Lewis,JAC,1.7,18.2,0.1,0.0,0.0,0.0,0.0
Dion Sims,MIA,1.9,17.5,0.2,0.0,0.0,0.0,0.0
Blake Bell,SF,1.7,17.5,0.0,0.0,0.0,0.0,0.0
Brent Celek,PHI,1.6,17.3,0.1,0.0,0.0,0.0,0.0
Tyler Kroft,CIN,1.7,16.5,0.2,0.0,0.0,0.0,0.0
Ed Dickson,CAR,1.5,16.4,0.1,0.0,0.0,0.0,0.0
Jermaine Gresham,ARI,1.8,15.5,0.2,0.0,0.0,0.0,0.0
Clay Harbor,JAC,1.7,15.0,0.0,0.0,0.0,0.0,0.0
Lance Kendricks,STL,1.7,15.0,0.1,0.0,0.0,0.0,0.0
Gavin Escobar,DAL,1.2,13.4,0.0,0.0,0.0,0.0,0.0
Virgil Green,DEN,1.1,12.6,0.0,0.0,0.0,0.0,0.0
Josh Hill,NO,1.2,11.5,0.1,0.0,0.0,0.0,0.0
C.J. Fiedorowicz,HOU,0.9,10.4,0.1,0.0,0.0,0.0,0.0
Jeff Cumberland,NYJ,1.0,10.4,0.0,0.0,0.0,0.0,0.0
Tim Wright,DET,0.8,10.2,0.0,0.0,0.0,0.0,0.0
Cooper Helfet,SEA,0.9,9.8,0.1,0.0,0.0,0.0,0.0
Rhett Ellison,MIN,1.0,9.5,0.1,0.0,0.0,0.0,0.0
Ryan Hewitt,CIN,0.9,8.9,0.1,0.0,0.0,0.0,0.0
Craig Stevens,TEN,0.9,8.5,0.0,0.0,0.0,0.0,0.0
Michael Hoomanawanui,NO,0.7,7.5,0.1,0.0,0.0,0.0,0.1
Jesse James,PIT,0.7,6.8,0.0,0.0,0.0,0.0,0.0
Lee Smith,OAK,0.7,6.7,0.1,0.0,0.0,0.0,0.0
Kellen Davis,NYJ,0.6,6.3,0.1,0.0,0.0,0.0,0.0
Demetrius Harris,KC,0.7,6.0,0.0,0.0,0.0,0.0,0.0
Tyler Eifert,CIN,0.5,5.9,0.1,0.0,0.0,0.0,0.0
