displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Marshawn Lynch,SEA,19.4,90.6,0.7,2.0,18.5,0.2,0.1
Adrian Peterson,MIN,18.6,90.0,0.6,2.9,22.7,0.1,0.2
Jonathan Stewart,CAR,17.8,82.5,0.4,2.0,13.2,0.1,0.1
LeVeon Bell,PIT,17.0,72.8,0.5,4.9,37.5,0.2,0.1
Chris Ivory,NYJ,18.1,71.7,0.5,1.0,9.7,0.1,0.1
Latavius Murray,OAK,15.8,71.0,0.5,3.1,20.4,0.1,0.1
Isaiah Crowell,CLE,16.3,69.7,0.5,1.0,7.5,0.0,0.2
Justin Forsett,BAL,15.4,69.3,0.3,3.1,24.9,0.1,0.1
Joseph Randle,DAL,16.2,68.9,0.5,1.2,10.2,0.0,0.2
Carlos Hyde,SF,15.5,67.7,0.5,2.0,12.1,0.1,0.1
Frank Gore,IND,15.7,66.7,0.4,1.9,16.6,0.1,0.1
LeSean McCoy,BUF,16.5,66.5,0.4,3.0,19.5,0.1,0.1
Jamaal Charles,KC,14.2,66.1,0.5,4.0,30.8,0.2,0.2
Lamar Miller,MIA,15.3,66.0,0.3,2.9,20.7,0.1,0.1
Jeremy Hill,CIN,15.5,66.0,0.5,1.2,10.1,0.0,0.2
Melvin Gordon,SD,15.6,65.9,0.3,2.0,14.5,0.1,0.1
James Starks,GB,14.9,65.7,0.3,1.9,17.2,0.1,0.1
Chris Johnson,ARI,15.6,63.5,0.4,1.1,8.6,0.0,0.1
Doug Martin,TB,15.3,60.3,0.3,1.9,11.9,0.0,0.1
T.J. Yeldon,JAC,14.6,59.0,0.3,2.9,24.1,0.1,0.1
C.J. Anderson,DEN,14.0,58.2,0.5,2.9,25.8,0.1,0.1
DeMarco Murray,PHI,14.9,58.2,0.5,2.9,21.1,0.1,0.1
Matt Forte,CHI,15.1,58.1,0.3,4.1,38.1,0.1,0.1
Alfred Morris,WAS,13.7,57.3,0.4,1.0,7.9,0.0,0.1
LeGarrette Blount,NE,13.7,55.7,0.6,0.2,3.0,0.0,0.1
