displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Antonio Brown,PIT,7.5,100.0,0.7,0.1,0.4,0.0,0.0
Julio Jones,ATL,6.9,95.6,0.6,0.0,0.1,0.0,0.0
Odell Beckham Jr.,NYG,6.6,95.6,0.8,0.1,0.9,0.0,0.0
Demaryius Thomas,DEN,6.8,92.2,0.7,0.0,0.0,0.0,0.0
T.Y. Hilton,IND,5.2,79.7,0.4,0.1,0.4,0.0,0.0
Emmanuel Sanders,DEN,5.8,78.6,0.6,0.1,0.9,0.0,0.0
Randall Cobb,GB,5.9,77.3,0.7,0.2,3.3,0.0,0.0
Calvin Johnson,DET,5.3,75.8,0.7,0.0,0.0,0.0,0.0
A.J. Green,CIN,5.2,75.4,0.4,0.1,0.2,0.0,0.0
Julian Edelman,NE,6.6,75.2,0.5,0.6,1.9,0.0,0.0
DeAndre Hopkins,HOU,5.3,73.9,0.4,0.0,0.0,0.0,0.0
Brandon Marshall,NYJ,5.5,73.6,0.7,0.0,0.0,0.0,0.0
Larry Fitzgerald,ARI,5.3,71.4,0.4,0.0,0.0,0.0,0.0
Jeremy Maclin,KC,4.9,67.6,0.3,0.0,0.1,0.0,0.0
Mike Evans,TB,4.4,67.0,0.5,0.0,0.0,0.0,0.0
Keenan Allen,SD,5.4,65.9,0.3,0.0,0.0,0.0,0.1
Allen Robinson,JAC,5.0,65.5,0.5,0.0,0.0,0.0,0.0
Amari Cooper,OAK,4.7,65.0,0.3,0.0,0.2,0.0,0.0
Jarvis Landry,MIA,6.0,64.7,0.3,0.1,0.9,0.0,0.1
Golden Tate,DET,5.1,64.6,0.3,0.1,0.5,0.0,0.0
Steve Smith,BAL,5.0,64.3,0.3,0.0,0.0,0.0,0.1
Pierre Garcon,WAS,5.1,62.3,0.3,0.0,0.0,0.0,0.0
Terrance Williams,DAL,4.2,60.5,0.5,0.0,0.0,0.0,0.0
Vincent Jackson,TB,4.2,60.0,0.3,0.0,0.0,0.0,0.1
Davante Adams,GB,4.6,59.5,0.3,0.0,0.0,0.0,0.0
Anquan Boldin,SF,4.9,59.5,0.3,0.0,0.0,0.0,0.0
Kendall Wright,TEN,4.6,59.2,0.2,0.1,0.6,0.0,0.0
Jordan Matthews,PHI,5.1,58.7,0.5,0.0,0.0,0.0,0.0
Alshon Jeffery,CHI,4.3,58.4,0.3,0.0,1.0,0.0,0.0
John Brown,ARI,4.2,58.3,0.3,0.1,0.3,0.0,0.0
Mike Wallace,MIN,4.0,56.5,0.3,0.0,0.3,0.0,0.0
Sammy Watkins,BUF,4.1,55.8,0.3,0.1,0.5,0.0,0.0
Doug Baldwin,SEA,4.1,54.0,0.3,0.0,0.3,0.0,0.0
Brandin Cooks,NO,4.6,53.9,0.3,0.2,3.7,0.0,0.0
Roddy White,ATL,4.6,53.5,0.3,0.0,0.0,0.0,0.1
Kenny Britt,STL,3.7,53.4,0.3,0.0,0.3,0.0,0.0
Andre Johnson,IND,4.4,53.0,0.3,0.0,0.0,0.0,0.0
Stevie Johnson,SD,4.3,50.9,0.3,0.0,0.0,0.0,0.0
Michael Crabtree,OAK,4.3,50.3,0.2,0.0,0.0,0.0,0.0
Donte Moncrief,IND,3.7,50.3,0.4,0.1,0.4,0.0,0.0
Marques Colston,NO,3.5,48.1,0.2,0.0,0.0,0.0,0.0
Torrey Smith,SF,3.2,47.8,0.4,0.0,0.0,0.0,0.0
Rueben Randle,NYG,3.6,47.6,0.3,0.0,0.0,0.0,0.0
Nate Washington,HOU,3.4,47.5,0.2,0.0,0.0,0.0,0.0
Markus Wheaton,PIT,3.6,47.4,0.2,0.1,0.6,0.0,0.0
Eric Decker,NYJ,3.9,47.1,0.3,0.0,0.4,0.0,0.0
Charles Johnson,MIN,3.6,47.0,0.3,0.0,0.5,0.0,0.0
James Jones,GB,3.8,45.8,0.6,0.0,0.0,0.0,0.0
Percy Harvin,BUF,3.8,44.8,0.2,1.3,6.1,0.0,0.1
Cecil Shorts III,HOU,3.8,44.6,0.2,0.0,0.1,0.0,0.0
Eddie Royal,CHI,4.0,44.6,0.2,0.0,0.3,0.0,0.1
Travis Benjamin,CLE,2.7,44.4,0.2,0.1,0.4,0.0,0.0
Cole Beasley,DAL,3.8,43.2,0.2,0.0,0.0,0.0,0.1
Malcom Floyd,SD,2.8,42.5,0.3,0.0,0.0,0.0,0.0
Leonard Hankerson,ATL,3.8,42.3,0.3,0.0,0.0,0.0,0.0
Ted Ginn Jr.,CAR,2.9,42.2,0.2,0.1,0.4,0.0,0.1
Andrew Hawkins,CLE,3.4,41.9,0.1,0.1,0.5,0.0,0.0
Jermaine Kearse,SEA,3.1,41.6,0.2,0.0,0.4,0.0,0.0
Allen Hurns,JAC,3.0,40.6,0.2,0.0,0.0,0.0,0.0
Darrius Heyward-Bey,PIT,2.8,40.1,0.2,0.0,0.0,0.0,0.1
Marvin Jones,CIN,3.0,39.6,0.2,0.4,0.3,0.0,0.0
Stedman Bailey,STL,3.1,38.3,0.1,0.4,1.1,0.0,0.0
Nelson Agholor,PHI,2.8,38.1,0.2,0.0,0.0,0.0,0.0
Rishard Matthews,MIA,2.9,37.4,0.2,0.0,0.0,0.0,0.0
Ryan Grant,WAS,3.1,35.7,0.2,0.0,0.0,0.0,0.0
Kamar Aiken,BAL,2.8,35.7,0.2,0.0,0.0,0.0,0.0
Brandon Coleman,NO,2.8,35.4,0.2,0.0,0.2,0.0,0.0
Philly Brown,CAR,2.8,34.3,0.4,0.3,1.3,0.0,0.0
Preston Parker,NYG,2.6,34.1,0.2,0.0,0.0,0.0,0.0
Michael Floyd,ARI,2.3,33.7,0.3,0.0,0.0,0.0,0.0
Harry Douglas,TEN,2.6,33.6,0.2,0.0,0.2,0.0,0.0
Brian Hartline,CLE,2.7,33.5,0.1,0.0,0.0,0.0,0.0
Marqise Lee,JAC,2.8,32.8,0.1,0.0,0.6,0.0,0.0
Jarius Wright,MIN,2.4,32.2,0.1,0.1,1.6,0.0,0.0
Danny Amendola,NE,2.8,32.0,0.2,0.1,0.4,0.0,0.0
Mohamed Sanu,CIN,2.5,31.0,0.1,0.5,1.0,0.0,0.0
Kenny Stills,MIA,2.4,31.0,0.2,0.0,0.2,0.0,0.0
Greg Jennings,MIA,2.4,30.4,0.2,0.0,0.0,0.0,0.0
Tyler Lockett,SEA,2.5,30.4,0.1,0.0,0.2,0.0,0.0
Robert Woods,BUF,2.8,30.1,0.2,0.0,0.0,0.0,0.1
Andre Holmes,OAK,2.1,29.9,0.1,0.0,0.0,0.0,0.0
Devin Funchess,CAR,2.4,29.4,0.2,0.0,0.2,0.0,0.0
Andre Roberts,WAS,2.4,29.3,0.1,0.1,0.5,0.0,0.1
Aaron Dobson,NE,2.1,29.0,0.2,0.0,0.0,0.0,0.0
Riley Cooper,PHI,2.3,28.6,0.1,0.0,0.0,0.0,0.0
Justin Hunter,TEN,2.1,28.6,0.1,0.0,0.0,0.0,0.0
Louis Murphy,TB,2.1,27.5,0.1,0.0,0.0,0.0,0.0
Jerricho Cotchery,CAR,2.3,26.4,0.2,0.0,0.0,0.0,0.0
Jordan Norwood,DEN,2.0,25.8,0.2,0.0,0.0,0.0,0.0
Taylor Gabriel,CLE,2.0,25.7,0.1,0.0,0.0,0.0,0.0
Marlon Brown,BAL,2.2,25.5,0.1,0.0,0.0,0.0,0.0
Marquess Wilson,CHI,2.0,24.1,0.1,0.0,0.0,0.0,0.0
Jaron Brown,ARI,2.1,23.3,0.2,0.0,0.0,0.0,0.1
Ty Montgomery,GB,1.5,22.3,0.0,0.0,0.2,0.0,0.0
Albert Wilson,KC,2.0,21.7,0.0,0.0,0.0,0.0,0.0
Devin Street,DAL,2.0,20.9,0.1,0.0,0.0,0.0,0.0
Miles Austin,PHI,1.8,20.8,0.1,0.0,0.0,0.0,0.0
Dwayne Harris,NYG,1.7,20.1,0.1,0.0,0.3,0.0,0.1
Phillip Dorsett,IND,1.7,20.0,0.2,0.0,0.2,0.0,0.0
Dorial Green-Beckham,TEN,1.7,19.5,0.1,0.0,0.0,0.0,0.0
Devin Smith,NYJ,1.4,19.4,0.1,0.1,0.2,0.0,0.0
Tavon Austin,STL,2.2,19.2,0.1,1.6,15.7,0.1,0.0
Josh Huff,PHI,1.8,18.7,0.1,0.0,0.0,0.0,0.1
Quincy Enunwa,NYJ,1.2,18.4,0.1,0.0,0.5,0.0,0.0
Lance Moore,DET,1.5,18.3,0.1,0.0,0.0,0.0,0.0
Dwayne Bowe,CLE,1.7,18.3,0.0,0.0,0.0,0.0,0.0
Jaelen Strong,HOU,1.9,18.1,0.0,0.0,0.0,0.0,0.0
DeAnthony Thomas,KC,2.2,17.8,0.1,0.9,5.2,0.0,0.0
Cody Latimer,DEN,1.7,16.5,0.1,0.0,0.0,0.0,0.0
Rod Streater,OAK,1.5,16.4,0.0,0.0,0.0,0.0,0.0
Chris Hogan,BUF,1.4,16.3,0.1,0.0,0.0,0.0,0.0
Brian Quick,STL,1.4,16.1,0.1,0.0,0.0,0.0,0.0
Chris Matthews,SEA,1.5,15.8,0.1,0.0,0.0,0.0,0.0
Quinton Patton,SF,1.5,15.8,0.1,0.0,0.3,0.0,0.1
Josh Bellamy,CHI,1.5,15.4,0.2,0.0,0.0,0.0,0.0
Jeremy Kerley,NYJ,1.2,14.3,0.1,0.0,0.3,0.0,0.0
DeVante Parker,MIA,1.5,14.3,0.0,0.0,0.0,0.0,0.0
Chris Givens,STL,1.2,14.0,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,MIN,1.1,13.3,0.1,0.6,3.3,0.0,0.0
Bruce Ellington,SF,1.3,13.1,0.1,0.1,0.8,0.0,0.0
Devin Hester,ATL,1.1,13.0,0.1,0.0,0.5,0.0,0.1
Andre Caldwell,DEN,1.3,12.8,0.1,0.0,0.0,0.0,0.0
Jason Avant,KC,1.5,12.7,0.0,0.0,0.0,0.0,0.0
Jamison Crowder,WAS,1.4,12.3,0.1,0.0,0.2,0.0,0.0
Corey Fuller,DET,1.2,11.8,0.0,0.0,0.0,0.0,0.1
Brandon Tate,CIN,1.1,11.0,0.0,0.0,0.5,0.0,0.1
Michael Campanaro,BAL,1.3,11.0,0.1,0.0,0.1,0.0,0.0
Willie Snead,NO,1.0,10.8,0.1,0.0,0.0,0.0,0.0
Jacoby Jones,SD,0.8,10.6,0.0,0.0,0.5,0.0,0.0
Seth Roberts,OAK,1.1,9.3,0.1,0.0,0.0,0.0,0.0
Chris Conley,KC,0.7,6.7,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,BAL,0.5,6.6,0.0,0.0,0.0,0.0,0.0
Keith Mumphery,HOU,0.6,6.6,0.1,0.0,0.0,0.0,0.0
Ricardo Lockette,SEA,0.5,6.4,0.0,0.0,0.1,0.0,0.0
Matthew Slater,NE,0.6,6.1,0.1,0.0,0.0,0.0,0.0
Griff Whalen,IND,0.7,6.1,0.0,0.0,0.0,0.0,0.0
Brice Butler,OAK,0.9,5.4,0.0,0.0,0.0,0.0,0.0
Justin Hardy,ATL,0.8,5.1,0.0,0.0,0.0,0.0,0.0
Bryan Walters,SEA,0.7,5.0,0.1,0.0,0.0,0.0,0.0
Sammie Coates,PIT,0.2,4.6,0.0,0.0,0.0,0.0,0.0
