"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,28.5,39,28,330,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",2,2,28,43,27,300,3,1,3,10,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,27.5,40,26,310,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",4,4,25.5,31,18,230,1,0,7,40,1,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",5,5,24.5,33,21,230,1,1,5,30,1,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",6,6,24,36,23,280,2,1,6,20,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",7,7,23,27,17,200,1,1,5,30,1,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",7,7,23,40,26,300,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",7,7,23,30,17,240,2,0,7,30,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",10,10,22.5,41,25,290,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",10,10,22.5,31,20,250,2,1,4,20,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",12,12,22,36,25,280,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",12,12,22,34,20,260,2,1,2,10,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",14,14,21.5,39,23,270,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",15,15,21,32,22,260,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",16,16,20.5,36,22,250,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",16,16,20.5,39,24,250,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",18,18,20,31,18,240,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",19,19,18,39,23,260,1,0,8,10,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,19,18,NA,NA,NA,NA,NA,20,90,1,4,30,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",1,19,18,NA,NA,NA,NA,NA,19,80,1,5,40,0,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAC",20,22,17,38,22,240,1,1,4,10,0,NA,NA,NA,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",20,22,17,32,19,220,1,1,4,20,0,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",20,22,17,31,19,220,1,0,5,20,0,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",3,22,17,NA,NA,NA,NA,NA,23,90,1,3,20,0,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",1,22,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",23,27,16.5,30,18,210,1,0,4,20,0,NA,NA,NA,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",24,28,16,29,18,220,1,1,2,10,0,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",4,28,16,NA,NA,NA,NA,NA,20,80,1,3,20,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",2,28,16,NA,NA,NA,NA,NA,NA,NA,NA,10,100,1,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,28,16,NA,NA,NA,NA,NA,NA,NA,NA,7,100,1,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",5,32,15,NA,NA,NA,NA,NA,17,70,1,3,20,0,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",5,32,15,NA,NA,NA,NA,NA,18,70,1,3,20,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",5,32,15,NA,NA,NA,NA,NA,20,80,1,1,10,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",4,32,15,NA,NA,NA,NA,NA,NA,NA,NA,7,90,1,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",4,32,15,NA,NA,NA,NA,NA,NA,NA,NA,6,90,1,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",4,32,15,NA,NA,NA,NA,NA,NA,NA,NA,7,90,1,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",7,38,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",7,38,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",7,38,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",7,38,14,NA,NA,NA,NA,NA,NA,NA,NA,7,80,1,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",7,38,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",12,43,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",12,43,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",12,43,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",12,43,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",12,43,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",12,43,13,NA,NA,NA,NA,NA,NA,NA,NA,8,70,1,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",12,43,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",19,50,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",19,50,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",19,50,12,NA,NA,NA,NA,NA,NA,NA,NA,4,60,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",1,50,12,NA,NA,NA,NA,NA,NA,NA,NA,6,60,1,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",1,50,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",8,55,11,NA,NA,NA,NA,NA,8,40,1,1,10,0,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",22,55,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",22,55,11,NA,NA,NA,NA,NA,NA,NA,NA,3,50,1,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",22,55,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",22,55,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",3,55,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",3,55,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",3,55,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",3,55,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
