"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Le'Veon Bell","RB1","11","1","4","2.0","1.2","LEVEONBELL"
"2","Dion Lewis","RB2","4","1","10","4.3","3.7","DIONLEWIS"
"3","Devonta Freeman","RB3","10","2","20","6.5","7.8","DEVONTAFREEMAN"
"4","Julio Jones","WR1","10","3","12","6.8","3.3","JULIOJONES"
"5","Rob Gronkowski","TE1","4","7","7","7.0","0.0","ROBGRONKOWSKI"
"6","Matt Forte","RB4","7","4","10","7.3","2.8","MATTFORTE"
"7","Adrian Peterson","RB5","5","5","11","8.5","2.2","ADRIANPETERSON"
"8","A.J. Green","WR2","7","6","14","10.0","3.2","AJGREEN"
"9","Antonio Brown","WR3","11","6","13","10.0","3.1","ANTONIOBROWN"
"10","Odell Beckham","WR4","11","8","14","12.0","2.4","ODELLBECKHAM"
"11","DeAndre Hopkins","WR5","9","3","17","12.3","5.7","DEANDREHOPKINS"
"12","Marshawn Lynch","RB6","9","11","24","16.0","5.4","MARSHAWNLYNCH"
"13","Todd Gurley","RB7","6","4","40","16.3","14.5","TODDGURLEY"
"14","Julian Edelman","WR6","4","3","35","17.3","14.5","JULIANEDELMAN"
"15","Latavius Murray","RB8","6","15","23","19.0","4.0","LATAVIUSMURRAY"
"16","Demaryius Thomas","WR7","7","13","28","19.3","5.5","DEMARYIUSTHOMAS"
"17","Randall Cobb","WR8","7","14","22","19.3","3.3","RANDALLCOBB"
"18","Calvin Johnson","WR9","9","13","25","22.0","5.2","CALVINJOHNSON"
"19","Eddie Lacy","RB9","7","10","51","24.0","16.0","EDDIELACY"
"20","Justin Forsett","RB10","9","9","39","24.5","10.6","JUSTINFORSETT"
"21","Frank Gore","RB11","10","16","36","24.5","7.2","FRANKGORE"
"22","Christopher Ivory","RB12","5","15","42","24.8","10.8","CHRISIVORY"
"23","Larry Fitzgerald","WR10","9","8","37","26.8","11.1","LARRYFITZGERALD"
"24","Mark Ingram","RB13","11","18","51","27.5","13.6","MARKINGRAM"
"25","Emmanuel Sanders","WR11","7","19","45","27.8","10.6","EMMANUELSANDERS"
"26","Giovani Bernard","RB14","7","16","51","28.0","13.6","GIOVANIBERNARD"
"27","Charcandrick West","RB15","9","4","61","28.3","23.2","CHARCANDRICKWEST"
"28","Lamar Miller","RB16","5","18","40","30.0","8.6","LAMARMILLER"
"29","Aaron Rodgers","QB1","7","27","33","30.0","3.0","AARONRODGERS"
"30","Tom Brady","QB2","4","27","33","30.0","3.0","TOMBRADY"
"31","Keenan Allen","WR12","10","30","37","32.8","2.9","KEENANALLEN"
"32","Amari Cooper","WR13","6","25","41","33.3","5.8","AMARICOOPER"
"33","Carlos Hyde","RB17","10","18","47","34.3","10.4","CARLOSHYDE"
"34","Danny Woodhead","RB18","10","11","90","35.5","31.7","DANNYWOODHEAD"
"35","Jarvis Landry","WR14","5","30","45","36.0","5.5","JARVISLANDRY"
"36","Brandon Marshall","WR15","5","32","44","36.0","4.7","BRANDONMARSHALL"
"37","Doug Martin","RB19","6","21","56","36.5","13.9","DOUGMARTIN"
"38","Mike Evans","WR16","6","17","64","36.8","18.7","MIKEEVANS"
"39","DeMarco Murray","RB20","8","24","46","38.5","8.5","DEMARCOMURRAY"
"40","T.Y. Hilton","WR17","10","32","45","39.5","5.3","TYHILTON"
"41","Travis Kelce","TE2","9","31","71","41.0","17.3","TRAVISKELCE"
"42","Allen Robinson","WR18","8","35","50","42.8","5.5","ALLENROBINSON"
"43","Jeremy Hill","RB21","7","39","56","46.0","6.4","JEREMYHILL"
"44","T.J. Yeldon","RB22","8","43","49","47.0","2.4","TJYELDON"
"45","Greg Olsen","TE3","5","29","76","48.3","19.5","GREGOLSEN"
"46","Jeremy Maclin","WR19","9","37","65","48.3","10.8","JEREMYMACLIN"
"47","Carson Palmer","QB3","9","38","89","50.8","22.1","CARSONPALMER"
"48","Alshon Jeffery","WR20","7","22","94","51.8","26.4","ALSHONJEFFERY"
"49","Jonathan Stewart","RB23","5","46","70","52.8","10.0","JONATHANSTEWART"
"50","Tyler Eifert","TE4","7","29","85","53.5","25.0","TYLEREIFERT"
"51","Steve Smith","WR21","9","52","65","55.8","5.4","STEVESMITH"
"52","Andrew Luck","QB4","10","53","66","58.0","5.4","ANDREWLUCK"
"53","LeSean McCoy","RB24","8","40","86","59.5","20.1","LESEANMCCOY"
"54","Melvin Gordon","RB25","10","39","79","61.0","15.1","MELVINGORDON"
"55","Brandin Cooks","WR22","11","48","80","62.8","11.6","BRANDINCOOKS"
"56","Jordan Matthews","WR23","8","28","100","63.0","28.5","JORDANMATTHEWS"
"57","Kendall Wright","WR24","4","55","80","63.8","9.7","KENDALLWRIGHT"
"58","Eric Decker","WR25","5","58","77","64.3","7.6","ERICDECKER"
"59","Vincent Jackson","WR26","6","54","96","66.5","17.3","VINCENTJACKSON"
"60","Pierre Garcon","WR27","8","52","97","67.0","18.4","PIERREGARCON"
"61","Matt Ryan","QB5","10","53","81","67.0","14.0","MATTRYAN"
"62","Golden Tate","WR28","9","55","93","67.3","15.1","GOLDENTATE"
"63","Jimmy Graham","TE5","9","29","85","67.5","23.0","JIMMYGRAHAM"
"64","Antonio Gates","TE6","10","57","83","68.3","11.5","ANTONIOGATES"
"65","James Jones","WR29","7","48","119","68.5","29.5","JAMESJONES"
"66","Sammy Watkins","WR30","8","55","93","68.8","14.4","SAMMYWATKINS"
"67","Andy Dalton","QB6","7","60","81","68.8","7.7","ANDYDALTON"
"68","Martellus Bennett","TE7","7","57","75","69.5","7.4","MARTELLUSBENNETT"
"69","Russell Wilson","QB7","9","38","89","71.0","20.9","RUSSELLWILSON"
"70","John Brown","WR31","9","67","84","71.3","7.4","JOHNBROWN"
"71","LeGarrette Blount","RB26","4","43","114","72.0","26.1","LEGARRETTEBLOUNT"
"72","Joseph Randle","RB27","6","46","105","74.8","27.4","JOSEPHRANDLE"
"73","Cam Newton","QB8","5","60","92","77.3","13.2","CAMNEWTON"
"74","Peyton Manning","QB9","7","68","92","77.5","9.8","PEYTONMANNING"
"75","Ameer Abdullah","RB28","9","51","113","79.5","22.3","AMEERABDULLAH"
"76","Philip Rivers","QB10","10","60","123","80.0","25.1","PHILIPRIVERS"
"77","Charles Clay","TE8","8","75","87","81.3","5.8","CHARLESCLAY"
"78","Eli Manning","QB11","11","69","88","83.3","8.2","ELIMANNING"
"79","Drew Brees","QB12","11","66","95","85.8","11.5","DREWBREES"
"80","Jason Witten","TE9","6","75","109","85.8","13.8","JASONWITTEN"
"81","Ronnie Hillman","RB29","7","56","150","86.3","37.7","RONNIEHILLMAN"
