"Rank","Player","Best","Worst","Avg","Std"
"1","Denver Broncos","1","5","2.3","1.6"
"2","Seattle Seahawks","2","4","2.5","0.9"
"3","Arizona Cardinals","1","4","2.8","1.1"
"4","New England Patriots","3","6","4.5","1.5"
"5","St. Louis Rams","4","6","4.8","0.8"
"6","Buffalo Bills","5","14","7.8","3.7"
"7","Carolina Panthers","6","12","8.0","2.3"
"8","Houston Texans","8","10","9.0","0.7"
"9","Green Bay Packers","8","10","9.3","0.8"
"10","Philadelphia Eagles","8","11","9.5","1.1"
"11","Miami Dolphins","7","15","11.5","3.0"
"12","Kansas City Chiefs","1","16","11.8","6.3"
"13","Cincinnati Bengals","8","15","12.0","2.5"
"14","Baltimore Ravens","12","16","14.3","1.5"
"15","New York Jets","11","25","15.3","5.7"
"16","Cleveland Browns","15","20","17.5","1.8"
"17","Minnesota Vikings","16","22","18.5","2.3"
"18","Pittsburgh Steelers","13","26","19.0","4.7"
"19","Atlanta Falcons","14","28","20.0","5.2"
"20","San Francisco 49ers","19","27","21.3","3.3"
"21","Dallas Cowboys","11","31","21.7","8.2"
"22","Detroit Lions","18","28","22.0","4.3"
"23","New York Giants","18","27","22.0","3.7"
"24","Indianapolis Colts","18","25","22.0","2.9"
"25","Tennessee Titans","21","25","23.0","1.6"
"26","Tampa Bay Buccaneers","22","28","24.0","2.8"
"27","Jacksonville Jaguars","24","27","25.0","1.4"
"28","Chicago Bears","19","32","26.7","5.6"
"29","San Diego Chargers","24","32","28.7","3.4"
"30","Washington Redskins","26","31","28.7","2.1"
"31","Oakland Raiders","26","32","29.0","2.4"
"32","New Orleans Saints","30","31","30.3","0.5"
