"Rank","Player","Best","Worst","Avg","Std"
"1","Seattle Seahawks","1","9","1.7","1.4"
"2","Kansas City Chiefs","1","7","2.1","1.2"
"3","Carolina Panthers","1","12","3.7","1.7"
"4","Denver Broncos","1","22","4.4","2.4"
"5","Houston Texans","1","14","5.6","2.3"
"6","Cincinnati Bengals","3","17","7.6","2.7"
"7","Buffalo Bills","2","26","8.5","3.0"
"8","New England Patriots","3","29","8.5","3.7"
"9","Pittsburgh Steelers","2","20","8.5","3.1"
"10","Detroit Lions","3","24","9.5","3.4"
"11","Arizona Cardinals","3","22","11.3","3.3"
"12","Minnesota Vikings","5","30","12.8","3.4"
"13","Tampa Bay Buccaneers","4","25","13.9","3.4"
"14","Miami Dolphins","4","23","14.6","3.3"
"15","Washington Redskins","8","32","15.9","3.4"
"16","Chicago Bears","8","31","17.5","3.7"
"17","Oakland Raiders","4","32","17.9","5.0"
"18","Green Bay Packers","7","32","18.2","4.5"
"19","Tennessee Titans","8","32","17.6","4.2"
"20","St. Louis Rams","10","32","20.0","3.9"
"21","New York Jets","1","31","18.2","5.8"
"22","Philadelphia Eagles","6","27","18.7","4.3"
"23","Indianapolis Colts","7","29","18.9","4.6"
"24","Dallas Cowboys","14","32","22.4","4.7"
"25","New York Giants","9","30","23.0","4.0"
"26","Jacksonville Jaguars","10","31","23.3","6.0"
"27","San Francisco 49ers","9","30","23.3","4.5"
"28","San Diego Chargers","15","32","26.9","3.9"
"29","Baltimore Ravens","11","32","27.2","5.0"
"30","New Orleans Saints","13","32","27.5","5.2"
"31","Cleveland Browns","20","32","27.7","2.9"
"32","Atlanta Falcons","22","32","29.2","2.3"
