"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Cam Newton","QB1","at  ATL","1","9","2.6","1.5","CAMNEWTON"
"2","Ben Roethlisberger","QB2","at  BAL","1","8","3.2","1.8","BENROETHLISBERGER"
"3","Antonio Brown","WR1","at  BAL","2","17","4.4","1.7","ANTONIOBROWN"
"4","Blake Bortles","QB3","at  NO","1","13","5.7","2.0","BLAKEBORTLES"
"5","David Johnson","RB1","vs.  GB","1","39","6.0","8.6","DAVIDJOHNSON"
"6","Russell Wilson","QB4","vs.  STL","2","21","6.8","3.0","RUSSELLWILSON"
"7","Carson Palmer","QB5","vs.  GB","2","15","7.4","2.1","CARSONPALMER"
"8","Tom Brady","QB6","at  NYJ","3","23","10.0","2.8","TOMBRADY"
"9","DeAngelo Williams","RB2","at  BAL","1","42","11.1","9.0","DEANGELOWILLIAMS"
"10","Matthew Stafford","QB7","vs.  SF","8","31","12.9","4.5","MATTHEWSTAFFORD"
"11","Drew Brees","QB8","vs.  JAC","4","66","12.2","7.5","DREWBREES"
"12","Aaron Rodgers","QB9","at  ARI","8","27","14.5","2.7","AARONRODGERS"
"13","Devonta Freeman","RB3","vs.  CAR","2","69","15.9","11.9","DEVONTAFREEMAN"
"14","Adrian Peterson","RB4","vs.  NYG","1","64","16.2","12.8","ADRIANPETERSON"
"15","Allen Robinson","WR2","at  NO","6","59","16.6","9.2","ALLENROBINSON"
"16","Kirk Cousins","QB10","at  PHI","5","54","16.9","6.1","KIRKCOUSINS"
"17","DeAndre Hopkins","WR3","at  TEN","4","57","17.5","6.9","DEANDREHOPKINS"
"18","Derek Carr","QB11","vs.  SD","9","57","19.2","6.5","DEREKCARR"
"19","Ryan Fitzpatrick","QB12","vs.  NE","13","40","19.8","4.5","RYANFITZPATRICK"
"20","Tyrod Taylor","QB13","vs.  DAL","8","48","21.2","5.6","TYRODTAYLOR"
"21","Doug Martin","RB5","vs.  CHI","5","51","23.5","9.2","DOUGMARTIN"
"22","Brandon Marshall","WR4","vs.  NE","11","79","23.6","11.0","BRANDONMARSHALL"
"23","Philip Rivers","QB14","at  OAK","8","65","24.2","7.4","PHILIPRIVERS"
"24","Rob Gronkowski","TE1","at  NYJ","10","80","26.8","12.3","ROBGRONKOWSKI"
"25","Jameis Winston","QB15","vs.  CHI","11","62","30.1","8.1","JAMEISWINSTON"
"26","Eli Manning","QB16","at  MIN","15","68","30.3","8.6","ELIMANNING"
"27","Matt Forte","RB6","at  TB","7","69","31.0","12.6","MATTFORTE"
"28","Charcandrick West","RB7","vs.  CLE","1","79","32.0","14.6","CHARCANDRICKWEST"
"29","Mike Evans","WR5","vs.  CHI","8","59","32.0","8.7","MIKEEVANS"
"30","Alex Smith","QB17","vs.  CLE","14","83","32.2","10.3","ALEXSMITH"
"31","Martavis Bryant","WR6","at  BAL","18","80","35.5","9.7","MARTAVISBRYANT"
"32","Julio Jones","WR7","vs.  CAR","4","79","35.9","15.0","JULIOJONES"
"33","Latavius Murray","RB8","vs.  SD","12","74","37.4","10.9","LATAVIUSMURRAY"
"34","Teddy Bridgewater","QB18","vs.  NYG","17","57","35.4","7.2","TEDDYBRIDGEWATER"
"35","Jeremy Maclin","WR8","vs.  CLE","16","67","38.4","8.6","JEREMYMACLIN"
"36","Doug Baldwin","WR9","vs.  STL","12","115","39.0","15.6","DOUGBALDWIN"
"37","Demaryius Thomas","WR10","vs.  CIN","13","89","39.8","11.6","DEMARYIUSTHOMAS"
"38","Sammy Watkins","WR11","vs.  DAL","19","79","40.2","11.0","SAMMYWATKINS"
"39","Sam Bradford","QB19","vs.  WAS","21","87","40.0","8.5","SAMBRADFORD"
"40","Alshon Jeffery","WR12","at  TB","9","95","43.3","16.2","ALSHONJEFFERY"
"41","Jay Cutler","QB20","at  TB","19","90","37.9","8.3","JAYCUTLER"
