"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Le'Veon Bell","RB1","11","1","3","1.3","0.7","LEVEONBELL"
"2","Devonta Freeman","RB2","10","2","2","2.0","0.0","DEVONTAFREEMAN"
"3","Adrian Peterson","RB3","5","3","5","3.7","0.7","ADRIANPETERSON"
"4","Matt Forte","RB4","7","3","5","4.5","0.8","MATTFORTE"
"5","Julio Jones","WR1","10","4","8","6.0","1.6","JULIOJONES"
"6","Rob Gronkowski","TE1","4","6","8","7.0","0.8","ROBGRONKOWSKI"
"7","Todd Gurley","RB5","6","3","17","9.5","4.5","TODDGURLEY"
"8","Antonio Brown","WR2","11","6","14","10.0","2.8","ANTONIOBROWN"
"9","Odell Beckham","WR3","11","8","14","10.0","1.9","ODELLBECKHAM"
"10","DeAndre Hopkins","WR4","9","4","17","10.5","4.6","DEANDREHOPKINS"
"11","Marshawn Lynch","RB6","9","9","14","11.3","1.7","MARSHAWNLYNCH"
"12","Arian Foster","RB7","9","8","21","12.5","4.3","ARIANFOSTER"
"13","Dion Lewis","RB8","4","1","23","12.7","7.7","DIONLEWIS"
"14","A.J. Green","WR5","7","6","24","14.7","5.5","AJGREEN"
"15","Christopher Ivory","RB9","5","13","28","17.8","5.5","CHRISIVORY"
"16","Julian Edelman","WR6","4","15","34","20.7","6.9","JULIANEDELMAN"
"17","Calvin Johnson","WR7","9","17","25","21.7","2.8","CALVINJOHNSON"
"18","Mark Ingram","RB10","11","12","44","22.2","10.3","MARKINGRAM"
"19","Justin Forsett","RB11","9","17","35","22.5","6.4","JUSTINFORSETT"
"20","Demaryius Thomas","WR8","7","15","30","22.7","5.1","DEMARYIUSTHOMAS"
"21","Emmanuel Sanders","WR9","7","18","32","24.0","4.7","EMMANUELSANDERS"
"22","Aaron Rodgers","QB1","7","21","27","24.0","2.7","AARONRODGERS"
"23","Tom Brady","QB2","4","21","27","24.3","2.4","TOMBRADY"
"24","Latavius Murray","RB12","6","14","50","25.3","11.8","LATAVIUSMURRAY"
"25","Eddie Lacy","RB13","7","9","48","25.7","14.0","EDDIELACY"
"26","Frank Gore","RB14","10","20","38","26.0","5.9","FRANKGORE"
"27","Randall Cobb","WR10","7","15","44","26.2","11.3","RANDALLCOBB"
"28","Larry Fitzgerald","WR11","9","12","38","26.8","10.2","LARRYFITZGERALD"
"29","Brandon Marshall","WR12","5","7","51","32.2","13.2","BRANDONMARSHALL"
"30","Alshon Jeffery","WR13","7","16","56","32.8","14.6","ALSHONJEFFERY"
"31","LeSean McCoy","RB15","8","13","70","34.2","17.4","LESEANMCCOY"
"32","Amari Cooper","WR14","6","20","46","35.2","9.1","AMARICOOPER"
"33","Keenan Allen","WR15","10","31","40","35.3","3.2","KEENANALLEN"
"34","Andrew Luck","QB3","10","30","60","36.5","10.6","ANDREWLUCK"
"35","Greg Olsen","TE2","5","28","56","37.0","10.8","GREGOLSEN"
"36","Jeremy Hill","RB16","7","33","48","39.7","6.0","JEREMYHILL"
"37","Carlos Hyde","RB17","10","31","56","41.0","9.1","CARLOSHYDE"
"38","T.Y. Hilton","WR16","10","37","45","41.3","3.1","TYHILTON"
"39","Allen Robinson","WR17","8","29","53","41.7","7.5","ALLENROBINSON"
"40","Danny Woodhead","RB18","10","32","61","42.7","11.1","DANNYWOODHEAD"
"41","Lamar Miller","RB19","5","27","52","43.7","9.1","LAMARMILLER"
"42","DeMarco Murray","RB20","8","31","59","43.8","8.6","DEMARCOMURRAY"
"43","James Jones","WR18","7","32","58","45.3","10.7","JAMESJONES"
"44","Doug Martin","RB21","6","30","74","45.7","14.1","DOUGMARTIN"
"45","Jordan Matthews","WR19","8","40","84","51.2","16.0","JORDANMATTHEWS"
"46","Jarvis Landry","WR20","5","37","68","51.3","9.8","JARVISLANDRY"
"47","Jeremy Maclin","WR21","9","39","71","52.0","11.5","JEREMYMACLIN"
"48","LeGarrette Blount","RB22","4","42","65","55.0","9.7","LEGARRETTEBLOUNT"
"49","Tyler Eifert","TE3","7","31","84","56.2","18.1","TYLEREIFERT"
"50","Matt Ryan","QB4","10","49","64","56.5","6.0","MATTRYAN"
"51","Andy Dalton","QB5","7","48","81","58.8","11.1","ANDYDALTON"
"52","Donte Moncrief","WR22","10","47","77","60.3","10.1","DONTEMONCRIEF"
"53","Giovani Bernard","RB23","7","26","43","33.6","5.9","GIOVANIBERNARD"
"54","Joseph Randle","RB24","6","45","77","62.5","11.3","JOSEPHRANDLE"
"55","Steve Smith","WR23","9","39","94","63.2","19.1","STEVESMITH"
"56","Jonathan Stewart","RB25","5","39","78","63.8","14.6","JONATHANSTEWART"
"57","Cam Newton","QB6","5","55","79","65.0","8.1","CAMNEWTON"
"58","Ameer Abdullah","RB26","9","53","81","70.2","9.3","AMEERABDULLAH"
"59","Russell Wilson","QB7","9","55","83","72.2","11.6","RUSSELLWILSON"
"60","T.J. Yeldon","RB27","8","42","62","47.4","7.6","TJYELDON"
"61","Golden Tate","WR24","9","54","116","73.5","20.6","GOLDENTATE"
"62","Mike Evans","WR25","6","19","67","48.4","16.4","MIKEEVANS"
"63","Eli Manning","QB8","11","63","86","74.0","7.7","ELIMANNING"
"64","Carson Palmer","QB9","9","31","60","49.8","9.9","CARSONPALMER"
"65","Drew Brees","QB10","11","62","92","76.0","12.3","DREWBREES"
"66","Travis Kelce","TE4","9","28","87","51.8","22.1","TRAVISKELCE"
"67","Charcandrick West","RB28","9","29","73","54.0","16.2","CHARCANDRICKWEST"
"68","Antonio Gates","TE5","10","38","160","78.7","39.5","ANTONIOGATES"
"69","Eric Decker","WR26","5","51","72","60.2","7.1","ERICDECKER"
"70","Peyton Manning","QB11","7","64","125","84.0","20.1","PEYTONMANNING"
"71","C.J. Anderson","RB29","7","61","100","84.2","12.1","CJANDERSON"
"72","Melvin Gordon","RB30","10","53","89","62.4","13.6","MELVINGORDON"
"73","Vincent Jackson","WR27","6","52","91","62.8","14.8","VINCENTJACKSON"
"74","Pierre Garcon","WR28","8","56","71","65.2","6.4","PIERREGARCON"
"75","Martellus Bennett","TE6","7","47","82","66.2","14.3","MARTELLUSBENNETT"
"76","Chris Johnson","RB31","9","21","106","69.6","30.7","CHRISJOHNSON"
"77","Dez Bryant","WR29","6","41","156","91.8","41.7","DEZBRYANT"
"78","Brandin Cooks","WR30","11","48","89","72.2","14.9","BRANDINCOOKS"
"79","Sammy Watkins","WR31","8","58","96","74.0","14.6","SAMMYWATKINS"
"80","Ronnie Hillman","RB32","7","40","105","74.6","20.8","RONNIEHILLMAN"
"81","Jimmy Graham","TE7","9","45","91","75.2","16.7","JIMMYGRAHAM"
"82","Martavis Bryant","WR32","11","62","81","75.2","6.7","MARTAVISBRYANT"
"83","Philip Rivers","QB12","10","54","119","78.4","23.3","PHILIPRIVERS"
"84","Kendall Wright","WR33","4","57","119","80.6","20.7","KENDALLWRIGHT"
"85","John Brown","WR34","9","67","99","80.6","13.3","JOHNBROWN"
"86","Allen Hurns","WR35","8","59","103","84.2","15.5","ALLENHURNS"
"87","Ben Roethlisberger","QB13","11","62","129","84.2","23.9","BENROETHLISBERGER"
"88","Andre Ellington","RB33","9","65","131","105.0","26.7","ANDREELLINGTON"
"89","Mike Wallace","WR36","5","67","101","86.6","12.7","MIKEWALLACE"
"90","Jason Witten","TE8","6","76","104","86.8","9.7","JASONWITTEN"
"91","Ryan Tannehill","QB14","5","70","153","109.7","30.9","RYANTANNEHILL"
"92","DeSean Jackson","WR37","8","87","125","98.0","13.9","DESEANJACKSON"
"93","Michael Crabtree","WR38","6","86","132","99.4","16.5","MICHAELCRABTREE"
"94","Duke Johnson","RB34","11","66","146","99.6","31.0","DUKEJOHNSON"
"95","Ryan Mathews","RB35","8","80","131","101.2","18.8","RYANMATHEWS"
"96","Delanie Walker","TE9","4","81","127","101.2","17.7","DELANIEWALKER"
"97","Davante Adams","WR39","7","63","150","101.4","31.8","DAVANTEADAMS"
"98","Torrey Smith","WR40","10","95","110","103.0","5.4","TORREYSMITH"
"99","Willie Snead","WR41","11","53","155","104.2","32.5","WILLIESNEAD"
"100","Sam Bradford","QB15","8","84","123","104.4","12.4","SAMBRADFORD"
"101","Anquan Boldin","WR42","10","96","124","104.6","9.9","ANQUANBOLDIN"
"102","Charles Clay","TE10","8","83","132","105.0","16.8","CHARLESCLAY"
"103","Matt Jones","RB36","8","87","122","105.8","11.4","MATTJONES"
"104","Marvin Jones","WR43","7","65","135","107.0","26.0","MARVINJONES"
"105","Tyrod Taylor","QB16","8","85","165","108.0","29.2","TYRODTAYLOR"
"106","Rishard Matthews","WR44","5","70","137","108.6","23.0","RISHARDMATTHEWS"
"107","Terrance Williams","WR45","6","90","135","109.8","14.8","TERRANCEWILLIAMS"
"108","Julius Thomas","TE11","8","88","141","110.0","18.1","JULIUSTHOMAS"
"109","Alfred Morris","RB37","8","99","128","111.8","9.5","ALFREDMORRIS"
"110","Shane Vereen","RB38","11","96","136","112.4","14.2","SHANEVEREEN"
"111","David Johnson","RB39","9","99","128","114.2","11.2","DAVIDJOHNSON"
"112","Isaiah Crowell","RB40","11","85","155","115.4","22.7","ISAIAHCROWELL"
"113","Eddie Royal","WR46","7","98","140","115.6","14.1","EDDIEROYAL"
"114","Gary Barnidge","TE12","11","76","109","95.0","14.1","GARYBARNIDGE"
"115","Ted Ginn","WR47","5","94","143","116.8","17.0","TEDGINN"
"116","Travis Benjamin","WR48","11","50","163","117.2","36.8","TRAVISBENJAMIN"
"117","Leonard Hankerson","WR49","10","108","142","117.6","13.0","LEONARDHANKERSON"
"118","C.J. Spiller","RB41","11","87","157","118.0","25.6","CJSPILLER"
"119","Darren Sproles","RB42","8","100","130","118.6","10.7","DARRENSPROLES"
"120","Andre Johnson","WR50","10","63","152","119.8","32.3","ANDREJOHNSON"
"121","Rashad Jennings","RB43","11","88","133","120.6","16.5","RASHADJENNINGS"
"122","Jordan Cameron","TE13","5","101","135","122.2","11.3","JORDANCAMERON"
"123","Percy Harvin","WR51","8","89","129","102.8","15.5","PERCYHARVIN"
"124","Steve Johnson","WR52","10","98","152","124.2","18.6","STEVIEJOHNSON"
"125","Roddy White","WR53","10","113","141","127.2","10.6","RODDYWHITE"
"126","Zach Ertz","TE14","8","110","156","127.4","17.0","ZACHERTZ"
"127","Tevin Coleman","RB44","10","115","149","128.0","12.4","TEVINCOLEMAN"
"128","Rueben Randle","WR54","11","105","148","128.2","15.5","RUEBENRANDLE"
"129","Nelson Agholor","WR55","8","106","163","130.2","19.8","NELSONAGHOLOR"
"130","Charles Sims","RB45","6","112","165","132.0","18.9","CHARLESSIMS"
"131","Dorial Green-Beckham","WR56","4","108","149","133.4","13.7","DORIALGREENBECKHAM"
"132","Darren McFadden","RB46","6","100","167","134.0","23.2","DARRENMCFADDEN"
"133","Karlos Williams","RB47","8","84","161","119.8","32.2","KARLOSWILLIAMS"
"134","Christine Michael","RB48","6","90","170","122.5","31.1","CHRISTINEMICHAEL"
"135","Charles Johnson","WR57","5","116","150","128.3","13.2","CHARLESJOHNSON"
"136","Jamison Crowder","WR58","8","102","158","130.0","20.0","JAMISONCROWDER"
"137","Doug Baldwin","WR59","9","134","166","145.6","11.9","DOUGBALDWIN"
"138","Richard Rodgers","TE15","7","137","155","146.8","7.7","RICHARDRODGERS"
"139","Jordan Reed","TE16","8","102","152","136.8","20.2","JORDANREED"
"140","Larry Donnell","TE17","11","107","169","137.5","24.7","LARRYDONNELL"
"141","Matthew Stafford","QB17","9","118","147","137.5","11.5","MATTHEWSTAFFORD"
"142","Michael Floyd","WR60","9","111","167","137.8","19.9","MICHAELFLOYD"
"143","Jay Cutler","QB18","7","95","140","117.7","18.4","JAYCUTLER"
"144","Victor Cruz","WR61","11","113","157","139.8","17.1","VICTORCRUZ"
"145","Theo Riddick","RB49","9","96","160","121.7","27.6","THEORIDDICK"
"146","James Starks","RB50","7","97","171","121.7","34.9","JAMESSTARKS"
"147","Tony Romo","QB19","6","67","186","123.3","48.8","TONYROMO"
"148","Marques Colston","WR62","11","115","168","142.8","23.9","MARQUESCOLSTON"
"149","Bishop Sankey","RB51","4","126","174","143.3","18.8","BISHOPSANKEY"
"150","Devante Parker","WR63","5","139","170","155.6","11.9","DEVANTEPARKER"
"151","Knile Davis","RB52","9","121","167","146.8","16.5","KNILEDAVIS"
"152","Chris Thompson","RB53","8","105","143","129.7","17.5","CHRISTHOMPSON"
"153","Kyle Rudolph","TE18","5","127","167","147.5","16.1","KYLERUDOLPH"
"154","Joique Bell","RB54","9","117","164","149.3","19.1","JOIQUEBELL"
"155","Kamar Aiken","WR64","9","110","149","133.7","17.0","KAMARAIKEN"
"156","Eric Ebron","TE19","9","121","155","135.0","14.5","ERICEBRON"
"157","Heath Miller","TE20","11","129","179","153.0","17.8","HEATHMILLER"
"158","Derek Carr","QB20","6","142","171","154.0","11.2","DEREKCARR"
"159","Kenny Stills","WR65","5","139","168","155.3","12.2","KENNYSTILLS"
"160","Ladarius Green","TE21","10","115","162","141.3","19.6","LADARIUSGREEN"
"161","Markus Wheaton","WR66","11","116","157","141.7","18.3","MARKUSWHEATON"
"162","Stefon Diggs","WR67","5","98","133","115.5","17.5","STEFONDIGGS"
"163","Antonio Andrews","RB55","4","142","147","144.3","2.1","ANTONIOANDREWS"
"164","Brandon LaFell","WR68","4","103","130","116.5","13.5","BRANDONLAFELL"
"165","Malcom Floyd","WR69","10","118","167","145.3","20.4","MALCOMFLOYD"
"166","Marquess Wilson","WR70","7","106","131","118.5","12.5","MARQUESSWILSON"
"167","Andre Williams","RB56","11","154","174","161.5","7.5","ANDREWILLIAMS"
"168","Marcus Mariota","QB21","4","132","175","149.0","18.7","MARCUSMARIOTA"
"169","Blake Bortles","QB22","8","143","161","149.3","8.3","BLAKEBORTLES"
"170","Austin Seferian-Jenkins","TE22","6","160","164","162.5","1.7","AUSTINSEFERIANJENKINS"
"171","Thomas Rawls","RB57","9","146","176","165.0","12.1","THOMASRAWLS"
"172","Devin Funchess","WR71","5","154","156","154.7","0.9","DEVINFUNCHESS"
"173","Teddy Bridgewater","QB23","5","85","182","133.5","48.5","TEDDYBRIDGEWATER"
"174","Javorius Allen","RB58","9","142","171","156.3","11.8","JAVORIUSALLEN"
"175","Colin Kaepernick","QB24","10","122","181","157.0","25.3","COLINKAEPERNICK"
"176","Brian Quick","WR72","6","138","168","157.3","13.7","BRIANQUICK"
"177","Jacob Tamme","TE23","10","120","156","138.0","18.0","JACOBTAMME"
"178","Ryan Fitzpatrick","QB25","5","113","172","142.5","29.5","RYANFITZPATRICK"
"179","Ty Montgomery","WR73","7","158","169","162.3","4.8","TYMONTGOMERY"
"180","Cecil Shorts","WR74","9","131","158","144.5","13.5","CECILSHORTS"
"181","Robert Turbin","RB59","11","146","146","146.0","0.0","ROBERTTURBIN"
"182","Josh Robinson","RB60","10","139","159","149.0","10.0","JOSHROBINSON"
"183","Danny Amendola","WR75","4","144","154","149.0","5.0","DANNYAMENDOLA"
"184","Benjamin Watson","TE24","11","147","151","149.0","2.0","BENJAMINWATSON"
"185","Tre Mason","RB61","6","139","162","150.5","11.5","TREMASON"
"186","Joe Flacco","QB26","9","125","180","152.5","27.5","JOEFLACCO"
"187","Roy Helu","RB62","6","148","161","154.5","6.5","ROYHELU"
"188","Ahmad Bradshaw","RB63","10","136","177","156.5","20.5","AHMADBRADSHAW"
"189","Brandon Coleman","WR76","11","150","165","157.5","7.5","BRANDONCOLEMAN"
"190","Josh McCown","QB27","11","117","117","117.0","0.0","JOSHMCCOWN"
"191","Reggie Bush","RB64","10","151","169","160.0","9.0","REGGIEBUSH"
"192","Tavon Austin","WR77","6","159","161","160.0","1.0","TAVONAUSTIN"
"193","Dwayne Allen","TE25","10","143","179","161.0","18.0","DWAYNEALLEN"
"194","Owen Daniels","TE26","7","153","172","162.5","9.5","OWENDANIELS"
"195","Denard Robinson","RB65","8","164","169","166.5","2.5","DENARDROBINSON"
"196","Khiry Robinson","RB66","11","161","177","169.0","8.0","KHIRYROBINSON"
"197","Phillip Dorsett","WR78","10","170","170","170.0","0.0","PHILLIPDORSETT"
"198","Alfred Blue","RB67","9","165","178","171.5","6.5","ALFREDBLUE"
"199","Jermaine Kearse","WR79","9","144","144","144.0","0.0","JERMAINEKEARSE"
"200","Dwayne Harris","WR80","11","145","145","145.0","0.0","DWAYNEHARRIS"
"201","Cole Beasley","WR81","6","147","147","147.0","0.0","COLEBEASLEY"
"202","Crockett Gillmore","TE27","9","148","148","148.0","0.0","CROCKETTGILLMORE"
"203","Brian Hoyer","QB28","9","173","178","175.5","2.5","BRIANHOYER"
"204","Lance Moore","WR82","9","154","154","154.0","0.0","LANCEMOORE"
"205","Vernon Davis","TE28","10","157","157","157.0","0.0","VERNONDAVIS"
"206","Coby Fleener","TE29","10","159","159","159.0","0.0","COBYFLEENER"
"207","Jaelen Strong","WR83","9","159","159","159.0","0.0","JAELENSTRONG"
"208","Jared Cook","TE30","6","162","162","162.0","0.0","JAREDCOOK"
"209","Nate Washington","WR84","9","162","162","162.0","0.0","NATEWASHINGTON"
"210","Jerick McKinnon","RB68","5","163","163","163.0","0.0","JERICKMCKINNON"
"211","Kenny Britt","WR85","6","164","164","164.0","0.0","KENNYBRITT"
"212","Jameis Winston","QB29","6","180","185","182.5","2.5","JAMEISWINSTON"
"213","Dexter McCluster","WR86","4","166","166","166.0","0.0","DEXTERMCCLUSTER"
"214","Josh Huff","WR87","8","168","168","168.0","0.0","JOSHHUFF"
"215","Bilal Powell","RB69","5","169","169","169.0","0.0","BILALPOWELL"
"216","Nick Foles","QB30","6","171","171","171.0","0.0","NICKFOLES"
"217","DeAngelo Williams","RB70","11","173","173","173.0","0.0","DEANGELOWILLIAMS"
"218","Derek Carrier","TE31","8","176","176","176.0","0.0","DEREKCARRIER"
"219","Kirk Cousins","QB31","8","183","183","183.0","0.0","KIRKCOUSINS"
"220","Alex Smith","QB32","9","184","184","184.0","0.0","ALEXSMITH"
"221","Matt Cassel","QB33","6","187","187","187.0","0.0","MATTCASSEL"
"222","E.J. Manuel","QB34","8","188","188","188.0","0.0","EJMANUEL"
