"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","20","2.0","2.6","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","12","3.0","1.8","STEVENHAUSCHKA"
"3","Graham Gano","1","16","3.8","2.0","GRAHAMGANO"
"4","Cairo Santos","1","21","4.5","3.4","CAIROSANTOS"
"5","Chandler Catanzaro","2","11","4.6","1.5","CHANDLERCATANZARO"
"6","Chris Boswell","1","20","6.9","3.5","CHRISBOSWELL"
"7","Mason Crosby","3","25","8.5","3.3","MASONCROSBY"
"8","Josh Brown","1","25","9.2","4.3","JOSHBROWN"
"9","Brandon McManus","3","27","10.1","4.3","BRANDONMCMANUS"
"10","Blair Walsh","3","23","10.5","2.7","BLAIRWALSH"
"11","Matt Prater","1","20","10.5","3.0","MATTPRATER"
"12","Jason Myers","4","21","11.1","2.7","JASONMYERS"
"13","Dan Carpenter","10","28","14.6","3.1","DANCARPENTER"
"14","Sebastian Janikowski","8","30","15.2","4.0","SEBASTIANJANIKOWSKI"
"15","Dustin Hopkins","6","25","15.3","3.0","DUSTINHOPKINS"
"16","Mike Nugent","7","30","16.0","3.5","MIKENUGENT"
"17","Connor Barth","5","23","16.3","2.8","CONNORBARTH"
"18","Kai Forbath","2","30","16.9","5.5","KAIFORBATH"
"19","Adam Vinatieri","6","29","17.5","3.7","ADAMVINATIERI"
"20","Justin Tucker","7","29","19.1","4.2","JUSTINTUCKER"
"21","Randy Bullock","7","27","19.2","5.6","RANDYBULLOCK"
"22","Robbie Gould","6","30","19.0","5.1","ROBBIEGOULD"
"23","Caleb Sturgis","9","28","19.4","5.4","CALEBSTURGIS"
"24","Dan Bailey","5","30","20.4","6.0","DANBAILEY"
"25","Andrew Franks","3","32","19.4","5.2","ANDREWFRANKS"
"26","Josh Lambo","10","31","21.7","4.4","JOSHLAMBO"
"27","Nick Novak","11","32","23.4","6.1","NICKNOVAK"
"28","Ryan Succop","15","32","25.5","5.3","RYANSUCCOP"
"29","Shayne Graham","15","32","25.0","4.7","SHAYNEGRAHAM"
"30","Greg Zuerlein","15","32","27.6","4.7","GREGZUERLEIN"
"31","Phil Dawson","17","31","27.8","3.1","PHILDAWSON"
"32","Travis Coons","24","32","30.2","1.9","TRAVISCOONS"
