"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"CAMNEWTON","QB","Cam Newton","CAR",1,1,25.5,NA,NA,210,1,1,NA,31,2,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",2,2,24,NA,NA,295,3,0,NA,2,0,NA,0,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",3,3,23.54,NA,NA,331,3,1,NA,3,0,NA,0,0,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",4,4,23.48,NA,NA,282,3,0,NA,2,0,NA,0,0,NA,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",5,5,21.7,NA,NA,310,2,0,NA,13,0,NA,0,0,NA,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",6,6,20.94,NA,NA,256,3,1,NA,7,0,NA,0,0,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAC",7,7,19.2,NA,NA,255,2,1,NA,30,0,NA,0,0,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC",8,8,18.78,NA,NA,227,2,0,NA,17,0,NA,0,0,NA,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",9,9,18.62,NA,NA,263,2,1,NA,21,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",10,10,18.6,NA,NA,310,2,1,NA,2,0,NA,0,0,NA,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",11,11,18.46,NA,NA,269,2,1,NA,17,0,NA,0,0,NA,0,0
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,12,17.7,NA,NA,0,0,0,NA,115,1,NA,22,0,NA,0,1
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",12,13,16.86,NA,NA,249,2,1,NA,9,0,NA,0,0,NA,0,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",2,14,16.7,NA,NA,0,0,0,NA,73,1,NA,34,0,NA,0,0
"DAVIDJOHNSON","RB","David Johnson","ARI",2,14,16.7,NA,NA,0,0,0,NA,88,1,NA,39,0,NA,0,1
"JULIOJONES","WR","Julio Jones","ATL",1,16,16,NA,NA,0,0,0,NA,1,0,NA,99,1,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",1,16,16,NA,NA,0,0,0,NA,0,0,NA,100,1,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",13,18,15.92,NA,NA,283,2,2,NA,6,0,NA,0,0,NA,0,0
"MATTCASSEL","QB","Matt Cassel","DAL",14,19,15.84,NA,NA,176,2,1,NA,8,0,NA,0,0,NA,1,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",3,20,15.8,NA,NA,0,0,0,NA,1,0,NA,97,1,NA,0,0
"RANDALLCOBB","WR","Randall Cobb","GB",4,21,15.7,NA,NA,0,0,0,NA,6,0,NA,91,1,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",15,22,15.64,NA,NA,236,2,1,NA,2,0,NA,0,0,NA,0,0
"AMARICOOPER","WR","Amari Cooper","OAK",5,23,15.6,NA,NA,0,0,0,NA,0,0,NA,96,1,NA,0,0
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",4,24,15.1,NA,NA,0,0,0,NA,61,1,NA,30,0,NA,0,0
"STEFONDIGGS","WR","Stefon Diggs","MIN",6,24,15.1,NA,NA,0,0,0,NA,0,0,NA,91,1,NA,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",5,26,15,NA,NA,0,0,0,NA,76,1,NA,14,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",16,27,14.86,NA,NA,214,1,1,NA,43,0,NA,0,0,NA,0,0
"FRANKGORE","RB","Frank Gore","IND",6,28,14.8,NA,NA,0,0,0,NA,74,1,NA,14,0,NA,0,0
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",17,29,14.76,NA,NA,259,2,3,NA,24,0,NA,0,0,NA,0,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",7,30,14.4,NA,NA,0,0,0,NA,0,0,NA,84,1,NA,0,0
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",1,30,14.4,NA,NA,0,0,0,NA,0,0,NA,84,1,NA,0,0
"MIKEEVANS","WR","Mike Evans","TB",8,32,14.3,NA,NA,0,0,0,NA,0,0,NA,83,1,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",18,33,14.26,NA,NA,289,1,1,NA,7,0,NA,0,0,NA,0,0
"CHRISIVORY","RB","Chris Ivory","NYJ",7,34,14,NA,NA,0,0,0,NA,68,1,NA,12,0,NA,0,0
"TODDGURLEY","RB","Todd Gurley","STL",8,35,13.9,NA,NA,0,0,0,NA,66,1,NA,13,0,NA,0,0
"BLAINEGABBERT","QB","Blaine Gabbert","SF",19,36,13.7,NA,NA,260,1,1,NA,13,0,NA,0,0,NA,0,0
"JAMEISWINSTON","QB","Jameis Winston","TB",20,37,13.54,NA,NA,171,2,1,NA,7,0,NA,0,0,NA,0,0
"AJGREEN","WR","A.J. Green","CIN",9,38,13.5,NA,NA,0,0,0,NA,1,0,NA,74,1,NA,0,0
"EDDIELACY","RB","Eddie Lacy","GB",9,39,13.4,NA,NA,0,0,0,NA,54,1,NA,20,0,NA,0,0
"DOUGMARTIN","RB","Doug Martin","TB",9,39,13.4,NA,NA,0,0,0,NA,66,1,NA,8,0,NA,0,0
"LAMARMILLER","RB","Lamar Miller","MIA",11,41,13.3,NA,NA,0,0,0,NA,61,1,NA,12,0,NA,0,0
"DEREKCARR","QB","Derek Carr","OAK",21,42,13.24,NA,NA,266,1,1,NA,6,0,NA,0,0,NA,0,0
"DARRENMCFADDEN","RB","Darren McFadden","DAL",12,43,13.2,NA,NA,0,0,0,NA,65,1,NA,7,0,NA,0,0
"ALLENHURNS","WR","Allen Hurns","JAC",10,43,13.2,NA,NA,0,0,0,NA,0,0,NA,72,1,NA,0,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",11,45,13.1,NA,NA,0,0,0,NA,3,0,NA,68,1,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",13,46,13,NA,NA,0,0,0,NA,44,1,NA,26,0,NA,0,0
"BRANDINCOOKS","WR","Brandin Cooks","NO",12,46,13,NA,NA,0,0,0,NA,7,0,NA,63,1,NA,0,0
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",14,48,12.9,NA,NA,0,0,0,NA,61,1,NA,8,0,NA,0,0
"ALLENROBINSON","WR","Allen Robinson","JAC",13,49,12.8,NA,NA,0,0,0,NA,0,0,NA,68,1,NA,0,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",15,50,12.7,NA,NA,0,0,0,NA,43,1,NA,24,0,NA,0,0
"BROCKOSWEILER","QB","Brock Osweiler","DEN",22,51,12.64,NA,NA,291,1,2,NA,10,0,NA,0,0,NA,0,0
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",14,52,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"GARYBARNIDGE","TE","Gary Barnidge","CLE",2,52,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",15,54,12.5,NA,NA,0,0,0,NA,2,0,NA,63,1,NA,0,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",15,54,12.5,NA,NA,0,0,0,NA,3,0,NA,62,1,NA,0,0
"ERICDECKER","WR","Eric Decker","NYJ",15,54,12.5,NA,NA,0,0,0,NA,0,0,NA,65,1,NA,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","KC",15,54,12.5,NA,NA,0,0,0,NA,0,0,NA,65,1,NA,0,0
"GREGOLSEN","TE","Greg Olsen","CAR",3,54,12.5,NA,NA,0,0,0,NA,0,0,NA,65,1,NA,0,0
"SAMBRADFORD","QB","Sam Bradford","PHI",23,59,12.42,NA,NA,153,2,1,NA,3,0,NA,0,0,NA,0,0
"CHARCANDRICKWEST","RB","Charcandrick West","KC",16,60,12.4,NA,NA,0,0,0,NA,70,1,NA,14,0,NA,0,1
"JAMESJONES","WR","James Jones","GB",19,60,12.4,NA,NA,0,0,0,NA,0,0,NA,64,1,NA,0,0
"SPENCERWARE","RB","Spencer Ware","KC",17,62,12.3,NA,NA,0,0,0,NA,60,1,NA,3,0,NA,0,0
