"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,20.56,0,NA,259,2.2,0.5,3.1,15.9,0.1,0,0,0,0,0.1,0.3
"ANDREWLUCK","QB","Andrew Luck","IND",2,2,20.17,0,NA,270,2.1,0.9,3.6,17,0.1,0,0,0,0,0.1,0.3
"DREWBREES","QB","Drew Brees","NO",3,3,19.38,0,NA,307,1.9,0.9,1.6,2.6,0.1,0,0,0,0,0.1,0.2
"PEYTONMANNING","QB","Peyton Manning","DEN",4,4,19.25,0,NA,271,2.2,0.6,1.7,-0.4,0.1,0,0,0,0,0.1,0.1
"TOMBRADY","QB","Tom Brady","NE",5,5,19.05,0,NA,278,2,0.7,2.2,2.6,0.1,0,0,0,0,0.1,0.2
"RUSSELLWILSON","QB","Russell Wilson","SEA",6,6,18.93,0,NA,216,1.6,0.6,6.3,39.1,0.2,0,0,0,0,0,0.3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",7,7,18.84,0,NA,267,1.8,0.8,3.4,16.5,0.1,0,0,0,0,0.1,0.3
"CAMNEWTON","QB","Cam Newton","CAR",8,8,18.2,0,NA,213,1.4,0.8,6.6,35.2,0.3,0,0,0,0,0,0.3
"ELIMANNING","QB","Eli Manning","NYG",9,9,17.5,0,NA,304,1.7,1.1,1,1.8,0,0,0,0,0,0,0.4
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",10,10,17.34,0,NA,258,1.3,0.9,3.7,20.1,0.1,0,0,0,0,0,0.2
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",11,11,17.25,0,NA,286,1.6,0.9,2.1,6.3,0,0,0,0,0,0,0.3
"TONYROMO","QB","Tony Romo","DAL",12,12,17.23,0,NA,251,2,0.9,1.6,4.3,0,0,0,0,0,0.1,0.3
"CJANDERSON","RB","C.J. Anderson","DEN",1,13,17.12,3.3,NA,0,0,0,18.7,84.9,0.7,2.7,23.5,0.1,0,0,0.1
