"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","points","passAtt","passYds","passTds","passInt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50"
"ANDREWLUCK","QB","yahoo","Andrew Luck","IND",1,1,"337.12",56.9,4346,36.9,16.8,267,1.9,0,0,0,0,0,2,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","yahoo","Aaron Rodgers","GB",2,2,"324.10",60.3,4081,33.2,6.8,303,2,0,0,0,0,0,0.9,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","yahoo","Tom Brady","NE",3,3,"313.42",35.4,4452,33.5,10.5,40.2,1.8,0,0,0,0,0,0.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","yahoo","Drew Brees","NO",4,4,"311.97",25.1,4937,30.7,13.3,42.1,0.9,0,0,0,0,0,0.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","yahoo","Russell Wilson","SEA",5,5,"305.45",104,3461,26.2,9.7,618,3,0,0,0,0,0,0.7,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","yahoo","Cam Newton","CAR",6,6,"293.88",124,3587,21.5,14.4,616,4.3,0,0,0,0,0,0.7,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","yahoo","Tony Romo","DAL",7,7,"293.27",26.1,4286,32.8,12.8,64.6,0.7,0,0,0,0,0,0.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","yahoo","Matt Ryan","ATL",8,8,"290.98",32.5,4579,27.6,13.2,93.5,0.8,0,0,0,0,0,0.7,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","yahoo","Matt Forte","CHI",1,9,"290.79",299,0,0,0,1303,8.1,70.8,87.3,635,2.5,0,0.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","yahoo","Ben Roethlisberger","PIT",9,10,"290.77",31.4,4639,27.9,13.1,93.8,0.5,0,0,0,0,0,1.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","yahoo","Philip Rivers","SD",10,11,"286.09",31.4,4620,28.7,16.3,61.8,0.6,0,0,0,0,0,0.7,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARCUSMARIOTA","QB","yahoo","Marcus Mariota","TEN",11,12,"282.76",83,3513,24.4,13.8,492,2.7,0,0,0,0,0,0.6,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","yahoo","Ryan Tannehill","MIA",12,13,"282.02",50.8,4260,25.4,13.1,240,1.6,0,0,0,0,0,0.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTONIOBROWN","WR","yahoo","Antonio Brown","PIT",1,14,"281.54",4.1,0,0,0,27.3,0.1,117,171,1569,9.5,1.1,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","yahoo","Peyton Manning","DEN",13,15,"280.20",23.5,4427,29.1,13,-6.6,0.6,0,0,0,0,0,0.8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","yahoo","Carson Palmer","ARZ",14,16,"276.00",24.9,4276,28.1,14.4,51.7,0.8,0,0,0,0,0,0.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","yahoo","Eli Manning","NYG",15,17,"275.51",16.5,4555,27.5,15.9,36.1,0.4,0,0,0,0,0,0.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","yahoo","Matthew Stafford","DET",16,18,"272.29",36.1,4246,26.5,15,109,1.3,0,0,0,0,0,0.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
